,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
25,Current Income Taxes Payable,587486,304135,250668,-,434315,-,394793,-,302044,-,275549,-,186013,186013,-,-
26,Accrued Interest Payable,3743466,4425843,4121133,4228057,3699830,3725836,3504994,2946598,2947979,-,3006283,3115025,3065150,3065150,-,-
27,Long-Term Debt,22303459,31898189,33691180,35575325,30959482,31098837,31235020,20192950,40114286,-,13618084,13249745,19636641,19636641,-,-
28,Long-Term Unearned Revenue,1718,9194,20744,-,517,-,89217,-,634,-,47229,-,492,492,-,-
29,Other Long-Term Liabilities,13262,221204,232630,575950,363689,1825695,268820,796144,293295,-,249542,550724,206896,206896,-,-
30,Total Liabilities,235810354,220182346,217484189,218082604,205190836,204525707,206166425,208631198,193000251,-,172055265,170095457,166536910,166536910,-,-
31,Common Stock,24957000,24537000,20402983,20402983,20402983,19808983,19808983,16598000,14784884,-,12087442,12087442,12087442,12087442,-,-
32,Additional Paid-In Capital,106167,22167,1204184,1204184,1204184,907184,907185,1717181,810623,-,-,-,-,-,-,-
33,Retained Earnings,5233512,4072223,6116029,5478860,4625053,3787642,2822888,4116617,3067757,-,2802133,2138085,1582936,1582936,-,-
34,Comprehensive Income & Other,-,-3644,-1359,457,-,116286,17744,159034,-,-,-10393,-87,-,-,-,-
35,Shareholders' Equity,30296679,28627746,27721837,27086484,26232220,24620095,23556800,22590832,18663264,-,14879182,14225440,13670378,13670378,-,-
36,Total Liabilities & Equity,266107033,248810092,245206026,245169088,231423056,229145802,229723225,231222030,211663515,-,186934447,184320897,180207288,180207288,-,-
37,Total Debt,39144127,45415716,44076923,47623369,40813141,33247104,37734529,41505429,44088053,-,20896284,16794432,24399663,24399663,-,-
38,Net Cash (Debt),15868432,-1136502,2871753,7147348,5674216,26460248,24788680,23595594,5304097,-,21592241,19315957,5092197,5092197,-,-
39,Net Cash Growth,179.66%,-,-88.42%,-69.71%,6.98%,-,14.80%,22.16%,4.16%,-,-,-,-,-,-,-
40,Net Cash Per Share,5681.42,-407.74,1030.29,2564.24,1763.89,9839.20,8776.36,9525.67,2216.65,-,10956.30,8982.06,1886.19,1886.19,-,-
41,Filing Date Shares Outstanding,2835,2787,2787,2787,2787,2706,2706,2706,2411,2551,1971,2151,2700,2700,1785,-
42,Total Common Shares Outstanding,2835,2787,2787,2787,2787,2706,2706,2706,2411,2551,1971,2151,2700,2700,1785,-
43,Book Value Per Share,10686.67,10270.83,9945.70,9717.76,9411.28,9097.76,8704.85,8347.90,7742.31,-,7549.97,6614.93,5063.60,5063.60,-,-
44,Tangible Book Value,29240420,27568922,26664868,26032623,25164286,23558032,22485273,21531693,17586392,-,13772026,13116384,12539544,12539544,-,-
45,Tangible Book Value Per Share,10314.09,9890.95,9566.50,9339.67,9028.14,8705.30,8308.89,7956.52,7295.58,-,6988.18,6099.21,4644.73,4644.73,-,-
