,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
25,Shares Change (YoY),-0.98%,0.25%,0.85%,18.27%,32.67%,38.52%,35.87%,12.96%,-58.98%,348.69%,-,-,-,-
26,EPS (Basic),-0.73,-0.39,-0.68,-0.68,-0.13,-0.71,-0.71,-0.40,-0.13,-0.13,0.08,0.18,0.04,0.67
27,EPS (Diluted),-0.73,-0.39,-0.68,-0.68,-0.13,-0.71,-0.71,-0.40,-0.13,-0.13,0.08,0.18,0.04,0.67
28,Free Cash Flow,-,-106.02,-48.93,-114.26,-39.48,-60.18,-68.86,-24,-45.72,10.53,5.32,-54.67,49.46,-67.15
29,Free Cash Flow Per Share,-,-1.32,-0.61,-1.43,-0.50,-0.75,-0.87,-0.36,-0.76,0.18,0.09,-0.92,0.34,-5.20
30,Gross Margin,210.31%,45.19%,41.35%,41.11%,48.90%,55.67%,18.52%,53.87%,50.80%,41.21%,45.09%,47.10%,39.32%,33.74%
31,Operating Margin,-26.48%,-28.97%,-80.31%,-87.34%,-36.00%,-89.05%,-127.23%,-55.08%,-15.29%,-8.37%,1.62%,11.37%,0.73%,11.45%
32,Profit Margin,-41.87%,-28.29%,-66.08%,-74.65%,-9.46%,-101.26%,-101.41%,-50.43%,-7.75%,-7.16%,4.60%,11.68%,4.81%,12.14%
33,Free Cash Flow Margin,-,-95.17%,-59.56%,-157.53%,-36.31%,-106.80%,-125.08%,-44.94%,-44.15%,9.78%,5.33%,-59.49%,44.06%,-93.74%
34,EBITDA,-31.24,-27.04,-63.55,-58.12,-33.92,-45.29,-64.36,-24.53,-14.75,-8.06,6.44,10.99,1.54,8.83
35,EBITDA Margin,-22.68%,-24.27%,-77.36%,-80.13%,-31.19%,-80.39%,-116.90%,-45.94%,-14.24%,-7.48%,6.44%,11.96%,1.37%,12.32%
36,D&A For EBITDA,5.23,5.23,2.42,5.23,5.23,4.88,5.69,4.88,1.08,0.95,4.82,0.54,0.73,0.63
37,EBIT,-36.47,-32.27,-65.97,-63.35,-39.14,-50.17,-70.05,-29.41,-15.83,-9.01,1.62,10.45,0.81,8.2
38,EBIT Margin,-26.48%,-28.97%,-80.31%,-87.34%,-36.00%,-89.05%,-127.23%,-55.08%,-15.29%,-8.37%,1.62%,11.37%,0.73%,11.45%
39,Revenue as Reported,-,111.39,82.14,72.53,108.72,56.35,55.06,53.41,103.55,107.66,99.89,91.89,112.26,71.64
