,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
21,Current Unearned Revenue,-,7.04,5.93,4.85,6.19,52.69,51.72,75.48,102.54,132.99,94.62,-,161.91,-
22,Other Current Liabilities,-,1.2,2.08,0.91,3.14,2.15,2.48,8.68,55.23,61.13,49.32,-,60.16,-
23,Total Current Liabilities,-,113.45,96.55,81.28,110.5,122.92,127.78,140.08,212.26,239.3,185.59,-,263.35,-
24,Long-Term Debt,-,3.31,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Leases,-,2.32,3.87,6.43,7.89,18.63,20.9,24.63,5.44,6.77,7.73,-,11.26,-
26,Long-Term Unearned Revenue,-,3.82,3.58,0.07,0.1,0.13,0.17,0.21,0.25,0.31,0.41,-,1.09,-
27,Other Long-Term Liabilities,-,-,3.31,-,-,-,-,-,-,0.4,0.4,-,-,-
28,Total Liabilities,-,122.91,107.32,87.78,118.49,141.69,148.85,164.92,217.95,246.78,194.12,-,275.7,-
29,Common Stock,-,80,80,80,80,80,80,80,60,60,60,-,60,-
30,Additional Paid-In Capital,-,1922,1918,1911,1906,1902,1898,1894,238.74,235.99,232.29,-,226.14,-
31,Retained Earnings,-,-299.29,-267.77,-213.49,-159.34,-149.06,-92,-36.17,-9.24,-1.21,6.49,-,-8.83,-
32,Treasury Stock,-,-40,-40,-4.86,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,0.21,0.23,0.23,0.35,0.21,0.32,-0,-,-,-,-,-,-
34,Shareholders' Equity,1662,1662,1690,1773,1827,1833,1886,1938,289.5,294.78,298.78,277.31,277.31,-
35,Total Liabilities & Equity,-,1785,1798,1860,1946,1975,2035,2103,507.46,541.56,492.9,-,553.01,-
36,Total Debt,16.82,16.82,15.96,16.42,17.29,26.34,28.57,27.86,9.12,10.37,11.3,14.59,14.59,-
37,Net Cash (Debt),1352,1352,1454,1532,1646,1671,1721,1783,157.19,204.94,195.26,241.09,241.09,-
38,Net Cash Growth,-17.89%,-19.11%,-15.51%,-14.03%,947.08%,715.28%,781.60%,639.35%,-34.80%,-,-,-,-,-
39,Net Cash Per Share,17.15,16.80,18.22,19.25,20.68,20.82,21.75,26.47,2.62,3.54,3.35,4.04,1.65,-
40,Filing Date Shares Outstanding,78.82,80.45,79.83,79.63,79.93,80,80,80,80,60,60,59.61,60,12.91
41,Total Common Shares Outstanding,78.82,80.45,79.83,79.63,80,80,80,80,60,60,60,59.61,60,12.91
42,Working Capital,-,1560,1601,1699,1762,1771,1832,1890,248.62,256.86,260.08,-,230.11,-
43,Book Value Per Share,20.66,20.66,21.17,22.26,22.84,22.92,23.58,24.22,4.83,4.91,4.98,4.62,4.62,-
44,Tangible Book Value,1628,1628,1659,1751,1807,1812,1861,1913,270.61,273.82,277.13,247.77,247.77,-
45,Tangible Book Value Per Share,20.23,20.23,20.78,21.99,22.59,22.65,23.26,23.91,4.51,4.56,4.62,4.13,4.13,-
46,Machinery,-,-,43.33,-,33.77,-,24.82,-,18.5,15.49,14.54,-,13.12,-
47,Construction In Progress,-,-,13.86,-,6.66,-,1.81,-,-,0.05,0.05,-,1.47,-
