,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
21,Current Income Taxes Payable,-,-0.51,-,-1.04,3.34,1.38,3.22,0.83,9.45,11.09,12.39,3.73,6.62,-,0.81,-
22,Current Unearned Revenue,-,61.63,60.79,65.17,70.15,78.34,47.89,83.27,42.77,90.37,63.28,151.68,133.1,-,252.52,-
23,Other Current Liabilities,-,11.37,11.51,12.26,14.83,11.59,38.09,10.54,12.38,10.2,10.41,15.71,9.83,-,13.04,-
24,Total Current Liabilities,-,145.37,132.86,144.68,178.59,164.22,168.4,168.33,154.79,208.68,145.57,217.29,224.21,-,306.3,-
25,Long-Term Leases,-,3.25,3.27,0.32,0.08,0.18,0.28,1.19,1.21,7.03,4.12,7.94,4.97,-,6.18,-
26,Long-Term Unearned Revenue,-,10.91,14.05,18.87,16.38,1.93,3.54,4.53,6.2,9.13,10.52,12.92,2.19,-,1.95,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,2.21,1.85,1.32,1.83,1.58,1.21,1.05,0.98,-,0.81,-
28,Total Liabilities,-,159.53,150.18,163.87,195.05,168.54,174.07,175.37,164.02,226.42,161.42,239.2,232.34,-,315.24,-
29,Common Stock,-,130.07,130.07,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,92.91,69.68,-,69.68,-
30,Additional Paid-In Capital,-,1484,1482,1517,1515,1513,1511,1508,1506,1503,1501,1500,411.12,-,408.01,-
31,Retained Earnings,-,213.56,224.14,260.69,265.22,237.45,246.7,236.52,247.04,200.48,195.55,207.2,205.07,-,123.92,-
32,Comprehensive Income & Other,-,-1.04,-0.99,-0.84,-0.58,-0.63,-0.48,-0.24,-0.24,-,-,-,-,-,-,-
33,Total Common Equity,1826,1826,1835,1870,1873,1843,1850,1837,1845,1796,1790,1800,685.87,-,601.61,602.78
34,Minority Interest,-,-1.13,-1.11,-1.08,-1.04,-1,-0.98,-0.95,-0.92,-0.82,-0.72,-0.58,-0.51,-,-0.33,-
35,Shareholders' Equity,1825,1825,1834,1869,1872,1842,1849,1836,1844,1795,1789,1799,685.36,-,601.28,602.72
36,Total Liabilities & Equity,-,1985,1984,2033,2067,2010,2023,2012,2008,2022,1950,2038,917.7,-,916.52,-
37,Total Debt,7.84,7.84,7.87,3.8,3.88,3.96,4.03,4.61,4.6,7.14,7.13,11.14,8.17,-,6.18,-
38,Net Cash (Debt),1212,1212,1248,1348,1417,1238,1228,1255,1558,1484,1496,1590,521.47,-,448.44,463.75
39,Net Cash Growth,-14.45%,-2.14%,1.62%,7.39%,-9.10%,-16.53%,-17.91%,-21.07%,198.86%,-,233.55%,242.78%,-,-,-,-
40,Net Cash Per Share,9.86,9.16,9.06,10.61,10.74,9.75,9.97,9.38,12.31,11.50,12.12,14.95,5.34,-,4.69,4.63
41,Filing Date Shares Outstanding,122.97,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,97.55,96.03,97.55,100.19
42,Total Common Shares Outstanding,122.97,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,130.07,97.55,96.03,97.55,100.19
43,Working Capital,-,1432,1462,1575,1581,1438,1478,1473,1762,1724,1733,1753,627.49,-,550.74,-
44,Book Value Per Share,14.04,14.04,14.11,14.38,14.40,14.17,14.22,14.13,14.19,13.81,13.76,13.84,7.03,-,6.17,6.18
45,Tangible Book Value,1819,1819,1827,1862,1864,1834,1841,1828,1837,1789,1783,1793,679.25,-,597.05,597.92
46,Tangible Book Value Per Share,13.98,13.98,14.05,14.31,14.33,14.10,14.16,14.06,14.12,13.76,13.71,13.79,6.96,-,6.12,6.13
47,Buildings,-,-,43.32,-,43.32,-,43.32,-,43.32,-,43.32,-,43.32,-,43.32,-
48,Machinery,-,-,80.21,-,77.09,-,78.31,-,76.77,-,53.04,-,59,-,53.85,-
49,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.46,-
