,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
22,Net Income,32.71,32.15,6.81,20.75,39.08,25.66,24.29,20.21,40.38,20.31,25.94,31.17,26.93
23,Net Income to Common,32.71,32.15,6.81,20.75,39.08,25.66,24.29,20.21,40.38,20.31,25.94,31.17,26.93
24,Net Income Growth,-16.29%,25.29%,-71.96%,2.63%,-3.21%,26.39%,-6.36%,-35.15%,49.95%,-,-,-,-
25,Shares Outstanding (Basic),139,152,147,148,151,146,147,149,122,107,113,112,112
26,Shares Outstanding (Diluted),139,152,147,148,151,146,147,149,122,107,113,112,112
27,Shares Change (YoY),-8.07%,4.04%,-0.02%,-0.69%,24.33%,36.24%,30.76%,33.86%,8.48%,-,-,-,-
28,EPS (Basic),0.24,0.21,0.05,0.14,0.26,0.18,0.16,0.14,0.33,0.19,0.23,0.28,0.24
29,EPS (Diluted),0.24,0.21,0.05,0.14,0.26,0.18,0.16,0.14,0.33,0.19,0.23,0.28,0.24
30,EPS Growth,-8.95%,20.42%,-71.95%,3.35%,-22.15%,-7.23%,-28.39%,-51.56%,38.23%,-,-,-,-
31,Free Cash Flow,29.25,-21.81,-2.74,-92.8,-38.36,-9.26,-11.93,37.58,-38.09,-33.77,15.95,30.53,3.58
32,Free Cash Flow Per Share,0.21,-0.14,-0.02,-0.63,-0.25,-0.06,-0.08,0.25,-0.31,-0.31,0.14,0.27,0.03
33,Dividend Per Share,-,-,-,0.406,-,-,-,0.330,-,-,-,-,-
34,Dividend Growth,-,-,-,23.03%,-,-,-,-,-,-,-,-,-
35,Gross Margin,22.93%,16.75%,17.37%,16.97%,23.05%,16.37%,19.89%,15.10%,19.72%,18.87%,20.81%,14.72%,21.38%
36,Operating Margin,12.69%,2.18%,3.18%,3.11%,12.00%,5.46%,9.02%,-6.26%,11.06%,6.45%,12.89%,3.31%,12.36%
37,Profit Margin,9.81%,9.47%,2.86%,6.31%,12.26%,8.84%,8.69%,8.64%,13.39%,8.22%,10.00%,9.43%,11.07%
38,Free Cash Flow Margin,8.77%,-6.43%,-1.15%,-28.25%,-12.04%,-3.19%,-4.27%,16.07%,-12.64%,-13.67%,6.15%,9.23%,1.47%
39,EBITDA,56.87,21.67,22.15,24.8,52.49,30.69,39.46,-0.38,46.78,30.06,46.88,24.37,41.72
40,EBITDA Margin,17.06%,6.38%,9.31%,7.55%,16.47%,10.57%,14.12%,-0.16%,15.52%,12.17%,18.06%,7.37%,17.15%
41,D&A For EBITDA,14.58,14.26,14.58,14.58,14.25,14.85,14.25,14.25,13.44,14.12,13.44,13.44,11.66
42,EBIT,42.3,7.41,7.58,10.22,38.24,15.84,25.21,-14.63,33.34,15.94,33.44,10.93,30.06
43,EBIT Margin,12.69%,2.18%,3.18%,3.11%,12.00%,5.46%,9.02%,-6.26%,11.06%,6.45%,12.89%,3.31%,12.36%
44,Effective Tax Rate,-,-,30.34%,25.55%,-,19.63%,13.08%,-,1.23%,15.22%,15.19%,7.49%,12.96%
45,Revenue as Reported,333.42,339.48,238.04,328.54,318.68,290.26,279.51,233.87,301.44,247.01,259.51,330.61,243.26
