,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
37,Retained Earnings,-,574.82,519.15,501.97,466.58,422.34,370.34,340.36,306.79,269.73,247.23,-,183.72
38,Comprehensive Income & Other,-,7.8,-3.06,-6.09,-3.83,-4.61,-3.74,-3.12,-2.31,-0.34,-0.94,-,-0.84
39,Total Common Equity,1753,1753,1687,1667,1634,1588,1537,1508,1475,548.34,525.24,461.84,461.84
40,Minority Interest,-,7.06,6.6,7.22,7.22,7.56,6.06,4.46,4.72,2.98,3.37,-,2.74
41,Shareholders' Equity,1760,1760,1693,1674,1641,1596,1543,1512,1480,551.32,528.62,464.58,464.58
42,Total Liabilities & Equity,-,3321,3078,2936,2990,2792,2531,2440,2532,1511,1405,-,1263
43,Total Debt,679.38,679.38,585.69,476,500.89,524.75,393.59,382.63,442.13,382.86,334.29,281.61,281.61
44,Net Cash (Debt),216.06,216.06,225.2,361.42,416.36,492.06,533.19,585.32,608.69,-250.81,-167.58,-148.24,-148.24
45,Net Cash Growth,-48.11%,-56.09%,-57.76%,-38.25%,-31.60%,-,-,-,-,-,-,-,-
46,Net Cash Per Share,1.59,1.63,1.69,2.66,3.11,3.70,3.92,4.36,5.53,-2.46,-1.64,-1.49,-1.44
47,Filing Date Shares Outstanding,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,100.8,100.8,99.67,100.8
48,Total Common Shares Outstanding,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,100.8,100.8,99.67,100.8
49,Working Capital,-,1358,1238,1163,1124,1220,1259,1260,1252,339.95,332.3,-,285.85
50,Book Value Per Share,13.05,13.05,12.55,12.40,12.15,11.82,11.44,11.22,10.98,5.44,5.21,4.58,4.58
51,Tangible Book Value,1500,1500,1436,1414,1381,1515,1474,1459,1426,518.08,495.18,431.96,431.96
52,Tangible Book Value Per Share,11.16,11.16,10.69,10.52,10.28,11.27,10.97,10.86,10.61,5.14,4.91,4.29,4.29
53,Buildings,-,-,204.61,-,116.9,-,100.45,-,85.88,-,85.67,-,85.67
54,Machinery,-,-,160.81,-,131.99,-,120.21,-,113.5,-,100.95,-,93.15
55,Construction In Progress,-,-,65.67,-,116.24,-,63.11,-,27.78,-,3.07,-,2.04
