,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
39,Minority Interest,23.38,-3,0.15,0.6,2.6,2.1,0.47,0.17,-,-1.02,-
40,Shareholders' Equity,1637,1602,1658,1645,1643,1611,599.79,574.21,-,514.81,476.75
41,Total Liabilities & Equity,2309,2070,2064,2051,2033,1972,1220,1278,-,1152,-
42,Total Debt,238.04,137.73,91.06,54.72,75.09,100.43,357.3,367.68,-,154.58,211.06
43,Net Cash (Debt),358.55,499.01,562.05,604.31,658.94,676.11,-255.07,-226.51,-,11.15,-49.23
44,Net Cash Growth,-45.59%,-26.19%,-,-,-,5965.81%,-,-,-,-,-
45,Net Cash Per Share,3.12,5.04,5.28,6.19,5.84,6.28,-3.20,-2.84,-,0.14,-0.62
46,Filing Date Shares Outstanding,106.49,106.49,106.49,106.4,106.4,106.4,79.8,79.8,79.8,79.8,79.8
47,Total Common Shares Outstanding,106.49,106.49,106.49,106.4,106.4,106.4,79.8,79.8,79.8,79.8,79.8
48,Working Capital,857.85,868.14,941.23,962,994.93,982.83,33,67.48,-,153.59,-
49,Book Value Per Share,15.15,15.07,15.57,15.46,15.42,15.12,7.51,7.19,-,6.46,5.99
50,Tangible Book Value,1563,1570,1622,1608,1604,1572,562.68,537.02,-,479.78,446.46
51,Tangible Book Value Per Share,14.68,14.74,15.24,15.12,15.08,14.77,7.05,6.73,-,6.01,5.59
52,Buildings,-,376.82,-,364.61,-,161.38,-,42.81,-,-,-
53,Machinery,-,182.56,-,134.24,-,115.88,-,110.96,-,-,-
54,Construction In Progress,-,29.06,-,54.07,-,237.9,-,287.44,-,-,-
