,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
35,Dividend Per Share,-,-,-,0.357,-,0.250,-,0.250,-,-,-
36,Dividend Growth,-,-,-,42.84%,-,-,-,-,-,-,-
37,Gross Margin,23.23%,23.18%,26.56%,33.52%,32.36%,28.73%,32.49%,36.41%,29.66%,27.23%,27.63%
38,Operating Margin,2.67%,-0.68%,3.99%,8.83%,13.03%,9.38%,18.67%,14.11%,15.03%,13.11%,13.23%
39,Profit Margin,2.47%,-4.45%,4.96%,9.06%,12.20%,12.59%,12.42%,9.15%,13.32%,11.26%,11.76%
40,Free Cash Flow Margin,-16.82%,-1.08%,-3.97%,-9.11%,-11.07%,-13.11%,-8.29%,11.85%,-43.20%,9.97%,-12.04%
41,EBITDA,13.65,5.57,13.87,31.31,39.16,25.39,41.15,35.56,41.74,37.35,33.12
42,EBITDA Margin,4.07%,2.02%,6.04%,10.39%,14.10%,11.40%,20.12%,15.40%,15.73%,14.19%,14.02%
43,D&A For EBITDA,4.7,7.43,4.7,4.7,2.97,4.49,2.97,2.97,1.88,2.84,1.88
44,EBIT,8.96,-1.86,9.17,26.62,36.19,20.9,38.18,32.59,39.86,34.51,31.25
45,EBIT Margin,2.67%,-0.68%,3.99%,8.83%,13.03%,9.38%,18.67%,14.11%,15.03%,13.11%,13.23%
46,Effective Tax Rate,-,-,2.90%,-,8.22%,13.97%,11.91%,13.82%,19.24%,14.86%,10.87%
47,Revenue as Reported,335.75,275.83,229.78,301.37,277.76,222.82,204.56,230.95,265.29,263.21,236.25
