,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Current Ratio,-,-,5.86,6.98,7.77,7.45,8.46,10.02,9.85,6.36,2.67,3.02,3.55,3.72,4.11,3.70,4.93,5.54,2.11,2.14,-
19,Return on Equity (ROE),7.20%,6.63%,7.14%,4.20%,3.14%,1.87%,2.72%,7.60%,9.71%,22.22%,26.13%,15.65%,11.71%,15.14%,18.72%,11.85%,13.93%,22.81%,33.40%,-,
20,Return on Assets (ROA),-,4.89%,2.92%,2.02%,-0.84%,0.46%,0.47%,3.84%,3.40%,10.44%,13.87%,9.10%,4.59%,8.40%,9.89%,6.37%,5.84%,11.62%,-,-,
21,Return on Capital (ROIC),5.20%,5.57%,3.26%,2.25%,-0.94%,0.51%,0.52%,4.25%,3.90%,12.99%,17.51%,11.32%,5.57%,10.15%,11.80%,7.34%,7.06%,16.17%,21.22%,-,
22,Return on Capital Employed (ROCE),-,-,3.84%,1.99%,0.91%,-,3.35%,5.91%,8.82%,9.46%,17.22%,16.71%,14.35%,13.21%,13.38%,12.66%,11.15%,9.97%,16.30%,10.75%,-
23,Earnings Yield,1.67%,1.70%,1.63%,1.30%,0.98%,1.22%,1.72%,1.30%,2.75%,2.58%,2.66%,2.33%,2.61%,1.82%,3.17%,3.39%,3.95%,2.85%,-,-,-
24,FCF Yield,-,-2.60%,-3.04%,-3.07%,-2.94%,-2.26%,-1.16%,-2.16%,-1.32%,-1.74%,-1.49%,-1.80%,-1.70%,-2.60%,-3.30%,-3.09%,-2.34%,-,-,-,
25,Dividend Yield,0.73%,-,-,-,-,0.91%,-,-,-,1.08%,-,-,-,0.88%,-,-,-,1.75%,-,-,-
26,Payout Ratio,0.00%,-,-,159.47%,-,-,22.28%,586.52%,0.25%,1.89%,0.83%,92.41%,0.85%,2.49%,1.49%,122.08%,1.52%,1.41%,12.09%,1.15%,1.59%
27,Buyback Yield / Dilution,-0.30%,-2.89%,0.03%,3.75%,-3.67%,-12.67%,-15.19%,-15.24%,-15.15%,-4.62%,-0.95%,1.15%,0.04%,-17.72%,-58.64%,-33.67%,-32.00%,-,-,-,-
28,Total Shareholder Return,0.43%,-2.89%,0.03%,3.75%,-3.67%,-11.76%,-15.19%,-15.24%,-15.15%,-3.54%,-0.95%,1.15%,0.04%,-16.84%,-58.64%,-33.67%,-32.00%,1.75%,-,-,-
