,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
20,Accrued Expenses,290.4,245.97,188.78,-,-,194.69,116.08,346.82,283.34,252.1,119.16,503.11,283.23,258.57,144.21,551.83,349.91,313.07,185.33,548.8,Upgrade
21,Short-Term Debt,300,300,300,-,-,305,15.34,5,0.1,0.1,600.06,600.05,1112,1094,863.86,1160,1158,1263,1286,1535,Upgrade
22,Current Portion of Long-Term Debt,20.09,-,767.49,-,-,750,21.66,300,323.36,300.05,468.58,150.2,175.62,150.3,222.69,200.3,100.05,100,0.38,2,Upgrade
23,Current Portion of Leases,-,19.31,-,-,-,20.87,-,23.15,-,25.35,-,23.74,-,21.79,-,-,-,-,-,0.4,Upgrade
24,Current Income Taxes Payable,69.18,19.45,-,-,-,40.74,82.48,9.15,54.83,8.91,69.74,13.72,54.14,8.4,46.23,8.72,57.38,9.35,45.1,10.72,Upgrade
25,Current Unearned Revenue,4778,4763,4690,-,-,4766,4793,4647,4671,4516,4158,3990,3664,3442,3400,3022,3166,2807,2568,639.61,Upgrade
26,Other Current Liabilities,164.72,333.05,228.4,-,-,240.22,268.48,334.2,358.59,449.11,388.63,397.47,491.4,312.73,276.72,296.15,312.02,319.56,261.99,234.02,Upgrade
27,Total Current Liabilities,7665,7731,7929,-,-,8253,7178,7681,7943,7959,7798,7602,7982,7365,6748,6833,6713,6225,5643,4423,Upgrade
28,Long-Term Debt,750,750,-,-,-,-,750,750,750,750,-,300,300,300.05,503.43,503.48,603.68,603.56,749,746,Upgrade
29,Long-Term Leases,40.3,40.85,38.51,-,-,32.97,34.12,38.29,42.04,46.47,57.56,55.62,180.01,177.65,177.11,101.77,-,-,0.07,0.07,Upgrade
30,Long-Term Unearned Revenue,784.3,786.18,805.04,-,-,785,748.06,744.63,725.76,529,346.37,354.22,310.99,296.59,297.62,301.73,316.93,306.78,283.9,309.41,Upgrade
31,Long-Term Deferred Tax Liabilities,300.89,302.94,302.7,-,-,309.44,304.97,300.6,305.12,301.86,299.9,296.16,193.18,191.2,188.85,184.71,187.5,185.03,182.72,170.45,Upgrade
32,Other Long-Term Liabilities,39.24,39.82,33.64,-,-,39.93,37.28,41.08,34.18,35.9,31.9,34.03,34.44,40.11,34.35,35.97,31.84,32.3,31.86,34.05,Upgrade
33,Total Liabilities,9586,9656,9114,-,-,9425,9057,9560,9803,9626,8537,8646,9005,8374,7953,7965,7856,7357,6895,5687,Upgrade
34,Common Stock,1204,1204,1213,-,-,1213,1223,1223,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,Upgrade
35,Additional Paid-In Capital,1188,912.9,1013,-,-,878.95,995.8,944.81,1341,1321,1194,1116,1092,1046,1033,1028,1100,1113,1101,1069,Upgrade
36,Retained Earnings,7443,7389,7450,-,-,7466,7376,7371,7843,7797,7758,7788,6716,6696,6587,6623,6555,6549,6420,6928,Upgrade
37,Treasury Stock,-145.04,-145.04,-254.08,-,-,-109.54,-222.93,-222.93,-625.72,-548.81,-453.51,-453.51,-453.51,-453.51,-453.51,-453.51,-453.51,-453.51,-453.51,-453.51,Upgrade
38,Comprehensive Income & Other,-103.85,-119.07,-113.12,-,-,-66.65,-92.23,-78.6,-97.2,-124.27,-137.16,-113.04,-83.77,-102.93,-94.03,-80.23,-55.55,-21.08,-23.96,-43.09,Upgrade
39,Total Common Equity,9586,9242,9309,-,-,9382,9280,9238,9704,9687,9604,9579,8513,8428,8314,8360,8387,8430,8287,8743,Upgrade
40,Minority Interest,60.96,64.71,66.92,-,-,71.13,70.04,74.2,77.45,77.62,77.94,79.76,2.02,41.52,52.65,82.76,35.5,43.4,85.52,102.35,Upgrade
41,Shareholders' Equity,9647,9306,9376,-,-,9454,9350,9312,9781,9765,9682,9659,8515,8470,8367,8443,8423,8473,8372,8845,Upgrade
42,Total Liabilities & Equity,19233,18963,18490,-,-,18878,18407,18872,19584,19391,18219,18305,17519,16844,16320,16408,16279,15830,15267,14532,Upgrade
43,Total Debt,1110,1110,1106,-,-,1109,821.11,1116,1116,1122,1126,1130,1767,1744,1767,1965,1862,1966,2036,2284,Upgrade
44,Net Cash (Debt),1327,1631,1650,-,-,1404,1411,2021,1177,1531,1368,2402,751.92,510,227.07,1284,129.77,136.67,47.85,1030,Upgrade
45,Net Cash Growth,-,16.16%,16.96%,-,-,-8.30%,3.16%,-15.86%,56.54%,200.14%,502.25%,87.13%,479.42%,273.17%,374.55%,24.57%,-,-,-11.57%,-25.44%,Upgrade
46,Net Cash Per Share,1.25,1.43,1.26,-,-,1.26,1.12,1.66,1.03,1.12,1.36,1.75,0.73,0.42,0.18,1.02,0.14,0.10,0.04,0.76,Upgrade
47,Filing Date Shares Outstanding,1185,1144,1195,-,1299,1112,1205,1205,1226,1233,1203,1203,1203,1203,1203,1203,907.27,1203,1278,1203,Upgrade
48,Total Common Shares Outstanding,1185,1144,1195,-,1299,1112,1205,1205,1226,1233,1203,1203,1203,1203,1203,1203,907.27,1203,1278,1203,Upgrade
49,Working Capital,3225,3150,2735,-,-,2759,3382,3274,3535,3710,2815,3048,2513,2432,2481,2557,2408,2348,2436,2950,Upgrade
50,Book Value Per Share,8.09,8.08,7.79,-,-,8.44,7.70,7.67,7.91,7.85,7.99,7.97,7.08,7.01,6.91,6.95,6.97,7.01,6.89,7.27,Upgrade
51,Tangible Book Value,8578,8227,8267,-,-,8376,8258,8192,8632,9083,8993,8942,7821,7721,7640,7665,7664,7692,7574,8125,Upgrade
52,Tangible Book Value Per Share,7.24,7.19,6.92,-,-,7.53,6.85,6.80,7.04,7.36,7.48,7.44,6.50,6.42,6.35,6.37,6.37,6.40,6.30,6.76,Upgrade
53,Buildings,-,2026,-,-,-,1715,-,1733,-,1720,-,1691,-,1827,-,1828,-,1814,-,1630,Upgrade
54,Machinery,-,1097,-,-,-,1039,-,1010,-,995.09,-,967.65,-,1168,-,1132,-,1118,-,1075,Upgrade
55,Construction In Progress,-,233.55,-,-,-,159.23,-,38.82,-,4.27,-,37,-,-,-,-,-,0.28,-,142.99,Upgrade
