,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
14,Other Non Operating Income (Expenses),-7.79,24.75,-34.22,-,-35.51,6.31,-2.3,-42.54,25.98,13.05,-18.24,2.76,-17.3,13.21,-16.61,-0.68,-3.38,-7.31,2.77,-13.89,Upgrade
15,EBT Excluding Unusual Items,209.95,96.15,48,-,149.7,108.16,74.53,-480.29,222.57,170.05,40.41,857.43,40.03,164.17,-30.42,-201.07,42.49,64.44,-57.92,-133.14,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-9.49,-,-,-,-8.01,-,-,-,-22.24,-,-,-,-17.22,Upgrade
17,Gain (Loss) on Sale of Investments,-41.62,-43.49,-29.5,-,-62.36,-7.78,-56.99,-120.28,-69.49,-36.03,-54.65,91.72,-23.28,-46.68,-25.18,28.51,-24.46,24.32,-41.78,-53.86,Upgrade
18,Gain (Loss) on Sale of Assets,0.05,-0.07,-0.12,-,0.22,-0.27,-0.02,-2.1,0.04,-0.18,-0.15,0.01,-0.19,-0.43,-0.16,-5.5,-0.28,0.22,-0.01,-8.87,Upgrade
19,Asset Writedown,-57.21,4.19,-4.19,-,-43.68,1.95,-1.95,32.06,-32.94,2.25,-2.25,27.01,-27.71,1.34,-1.34,7.02,-8.71,3.37,-3.37,5.16,Upgrade
20,Other Unusual Items,-48.7,48.56,0.14,-,-0.01,0.01,-,67.35,-58.62,-0.23,0.25,137.4,0.02,-0.02,-,215.15,-0.03,0.03,-,165.74,Upgrade
21,Pretax Income,62.47,105.34,14.33,-,43.88,102.06,15.58,-512.75,61.57,135.86,-16.39,1106,-11.13,118.38,-57.1,21.86,9.01,92.39,-103.09,-42.19,Upgrade
22,Income Tax Expense,13.88,13.71,12.42,-,6.17,11.34,14.69,-39.92,16.12,23.17,15.83,75.75,13.01,21.88,13.09,-18.53,9.43,23.55,22.23,-11.8,Upgrade
23,Earnings From Continuing Operations,48.59,91.63,1.91,-,37.71,90.72,0.89,-472.83,45.45,112.69,-32.23,1030,-24.14,96.5,-70.19,40.39,-0.43,68.84,-125.32,-30.39,Upgrade
24,Minority Interest in Earnings,5.49,1.4,3.35,-,1.98,-0.72,4.17,1.24,0.22,0.46,2.1,51.09,43.6,13.25,33.32,20.56,5.55,60.18,61.41,31.62,Upgrade
25,Net Income,54.08,93.03,5.25,-,39.7,90.01,5.06,-471.58,45.67,113.15,-30.12,1081,19.46,109.75,-36.87,60.95,5.12,129.02,-63.91,1.23,Upgrade
26,Net Income to Common,54.08,93.03,5.25,-,39.7,90.01,5.06,-471.58,45.67,113.15,-30.12,1081,19.46,109.75,-36.87,60.95,5.12,129.02,-63.91,1.23,Upgrade
27,Net Income Growth,36.23%,3.36%,3.83%,-,-13.08%,-20.46%,-,-,134.71%,3.10%,-,1673.42%,279.79%,-14.93%,-,4869.28%,-49.65%,490.93%,-,-,Upgrade
28,Shares Outstanding (Basic),1059,1144,1313,-,1299,1112,1265,1219,1138,1368,1004,1326,1033,1200,1229,1259,907,1326,1278,1362,Upgrade
29,Shares Outstanding (Diluted),1059,1144,1313,-,1299,1112,1265,1219,1138,1368,1004,1376,1033,1200,1229,1259,907,1326,1278,1362,Upgrade
30,Shares Change (YoY),-18.46%,2.88%,3.83%,-,14.15%,-18.73%,25.96%,-11.35%,10.10%,14.00%,-18.31%,9.28%,13.90%,-9.51%,-3.84%,-7.59%,-24.30%,5.04%,-2.83%,17.62%,Upgrade
31,EPS (Basic),0.05,0.08,0.00,-,0.03,0.08,0.00,-0.39,0.04,0.08,-0.03,0.82,0.02,0.09,-0.03,0.05,0.01,0.10,-0.05,0.00,Upgrade
32,EPS (Diluted),0.05,0.08,0.00,-,0.03,0.08,0.00,-0.39,0.04,0.08,-0.03,0.79,0.02,0.09,-0.03,0.05,0.01,0.10,-0.05,0.00,Upgrade
33,EPS Growth,67.07%,0.46%,0%,-,-23.85%,-2.12%,-,-,113.18%,-9.56%,-,1522.78%,233.45%,-6.00%,-,5280.44%,-33.48%,462.57%,-,-,Upgrade
34,Free Cash Flow,-196.62,284.11,-589.49,-,46.03,-106.53,-589.66,872.73,-228.85,279.6,-987.87,1056,70.48,263.64,-905.76,1156,-83.14,170.16,-1017,1599,Upgrade
35,Free Cash Flow Per Share,-0.19,0.25,-0.45,-,0.04,-0.10,-0.47,0.72,-0.20,0.20,-0.98,0.77,0.07,0.22,-0.74,0.92,-0.09,0.13,-0.80,1.17,Upgrade
36,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.060,-,-,-,-,-,-,-,-,Upgrade
37,Gross Margin,26.48%,28.43%,30.13%,-,29.52%,27.51%,29.79%,4.47%,28.89%,29.37%,35.10%,17.05%,27.67%,29.26%,35.94%,15.74%,28.41%,32.64%,35.98%,18.21%,Upgrade
38,Operating Margin,6.50%,5.02%,4.77%,-,7.50%,5.25%,4.87%,-11.81%,9.16%,7.56%,5.14%,-3.37%,2.34%,8.39%,-0.32%,-5.11%,3.34%,5.43%,-6.57%,-2.76%,Upgrade
39,Profit Margin,2.09%,3.77%,0.29%,-,1.67%,4.03%,0.31%,-12.09%,2.09%,5.38%,-2.36%,31.66%,0.92%,5.39%,-3.14%,1.82%,0.29%,8.20%,-7.05%,0.03%,Upgrade
40,Free Cash Flow Margin,-7.59%,11.51%,-32.20%,-,1.94%,-4.77%,-35.60%,22.37%,-10.49%,13.28%,-77.27%,30.94%,3.34%,12.94%,-77.15%,34.45%,-4.65%,10.82%,-112.19%,42.66%,Upgrade
41,EBITDA,242.95,197.57,161.93,-,261.76,193.84,164.4,-377.1,250.07,239.01,156.67,-23.92,141.7,262.68,88.44,-79.25,137.66,175.74,18.39,-25.46,Upgrade
42,EBITDA Margin,9.38%,8.00%,8.85%,-,11.03%,8.68%,9.92%,-9.66%,11.47%,11.36%,12.25%,-0.70%,6.72%,12.90%,7.53%,-2.36%,7.70%,11.17%,2.03%,-0.68%,Upgrade
43,D&A For EBITDA,74.6,73.71,74.6,-,83.7,76.64,83.7,83.7,50.35,80.01,91.01,91.01,92.23,91.84,92.23,92.23,77.92,90.4,77.92,77.92,Upgrade
44,EBIT,168.35,123.86,87.34,-,178.06,117.2,80.7,-460.8,199.71,159.01,65.66,-114.93,49.46,170.84,-3.79,-171.49,59.74,85.34,-59.54,-103.38,Upgrade
45,EBIT Margin,6.50%,5.02%,4.77%,-,7.50%,5.25%,4.87%,-11.81%,9.16%,7.56%,5.14%,-3.37%,2.34%,8.39%,-0.32%,-5.11%,3.34%,5.43%,-6.57%,-2.76%,Upgrade
46,Effective Tax Rate,22.22%,13.02%,86.69%,-,14.06%,11.11%,94.30%,-,26.18%,17.06%,-,6.85%,-,18.48%,-,-,104.73%,25.49%,-,-,Upgrade
47,Revenue as Reported,2591,2469,1830,-,2373,2233,1656,3902,2181,2105,1278,3414,2110,2037,1174,3355,1788,1573,906.08,3748,Upgrade
