,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,Operating Income,18.32,16.31,22.23,11.63,-4.1,-3.98,11.08,7.31,9.15,6.81,9.26,13.01,27.12,9.13,10.64,7.47,17.03,12.69,19.46,2.94
11,Interest Expense,-0.42,-3.73,-5.78,-1.03,-0.39,-,-0.09,-0.15,-0.08,-0.25,-0.5,-0.44,-0.1,-1.39,-,-0.9,-0.59,-0.6,-0.26,-0.42
12,Interest & Investment Income,10.54,0.17,0.16,0.08,0.01,0.75,1.53,-,0.95,0.74,0.81,1.24,1.32,0.53,0.53,0.09,0.01,-,0.26,0.13
13,Currency Exchange Gain (Loss),-,-,-,-,-0,0,-0,-,-0.32,0.32,-0.32,-,-1.61,1.13,-1.13,-,0.13,-0.81,0.81,-
14,Other Non Operating Income (Expenses),-0.01,-0,0.34,-0.48,0.17,-0.42,-0.92,0.8,0.42,-0.28,0.04,-0.32,0.3,-0.24,0.67,-0.86,-1.32,1.23,-0.52,0.63
15,EBT Excluding Unusual Items,28.43,12.75,16.95,10.21,-4.32,-3.65,11.6,7.96,10.11,7.35,9.29,13.49,27.03,9.16,10.71,5.8,15.26,12.51,19.74,3.29
16,Gain (Loss) on Sale of Investments,0.16,-0.05,-0.06,-0.05,-1.22,-0.84,0.16,-0.16,-,-,-,-,0.21,-0.15,-0.02,-0.04,-0.12,-0,-,-
17,Gain (Loss) on Sale of Assets,-0.19,-,0.12,0.08,0.42,0.03,-0.03,0,-0.21,0.29,-0.07,0.05,0.08,0.29,-0.04,-,-,-1.35,0,0.03
18,Asset Writedown,3.67,-3.67,0.6,-0.6,0.37,-0.37,0.3,-0.3,-0.46,0.46,0.25,-0.25,0.33,-0.33,0.56,-0.56,3.66,-2.18,0.78,-2.27
19,Other Unusual Items,-0.07,-4.34,4.5,-0.08,6.84,-0.47,0.47,-,8.75,-0.59,0.59,-,2.81,4.84,0.33,-,10.83,-1.62,1.62,-
20,Pretax Income,31.99,4.68,22.12,9.55,2.1,-5.3,12.51,7.5,18.19,7.51,10.07,13.29,30.46,13.81,11.54,5.19,29.63,7.35,22.15,1.05
21,Income Tax Expense,21.89,-2.69,2.38,1.48,-0.12,-1.12,1.4,0.36,2.13,1.55,0.91,1.59,4.49,1.47,1.06,0.18,4.03,0.8,2.32,-0.29
22,Earnings From Continuing Operations,10.1,7.38,19.74,8.07,2.22,-4.19,11.1,7.14,16.05,5.96,9.16,11.7,25.98,12.34,10.48,5.01,25.6,6.56,19.84,1.34
23,Minority Interest in Earnings,-1.13,0.16,1.06,-0.09,-0.84,0.29,-0.71,0.22,-0.37,0.14,0.11,-0.28,-2.02,-0.47,-0.22,-0.14,-0.88,0.15,-1.22,-0.19
24,Net Income,8.97,7.53,20.8,7.98,1.38,-3.89,10.4,7.36,15.68,6.1,9.27,11.42,23.96,11.87,10.26,4.87,24.72,6.71,18.61,1.15
25,Net Income to Common,8.97,7.53,20.8,7.98,1.38,-3.89,10.4,7.36,15.68,6.1,9.27,11.42,23.96,11.87,10.26,4.87,24.72,6.71,18.61,1.15
26,Net Income Growth,549.08%,-,100.05%,8.38%,-91.19%,-,12.15%,-35.54%,-34.54%,-48.61%,-9.65%,134.42%,-3.09%,76.95%,-44.87%,321.84%,-,-,-,-
27,Shares Outstanding (Basic),149,148,139,148,116,120,159,137,146,137,150,148,144,145,126,105,114,108,64,150
28,Shares Outstanding (Diluted),149,148,139,148,116,120,159,137,146,137,150,148,144,145,126,105,114,108,64,150
29,Shares Change (YoY),28.47%,23.35%,-12.35%,8.38%,-20.73%,-12.20%,5.90%,-7.86%,1.61%,-5.59%,19.33%,40.84%,26.07%,33.43%,96.16%,-29.69%,-,-,-,-
30,EPS (Basic),0.06,0.05,0.15,0.05,0.01,-0.03,0.07,0.05,0.11,0.04,0.06,0.08,0.17,0.08,0.08,0.05,0.22,0.06,0.29,0.01
31,EPS (Diluted),0.06,0.05,0.15,0.05,0.01,-0.03,0.07,0.05,0.11,0.04,0.06,0.08,0.17,0.08,0.08,0.05,0.22,0.06,0.29,0.01
32,EPS Growth,405.25%,-,128.25%,0%,-88.88%,-,5.90%,-30.04%,-35.58%,-45.56%,-24.28%,66.45%,-23.13%,32.61%,-71.90%,500.00%,-,-,-,-
33,Free Cash Flow,-,-22.46,-185.35,-532.28,-95.74,-19.25,-1.14,-33.39,52.63,-10.98,-8.03,-47.8,104.19,-9.85,14.87,-28.95,82.15,-24.26,-22.1,-56.51
34,Free Cash Flow Per Share,-,-0.15,-1.33,-3.59,-0.83,-0.16,-0.01,-0.24,0.36,-0.08,-0.05,-0.32,0.73,-0.07,0.12,-0.27,0.72,-0.22,-0.34,-0.38
35,Dividend Per Share,-,-,-,-,0.059,-,-,-,0.231,-,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-74.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-21.52%,31.48%,39.77%,34.44%,14.78%,23.18%,36.02%,34.61%,28.67%,26.12%,31.55%,43.54%,31.50%,34.51%,30.16%,29.48%,35.72%,37.57%,32.36%,34.67%
38,Operating Margin,10.41%,14.21%,19.17%,16.62%,-5.42%,-5.60%,13.69%,11.10%,8.41%,8.23%,12.43%,22.40%,24.22%,14.46%,13.30%,11.38%,16.39%,20.34%,19.43%,13.26%
39,Profit Margin,5.09%,6.56%,17.93%,11.40%,1.83%,-5.48%,12.84%,11.17%,14.43%,7.38%,12.44%,19.66%,21.40%,18.80%,12.83%,7.42%,23.80%,10.76%,18.58%,5.20%
40,Free Cash Flow Margin,-,-19.56%,-159.78%,-760.38%,-126.46%,-27.07%,-1.41%,-50.66%,48.41%,-13.27%,-10.78%,-82.27%,93.05%,-15.59%,18.59%,-44.13%,79.08%,-38.89%,-22.05%,-254.65%
41,EBITDA,25.62,23.61,30.3,18.93,3.2,3.57,18.63,14.87,16.7,13.02,16.65,19.22,33.33,12.87,16.57,11.41,20.97,15.42,22.2,5.68
42,EBITDA Margin,14.55%,20.57%,26.12%,27.05%,4.23%,5.02%,23.02%,22.56%,15.36%,15.74%,22.35%,33.08%,29.77%,20.38%,20.72%,17.39%,20.18%,24.73%,22.16%,25.59%
43,D&A For EBITDA,7.3,7.3,8.07,7.3,7.3,7.55,7.55,7.55,7.55,6.21,7.39,6.21,6.21,3.74,5.93,3.94,3.94,2.74,2.74,2.74
44,EBIT,18.32,16.31,22.23,11.63,-4.1,-3.98,11.08,7.31,9.15,6.81,9.26,13.01,27.12,9.13,10.64,7.47,17.03,12.69,19.46,2.94
45,EBIT Margin,10.41%,14.21%,19.17%,16.62%,-5.42%,-5.60%,13.69%,11.10%,8.41%,8.23%,12.43%,22.40%,24.22%,14.46%,13.30%,11.38%,16.39%,20.34%,19.43%,13.26%
46,Effective Tax Rate,68.44%,-,10.76%,15.47%,-,-,11.22%,4.84%,11.74%,20.66%,9.05%,11.99%,14.73%,10.65%,9.15%,3.52%,13.62%,10.81%,10.46%,-
47,Revenue as Reported,-,114.78,116,70,75.71,71.12,80.94,65.9,108.7,82.71,74.51,58.1,111.98,63.15,79.99,65.61,103.87,62.37,100.19,22.19
