,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
15,EBT Excluding Unusual Items,12.67,-12.85,-12.2,8.83,20.32,29.31,15.87,22.05,33.34,26.23,26.23,35.32,35.32,21.34,21.34,13.63
16,Gain (Loss) on Sale of Investments,0.05,0.04,-0.02,-,0,-0.01,-0,-0.05,-0.05,-0.02,-0.02,0.03,0.03,-0.35,-0.35,-
17,Gain (Loss) on Sale of Assets,0,0.06,-0.05,-,-,0,-,-0.06,-0.06,0.07,0.07,-0.06,-0.06,-,-,-
18,Asset Writedown,-14.66,0.5,-0.61,-,-5.82,2.5,-2.5,-0.02,-8.82,-0.03,-0.03,0.03,0.03,-0.03,-0.03,-
19,Other Unusual Items,-1.29,1.29,-0,-,0.06,-0.06,-,-0.77,-3.27,3.27,3.27,0.25,0.25,2.35,2.35,3.83
20,Pretax Income,-3.23,-10.96,-12.89,-,14.56,31.74,13.37,21.14,21.14,29.52,29.52,35.57,35.57,23.31,23.31,17.46
21,Income Tax Expense,3.91,-2.06,-3.34,-,-1.36,1.46,-1.2,-1.13,-1.13,1.92,1.92,2.77,2.77,1.34,1.34,-0.04
22,Net Income to Company,-7.14,-8.9,-9.55,-,15.92,30.28,14.57,22.27,22.27,27.61,27.61,32.8,32.8,21.97,21.97,17.5
23,Net Income,-7.14,-8.9,-9.55,10.58,15.92,30.28,14.57,22.27,22.27,27.61,27.61,32.8,32.8,21.97,21.97,17.5
24,Net Income to Common,-7.14,-8.9,-9.55,-,15.92,30.28,14.57,22.27,22.27,27.61,27.61,32.8,32.8,21.97,21.97,17.5
25,Net Income Growth,-,-,-,-52.50%,-28.53%,9.68%,-47.23%,-32.09%,-32.09%,25.66%,25.66%,87.43%,-,-,-,-
26,Shares Outstanding (Basic),280,281,281,281,210,211,211,214,214,210,210,212,212,209,209,219
27,Shares Outstanding (Diluted),280,281,281,281,210,211,211,214,214,210,210,212,212,209,209,219
28,Shares Change (YoY),33.18%,33.39%,33.38%,31.01%,-1.82%,0.15%,0.13%,1.04%,1.04%,0.49%,0.49%,-3.05%,-,-,-,-
29,EPS (Basic),-0.03,-0.03,-0.03,-,0.08,0.14,0.07,0.10,0.10,0.13,0.13,0.15,0.15,0.10,0.10,0.08
30,EPS (Diluted),-0.03,-0.03,-0.03,0.05,0.08,0.14,0.07,0.10,0.10,0.13,0.13,0.15,0.15,0.10,0.10,0.08
31,EPS Growth,-,-,-,-50.96%,-27.20%,9.52%,-47.30%,-32.79%,-32.79%,25.05%,25.05%,93.34%,-,-,-,-
32,Free Cash Flow,-7.51,-9.99,49.65,22.78,78.29,19.26,102.63,33.62,33.62,-34.41,-34.41,1.63,1.63,-56.86,-56.86,70.01
33,Free Cash Flow Per Share,-0.03,-0.04,0.18,0.08,0.37,0.09,0.49,0.16,0.16,-0.16,-0.16,0.01,0.01,-0.27,-0.27,0.32
34,Gross Margin,25.27%,11.70%,14.01%,16.11%,21.84%,20.70%,18.21%,18.77%,21.23%,17.69%,17.69%,17.79%,17.79%,19.17%,19.17%,21.91%
35,Operating Margin,5.50%,-6.82%,-6.33%,-,8.13%,8.83%,5.90%,6.41%,10.00%,7.30%,7.30%,8.49%,8.49%,7.60%,7.60%,7.70%
36,Profit Margin,-3.45%,-4.12%,-4.89%,-,5.98%,8.41%,5.19%,6.28%,6.28%,7.57%,7.57%,7.76%,7.76%,7.53%,7.53%,9.19%
37,Free Cash Flow Margin,-3.63%,-4.63%,25.45%,8.39%,29.41%,5.35%,36.53%,9.48%,9.48%,-9.43%,-9.43%,0.39%,0.39%,-19.49%,-19.49%,36.76%
38,EBITDA,18.04,-7.56,-5.7,15.99,26.89,38.55,21.82,29.74,42.01,30.59,30.59,39.9,39.9,26.21,26.21,18.86
39,EBITDA Margin,8.71%,-3.50%,-2.92%,5.89%,10.10%,10.70%,7.77%,8.38%,11.84%,8.38%,8.38%,9.44%,9.44%,8.98%,8.98%,9.90%
40,D&A For EBITDA,6.65,7.17,6.65,6.65,5.24,6.76,5.24,6.99,6.54,3.94,3.94,4.01,4.01,4.05,4.05,4.2
41,EBIT,11.39,-14.73,-12.36,9.33,21.64,31.79,16.58,22.75,35.47,26.65,26.65,35.89,35.89,22.16,22.16,14.66
42,EBIT Margin,5.50%,-6.82%,-6.33%,3.44%,8.13%,8.83%,5.90%,6.41%,10.00%,7.30%,7.30%,8.49%,8.49%,7.60%,7.60%,7.70%
43,Effective Tax Rate,-,-,-,-,-,4.60%,-,-,-,6.49%,6.49%,7.78%,7.78%,5.75%,5.75%,-
44,Revenue as Reported,207.02,216.07,195.05,-,266.2,360.15,280.97,354.69,-364.91,364.91,364.91,422.79,422.79,291.72,291.72,190.43
