,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
16,Accounts Payable,235.89,245.83,231.55,292.02,-,352.2,-,409.37,409.37,582.67,582.67,631.61,631.61,464.82,464.82,333.86
17,Accrued Expenses,27.81,27.54,38.25,40.04,-,55.35,-,40.6,38.12,47.05,47.05,42.06,42.06,27.95,27.95,28.15
18,Short-Term Debt,6.45,5.44,13.27,23.28,-,46.46,-,92.99,92.99,80.07,80.07,60.06,60.06,30,30,30
19,Current Portion of Long-Term Debt,1.94,-,51.39,12.21,-,12.27,-,12.27,14.33,36.77,36.77,49.03,49.03,49.03,49.03,49.03
20,Current Portion of Leases,-,2.23,-,1.76,-,1.52,-,2.06,-,0.98,0.98,1.32,1.32,1.46,1.46,-
21,Current Income Taxes Payable,4.36,1.08,5.81,1.74,-,0.56,-,3,6.03,3.68,3.68,4.34,4.34,-,-,-
22,Current Unearned Revenue,10.32,10.29,9.23,8.04,-,8.64,-,12,12,19.79,19.79,15.8,15.8,15.77,15.77,16.77
23,Other Current Liabilities,13.32,14.41,15.43,33.14,-,6.14,-,7.08,6.53,6.25,6.25,6.59,6.59,4.36,4.36,4.7
24,Total Current Liabilities,300.09,306.81,364.93,412.24,-,483.13,-,579.37,579.37,777.28,777.28,810.81,810.81,593.4,593.4,462.52
25,Long-Term Debt,-,-,-,97.18,-,103.25,-,120.16,120.16,111.11,111.11,92.8,92.8,68.79,68.79,98.07
26,Long-Term Leases,1.88,2.54,0.87,0.88,-,0.4,-,0.58,0.58,0.83,0.83,1.46,1.46,1.09,1.09,-
27,Long-Term Unearned Revenue,2.39,2.43,2.47,2.51,-,2.61,-,2.7,2.7,0.64,0.64,-,-,0.13,0.13,0.55
28,Long-Term Deferred Tax Liabilities,0.88,1.01,0.52,0.62,-,0.52,-,0.68,0.2,0,0,0.01,0.01,0,0,-
29,Other Long-Term Liabilities,4,4.56,6.38,5.89,-,6.38,-,7.17,7.17,7.27,7.27,7.1,7.1,5.82,5.82,5.33
30,Total Liabilities,309.24,317.35,375.17,519.31,-,596.29,-,710.65,710.17,897.13,897.13,912.18,912.18,669.24,669.24,566.47
31,Common Stock,280.7,280.7,280.7,280.7,-,210.53,-,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53
32,Additional Paid-In Capital,731.2,731.2,731.2,731.2,-,378.79,-,378.79,378.79,377.85,377.85,377.85,377.85,377.76,377.76,377.66
33,Retained Earnings,384.15,391.29,451.84,461.39,-,440.23,-,395.38,395.38,350.83,350.83,295.62,295.62,230.02,230.02,125
34,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,0.02,0.02,0.01,0.01,0
35,Shareholders' Equity,1396,1403,1464,1473,-,1030,984.7,984.7,984.7,939.21,939.21,884.01,884.01,818.32,818.32,713.19
36,Total Liabilities & Equity,1705,1721,1839,1993,-,1626,-,1695,1695,1836,1836,1796,1796,1488,1488,1280
37,Total Debt,10.26,10.21,65.53,135.3,-,163.9,228.06,228.06,228.06,229.77,229.77,204.68,204.68,150.37,150.37,177.1
38,Net Cash (Debt),156.72,170.52,230.51,516.26,-,27.24,-69.09,-69.09,-69.09,-100.47,-100.47,-39.52,-39.52,-31.87,-31.87,80.37
39,Net Cash Growth,-,526.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.56,0.61,0.82,1.84,-,0.13,-0.33,-0.32,-0.32,-0.48,-0.48,-0.19,-0.19,-0.15,-0.15,0.37
41,Filing Date Shares Outstanding,280.7,280.7,280.7,280.7,210.35,210.53,210.55,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53
42,Total Common Shares Outstanding,280.7,280.7,280.7,280.7,210.35,210.53,210.55,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53,210.53
43,Working Capital,881.88,882.01,946.99,1058,-,619.18,-,587.54,587.54,547.95,547.95,536.17,536.17,491.7,491.7,478.33
44,Book Value Per Share,4.97,5.00,5.21,5.25,-,4.89,4.68,4.68,4.68,4.46,4.46,4.20,4.20,3.89,3.89,3.39
45,Tangible Book Value,1329,1336,1396,1405,-,959.69,913.03,913.03,913.03,866.88,866.88,810.35,810.35,742.92,742.92,634.42
46,Tangible Book Value Per Share,4.74,4.76,4.97,5.01,-,4.56,4.34,4.34,4.34,4.12,4.12,3.85,3.85,3.53,3.53,3.01
47,Buildings,-,396.48,-,390.81,-,390.81,-,390.81,-,390.81,390.81,207.04,207.04,204.7,204.7,212.49
48,Machinery,-,180.42,-,178.52,-,169.69,-,165.79,-,133.94,133.94,131.31,131.31,127.72,127.72,120.35
49,Construction In Progress,-,-,-,-,-,-,-,-,-,9.35,9.35,128.37,128.37,82.6,82.6,9.03
