,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,"Property, Plant & Equipment",931.36,860.72,812.79,809.51,771.58,636.66,589.1,589.99,392.35,-,-,350.07,-,247.86,247.86
11,Long-Term Investments,25.75,25.75,25.75,25.75,20,4.4,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,133.19,134.22,106.68,106.14,107.2,107.86,109.15,103.87,104.66,-,-,106.94,-,69.22,69.22
13,Long-Term Deferred Tax Assets,10.43,11.76,12.38,14.31,15.33,20.2,23.52,23.86,8.6,-,-,8.25,-,6.04,6.04
14,Long-Term Deferred Charges,2.66,2.99,2.59,2.82,2.55,2.74,2.92,3.11,-,-,-,-,-,0.28,0.28
15,Other Long-Term Assets,5.35,46.34,3.58,3.57,20.69,57.26,51.79,18.2,49.04,-,-,11.38,-,37.07,37.07
16,Total Assets,2789,2639,2255,2500,2162,1924,1800,2152,1531,-,-,1336,-,1067,1067
17,Accounts Payable,122.36,111.49,143.02,262.25,228.5,135.71,254.37,413.36,475.85,-,-,463.85,-,377.92,377.92
18,Accrued Expenses,37.15,32.83,21.8,49.31,32.52,29.78,15.96,23.73,23.2,-,-,31.38,-,21.87,21.87
19,Short-Term Debt,1106,1000,557.92,655.75,511.34,352.19,191.09,189.21,256.19,-,-,157.29,-,138.5,138.5
20,Current Portion of Long-Term Debt,2.57,3.02,-,-,0.22,-,2.71,27.14,34.07,-,-,4.4,-,-,-
21,Current Portion of Leases,-,3.89,0.24,0.59,-,0.22,-,10.65,-,-,-,9.82,-,0.13,0.13
22,Current Income Taxes Payable,8.39,2.56,6.75,1.84,4.61,0.13,2.71,-,2.14,-,-,6.04,-,-,-
23,Current Unearned Revenue,33.62,56.47,62.78,61.38,47.7,96.63,34.01,128.95,24.9,-,-,50.05,-,42.62,42.62
24,Other Current Liabilities,77.6,40.43,89.18,108.38,11.16,24.09,17.25,17.39,5.35,-,-,7.07,-,20.59,20.59
25,Total Current Liabilities,1388,1251,881.69,1140,836.06,638.75,518.1,810.42,821.69,-,-,729.9,-,601.64,601.64
26,Long-Term Debt,80.34,64.23,-,-,-,-,-,72.3,80.85,-,-,50.42,-,-,-
27,Long-Term Leases,0.02,0.05,0.05,0.05,0.08,0.08,0.19,6.32,7.99,-,-,18.38,-,0.14,0.14
28,Long-Term Unearned Revenue,24.35,25.08,25.82,26.55,19.74,20.25,17.01,17.37,17.74,-,-,18.83,-,11.33,11.33
29,Other Long-Term Liabilities,-,-,13.09,-,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,1493,1340,920.64,1166,855.87,659.08,535.3,906.42,928.28,-,-,817.53,-,613.11,613.11
31,Common Stock,137.51,137.51,140,140,140,140,140,140,105,-,-,105,-,105,105
32,Additional Paid-In Capital,585.81,585.81,633.31,633.31,633.31,633.31,633.31,633.31,41.8,-,-,41.8,-,41.8,41.8
33,Retained Earnings,573.11,575.2,585.02,560.9,532.33,491.62,491.43,472.24,455.44,-,-,371.37,-,307.14,307.14
34,Treasury Stock,-,-,-23.52,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1296,1299,1335,1334,1306,1265,1265,1246,602.23,-,518.17,518.17,453.94,453.94,453.94
36,Total Liabilities & Equity,2789,2639,2255,2500,2162,1924,1800,2152,1531,-,-,1336,-,1067,1067
37,Total Debt,1189,1072,558.21,656.39,511.64,352.48,193.99,305.62,379.1,-,240.31,240.31,138.78,138.78,138.78
38,Net Cash (Debt),-556.49,-493.22,-172.61,-4.52,-82.64,13.83,132.6,543.12,-16.04,-,133.37,133.37,179.95,179.95,179.95
39,Net Cash Growth,-,-,-,-,-,-,-0.57%,307.24%,-,-,-25.89%,-,-,-,-
40,Net Cash Per Share,-4.17,-3.62,-1.22,-0.03,-0.59,0.10,0.97,4.58,-0.15,-,1.28,1.27,1.70,1.71,1.71
41,Filing Date Shares Outstanding,137.51,137.51,140,140,140,140,140,140,105,107.13,104.15,105,105.88,105,105
42,Total Common Shares Outstanding,137.51,137.51,140,140,140,140,140,140,105,107.13,104.15,105,105.88,105,105
43,Working Capital,292.41,306.12,410,398.73,388.11,456.14,505.45,602.51,154.16,-,-,129.15,-,104.93,104.93
44,Book Value Per Share,9.43,9.44,9.53,9.53,9.33,9.04,9.03,8.90,5.74,-,4.93,4.93,4.32,4.32,4.32
45,Tangible Book Value,1163,1164,1228,1228,1198,1157,1156,1142,497.57,-,411.23,411.23,384.72,384.72,384.72
46,Tangible Book Value Per Share,8.46,8.47,8.77,8.77,8.56,8.26,8.25,8.15,4.74,-,3.92,3.92,3.66,3.66,3.66
47,Buildings,-,387.58,-,323.8,-,306.04,-,291.57,-,-,-,200.88,-,149.7,149.7
48,Machinery,-,645.06,-,582.76,-,424.74,-,308.45,-,-,-,247.91,-,211.44,211.44
49,Construction In Progress,-,100.94,-,123.18,-,98.37,-,161.76,-,-,-,44.14,-,17.47,17.47
