,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Operating Income,33.65,28.16,30.4,26.36,53.27,39.75,24.04,-24.2,27.45,33.86,44.39,26.91,59.19,31.43,31.43
11,Interest Expense,-4.23,-8.45,-1.46,-4.05,-3.19,-2.81,-3.25,-3.03,-2.89,-2.59,-2.76,-2.57,-1.59,-0.69,-0.69
12,Interest & Investment Income,1.37,2.18,2.25,2.31,0.58,1.81,2.15,2.15,1.43,0.28,0.6,0.41,0.42,0.41,0.41
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-0.01,0.01,-0,-0
14,Other Non Operating Income (Expenses),-0.38,2.03,-2.5,-0.08,-0.01,-0.12,-0.18,-0.11,-0.09,-0.07,-0.03,0.27,-0.39,-0.05,-0.05
15,EBT Excluding Unusual Items,30.41,23.93,28.7,24.55,50.65,38.64,22.77,-25.19,25.9,31.47,42.2,25,57.64,31.09,31.09
16,Gain (Loss) on Sale of Investments,-1.23,-1.9,-2.09,-1.03,-1.44,-3.5,-1.35,-1.19,-1.12,-1.64,-1.37,-2.14,-0.23,-1.37,-1.37
17,Gain (Loss) on Sale of Assets,-0.05,-0.07,-,-0.01,-,-,0.11,-0.09,0.09,-0.09,-,-8.02,-0.01,0,0
18,Asset Writedown,-0.24,-0.1,0.1,-0.01,0.01,-0.11,0.11,-,-,-,-,-,-,-,-
19,Other Unusual Items,-9.83,8.69,-0.04,4.25,-0.08,0.08,-,17.07,-0.15,0.15,-,5.3,-4,2,2
20,Pretax Income,19.07,30.55,26.67,27.75,49.13,35.11,21.64,-9.4,24.72,29.89,40.83,20.13,53.4,31.73,31.73
21,Income Tax Expense,3.29,3.24,2.55,-0.82,8.42,4.12,2.45,-26.2,2.98,4.01,4.37,1.38,7.93,3.81,3.81
22,Net Income,15.78,27.31,24.12,28.57,40.71,30.99,19.19,16.8,21.73,25.88,36.45,18.76,45.47,27.92,27.92
23,Net Income to Common,15.78,27.31,24.12,28.57,40.71,30.99,19.19,16.8,21.73,25.88,36.45,18.76,45.47,27.92,27.92
24,Net Income Growth,-61.24%,-11.87%,25.69%,70.05%,87.33%,19.77%,-47.36%,-10.43%,-52.21%,-7.33%,30.55%,-,-,-,-
25,Shares Outstanding (Basic),133,136,142,143,141,142,137,119,104,107,104,105,106,105,105
26,Shares Outstanding (Diluted),133,136,142,143,141,142,137,119,104,107,104,105,106,105,105
27,Shares Change (YoY),-5.14%,-3.94%,3.51%,20.31%,35.39%,32.28%,31.61%,13.26%,-1.83%,1.67%,-1.16%,-,-,-,-
28,EPS (Basic),0.12,0.20,0.17,0.20,0.29,0.22,0.14,0.14,0.21,0.24,0.35,0.18,0.43,0.27,0.27
29,EPS (Diluted),0.12,0.20,0.17,0.20,0.29,0.22,0.14,0.14,0.21,0.24,0.35,0.18,0.43,0.27,0.27
30,EPS Growth,-59.14%,-8.26%,21.43%,41.34%,38.37%,-9.46%,-60.00%,-20.92%,-51.32%,-8.86%,32.08%,-,-,-,-
31,Free Cash Flow,8.12,-190.73,-70.62,-31.99,-153.43,-140.48,-269.89,-34.59,-190.56,107.08,-141.39,161.35,-203.19,-14.27,-14.27
32,Free Cash Flow Per Share,0.06,-1.40,-0.50,-0.22,-1.09,-0.99,-1.97,-0.29,-1.83,1.00,-1.36,1.54,-1.92,-0.14,-0.14
33,Dividend Per Share,-,0.130,-,0.270,-,-,-,0.220,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,22.73%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,8.69%,10.74%,10.15%,9.13%,12.51%,11.06%,9.48%,3.12%,9.21%,9.62%,14.10%,12.93%,15.46%,14.57%,14.57%
36,Operating Margin,5.40%,4.19%,5.55%,4.29%,8.07%,6.67%,5.29%,-5.43%,5.71%,6.45%,10.14%,5.70%,12.00%,8.44%,8.44%
37,Profit Margin,2.53%,4.07%,4.41%,4.65%,6.17%,5.20%,4.22%,3.77%,4.52%,4.93%,8.33%,3.97%,9.22%,7.50%,7.50%
38,Free Cash Flow Margin,1.30%,-28.40%,-12.90%,-5.20%,-23.26%,-23.57%,-59.40%,-7.76%,-39.65%,20.40%,-32.31%,34.17%,-41.20%,-3.83%,-3.83%
39,EBITDA,46.75,46.01,43.5,39.47,61.95,51.2,32.72,-15.52,35,42.85,51.95,34.47,64.28,-,-
40,EBITDA Margin,7.50%,6.85%,7.95%,6.42%,9.39%,8.59%,7.20%,-3.48%,7.28%,8.16%,11.87%,7.30%,13.03%,-,-
41,D&A For EBITDA,13.11,17.85,13.11,13.11,8.68,11.45,8.68,8.68,7.56,8.99,7.56,7.56,5.09,-,-
42,EBIT,33.65,28.16,30.4,26.36,53.27,39.75,24.04,-24.2,27.45,33.86,44.39,26.91,59.19,31.43,31.43
43,EBIT Margin,5.40%,4.19%,5.55%,4.29%,8.07%,6.67%,5.29%,-5.43%,5.71%,6.45%,10.14%,5.70%,12.00%,8.44%,8.44%
44,Effective Tax Rate,17.26%,10.60%,9.55%,-,17.14%,11.74%,11.32%,-,12.07%,13.43%,10.71%,6.83%,14.84%,12.00%,12.00%
45,Revenue as Reported,623.62,671.51,547.28,614.73,659.71,595.95,454.32,445.94,480.55,524.83,437.64,472.24,1238,-,-
