,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
28,Shares Change (YoY),0.24%,-0.96%,0.80%,-,0.14%,8.72%,-9.41%,28.54%,-1.22%,3.49%,-1.95%,-38.39%,1.11%,-7.92%,8.16%,60.12%,70.94%,103.67%,19.08%,-3.63%,Upgrade
29,EPS (Basic),0.02,0.04,0.00,-,0.03,0.04,-0.00,0.09,0.02,0.00,0.00,0.04,0.02,0.00,0.00,0.02,0.03,0.02,0.00,0.03,Upgrade
30,EPS (Diluted),0.02,0.04,0.00,-,0.03,0.04,-0.00,0.09,0.02,0.00,0.00,0.04,0.02,0.00,0.00,0.02,0.03,0.02,0.00,0.03,Upgrade
31,EPS Growth,-16.57%,-0.23%,-,-,10.24%,1668.10%,-,142.00%,7.07%,-38.10%,100.00%,133.12%,-16.27%,-85.81%,-23.08%,-39.39%,-77.11%,-58.59%,-87.00%,-48.16%,Upgrade
32,Free Cash Flow,-52.72,139.22,-375.41,-,-31.85,280.86,-9.53,149.6,225.71,157.71,-187.25,-87.18,194.24,-35.11,-38.73,-1.06,86.96,334.5,-27.05,58.61,Upgrade
33,Free Cash Flow Per Share,-0.04,0.11,-0.35,-,-0.03,0.21,-0.01,0.13,0.19,0.13,-0.16,-0.09,0.16,-0.03,-0.03,-0.00,0.07,0.26,-0.02,0.06,Upgrade
34,Dividend Per Share,-,-,-,-,-,-,-,0.040,-,-,-,0.020,-,-,-,0.025,-,-,-,0.050,Upgrade
35,Dividend Growth,-,-,-,-,-,-,-,100.00%,-,-,-,-20.00%,-,-,-,-50.00%,-,-,-,-16.67%,Upgrade
36,Gross Margin,10.19%,18.28%,8.40%,-,13.26%,11.89%,6.17%,10.54%,8.96%,8.91%,6.93%,12.06%,7.20%,6.30%,7.35%,10.08%,8.59%,7.90%,7.56%,12.17%,Upgrade
37,Operating Margin,4.42%,11.28%,3.45%,-,7.90%,8.14%,2.32%,6.11%,3.33%,2.05%,2.82%,0.54%,4.22%,2.84%,2.84%,2.01%,5.28%,4.43%,4.30%,4.85%,Upgrade
38,Profit Margin,2.01%,6.07%,0.03%,-,2.51%,3.77%,-0.03%,9.35%,2.26%,0.21%,0.35%,4.35%,1.54%,0.24%,0.18%,1.49%,2.60%,2.12%,0.35%,2.87%,Upgrade
39,Free Cash Flow Margin,-4.12%,17.44%,-27.22%,-,-2.59%,21.63%,-0.61%,13.01%,18.29%,12.99%,-13.73%,-10.98%,11.33%,-2.14%,-2.91%,-0.07%,7.25%,23.26%,-3.26%,6.79%,Upgrade
40,EBITDA,125.29,155.68,116.24,-,169.08,174.91,108.47,142.25,106.59,87,104.65,70.45,131.6,109.4,97.21,91.79,106.39,117.71,78.75,84.93,Upgrade
41,EBITDA Margin,9.78%,19.51%,8.43%,-,13.77%,13.47%,6.90%,12.37%,8.64%,7.17%,7.67%,8.87%,7.67%,6.67%,7.29%,5.69%,8.87%,8.19%,9.49%,9.84%,Upgrade
42,D&A For EBITDA,68.69,65.65,68.69,-,72.01,69.25,72.01,72.01,65.47,62.1,66.14,66.14,59.3,62.82,59.3,59.3,43.05,54.02,43.05,43.05,Upgrade
43,EBIT,56.6,90.03,47.55,-,97.07,105.66,36.46,70.25,41.12,24.9,38.51,4.31,72.3,46.58,37.9,32.48,63.34,63.69,35.7,41.88,Upgrade
44,EBIT Margin,4.42%,11.28%,3.45%,-,7.90%,8.14%,2.32%,6.11%,3.33%,2.05%,2.82%,0.54%,4.22%,2.84%,2.84%,2.01%,5.28%,4.43%,4.30%,4.85%,Upgrade
45,Effective Tax Rate,22.47%,18.12%,40.61%,-,26.83%,16.78%,45.36%,14.98%,17.30%,41.88%,45.56%,4.58%,21.21%,42.05%,40.68%,14.00%,14.16%,15.28%,32.71%,18.87%,Upgrade
46,Revenue as Reported,1280,798.14,1379,-,1228,1298,1572,1150,1234,1214,1364,794.25,1715,1640,1333,1614,1199,1438,829.85,863.53,Upgrade
