,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
21,Quick Ratio,1.41,1.41,1.62,2.35,-,-,1.06,0.82,0.97,0.79,0.76,0.60,0.89,0.75,0.60,0.68,0.91,0.75,0.72,0.73,0.68,Upgrade
22,Current Ratio,2.02,2.02,2.13,2.72,-,-,2.10,1.65,1.82,1.34,1.24,1.84,1.35,1.24,1.19,1.29,1.47,1.25,1.22,1.25,1.12,Upgrade
23,Return on Equity (ROE),2.35%,3.47%,-,-,-,3.89%,0.63%,6.73%,2.31%,0.86%,0.52%,2.83%,2.15%,0.61%,0.50%,2.28%,2.42%,2.48%,0.51%,2.78%,Upgrade,
24,Return on Assets (ROA),1.12%,1.77%,-,-,-,2.03%,0.71%,1.38%,0.81%,0.48%,0.76%,0.09%,1.42%,0.91%,0.75%,0.64%,1.24%,1.25%,0.71%,0.95%,Upgrade,
25,Return on Capital (ROIC),1.30%,2.00%,-,-,-,2.40%,0.84%,1.61%,0.93%,0.56%,0.87%,0.10%,1.66%,1.08%,0.88%,0.74%,1.45%,1.51%,0.85%,1.11%,Upgrade,
26,Return on Capital Employed (ROCE),1.46%,1.74%,2.14%,2.15%,-,-,2.28%,1.62%,1.61%,1.02%,1.33%,1.54%,1.52%,1.82%,1.75%,1.89%,1.83%,2.01%,1.82%,2.05%,2.25%,Upgrade
27,Earnings Yield,10.24%,1.51%,1.85%,1.60%,-,3.58%,3.73%,2.73%,3.03%,1.45%,1.42%,1.37%,1.39%,1.31%,1.42%,2.01%,1.95%,2.00%,3.22%,3.24%,2.92%,Upgrade
28,FCF Yield,-2.64%,-5.84%,-6.22%,-2.52%,-,7.45%,13.10%,10.38%,7.34%,2.27%,1.61%,-2.26%,0.69%,2.75%,0.28%,8.72%,8.65%,10.12%,10.82%,2.21%,3.89%,Upgrade
29,Dividend Yield,0.89%,-,-,-,-,-,-,-,1.03%,-,-,-,0.50%,-,-,-,0.68%,-,-,-,1.14%,Upgrade
30,Payout Ratio,14.91%,195.88%,172.42%,9210.86%,-,500.41%,206.33%,-,51.66%,242.74%,2276.12%,990.47%,360.61%,263.30%,1244.90%,1976.93%,266.08%,308.86%,162.36%,1780.46%,297.81%,Upgrade
31,Buyback Yield / Dilution,0.00%,-0.24%,0.96%,-0.80%,-,-0.14%,-8.72%,9.41%,-28.54%,1.22%,-3.49%,1.95%,38.39%,-1.11%,7.92%,-8.16%,-60.12%,-70.94%,-103.67%,-19.08%,3.63%,Upgrade
32,Total Shareholder Return,0.89%,-0.24%,0.96%,-0.80%,-,-0.14%,-8.72%,9.41%,-27.51%,1.22%,-3.49%,1.95%,38.89%,-1.11%,7.92%,-8.16%,-59.45%,-70.94%,-103.67%,-19.08%,4.77%,Upgrade
