,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
18,Accounts Payable,304.25,382.03,383.83,-,-,305.98,263.15,340.29,343.73,312.05,593.69,361.45,227.5,327.61,280.94,276.67,192.32,298.02,356.97,322.3,Upgrade
19,Accrued Expenses,4.82,23.99,14.78,-,-,22.64,3.43,15.54,4.64,18.43,4.2,12.51,4.78,20.46,4.92,14.36,4.68,15.05,6.44,13.41,Upgrade
20,Short-Term Debt,-,-,-,-,-,-,7,27.02,-,217,207,219.53,330,110,100,100.03,504,204,304,484,Upgrade
21,Current Portion of Long-Term Debt,292.37,394.43,441.88,-,-,436.5,527.38,323.4,509.86,695.1,671.56,413.88,566.84,578.15,464.56,260.12,594.81,607.02,-,587.73,Upgrade
22,Current Portion of Leases,-,-,-,-,-,0.19,-,0.19,-,-,-,0.19,-,-,-,-,-,7,-,14,Upgrade
23,Current Income Taxes Payable,18.39,7.69,32.65,-,-,15.6,27.3,18.05,29,12.52,29.55,15.87,23.21,7.43,24.08,13.19,18.84,7.65,14.4,12.04,Upgrade
24,Current Unearned Revenue,524.29,392.73,145.95,-,-,457.91,431.73,325.5,594.86,574.64,574.26,361.19,684.87,786.81,730.39,464.44,797.18,787.6,728.88,418.19,Upgrade
25,Other Current Liabilities,424.31,322.65,338.6,-,-,918.68,856.39,903.11,388.87,356.98,385.34,355.4,476.28,692.09,688.84,790.92,453.92,696.56,1168,658.55,Upgrade
26,Total Current Liabilities,1568,1524,1358,-,-,2157,2116,1953,1871,2187,2466,1740,2313,2523,2294,1920,2566,2623,2578,2510,Upgrade
27,Long-Term Debt,2739,2583,3261,-,-,3647,3235,3500,3500,3429,3334,3573,3388,3293,3393,3612,3337,3241,3350,3018,Upgrade
28,Long-Term Leases,-,-,-,-,-,0.43,-,-,0.19,0.19,0.18,0.18,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,243.62,240.35,214.24,-,-,177.19,125.72,123.96,106.81,107.33,107,106.79,105.51,105.83,101.34,101.81,49.68,43.43,43.83,43.97,Upgrade
30,Long-Term Deferred Tax Liabilities,12.17,12.17,12.17,-,-,12.05,12.05,12.09,12.32,12.32,12.32,12.32,12.7,12.7,12.7,12.7,13.02,13.02,13.02,13.02,Upgrade
31,Other Long-Term Liabilities,131.42,140.94,141.13,-,-,124.02,96.47,96.05,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
32,Total Liabilities,4808,4614,5102,-,-,6219,5687,5790,5594,5840,6026,5541,5920,6036,5904,5752,6066,6023,6088,5691,Upgrade
33,Common Stock,1187,1187,1187,-,-,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,Upgrade
34,Additional Paid-In Capital,3263,3295,3295,-,-,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3230,3230,3230,3230,Upgrade
35,Retained Earnings,1715,1731,1736,-,-,1157,1166,1156,1053,1026,1047,1042,1007,1011,1007,1004,980.31,1008,978.03,975.14,Upgrade
36,Comprehensive Income & Other,35.87,37.65,36.64,-,-,39.94,40.15,39.68,36.41,34.99,34.5,33.39,40.3,40.74,39.53,38.74,41.12,41.84,40.99,39.57,Upgrade
37,Total Common Equity,6200,6251,6255,-,-,5679,5687,5677,5571,5542,5563,5557,5529,5533,5528,5525,5438,5467,5436,5431,Upgrade
38,Minority Interest,1712,1636,1637,-,-,1388,1379,1368,1362,1350,1346,1256,1242,1235,1289,1283,1242,1243,1236,1231,Upgrade
39,Shareholders' Equity,7912,7887,7891,-,-,7067,7067,7045,6933,6892,6909,6812,6771,6768,6817,6807,6680,6710,6672,6662,Upgrade
40,Total Liabilities & Equity,12720,12501,12993,-,-,13286,12754,12835,12527,12732,12935,12354,12691,12804,12721,12559,12746,12733,12760,12353,Upgrade
41,Total Debt,3031,2977,3703,-,-,4084,3769,3851,4010,4341,4213,4207,4285,3982,3958,3972,4435,4059,3654,4104,Upgrade
42,Net Cash (Debt),-1560,-1234,-1589,-,-,-2261,-2408,-2381,-2973,-3132,-3241,-3199,-3073,-2985,-2865,-2695,-3013,-2785,-2532,-2977,Upgrade
43,Net Cash Per Share,-1.31,-0.95,-1.48,-,-,-1.73,-2.26,-2.00,-2.51,-2.60,-2.75,-3.45,-2.57,-2.57,-2.38,-1.79,-2.55,-2.21,-2.28,-3.17,Upgrade
44,Filing Date Shares Outstanding,1187,1187,1187,-,1184,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,Upgrade
45,Total Common Shares Outstanding,1187,1187,1187,-,1184,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,Upgrade
46,Working Capital,1594,1723,2338,-,-,2368,1365,1596,631.22,514.63,2061,613.84,557.13,489.66,664.07,908.87,634.59,583.62,656.16,304.27,Upgrade
47,Book Value Per Share,5.22,5.27,5.27,-,-,4.78,4.79,4.78,4.69,4.67,4.69,4.68,4.66,4.66,4.66,4.65,4.58,4.61,4.58,4.58,Upgrade
48,Tangible Book Value,5288,5348,5344,-,-,4711,4609,4585,4458,4344,4746,4301,4410,4283,4396,4262,4291,4190,4277,4142,Upgrade
49,Tangible Book Value Per Share,4.46,4.51,4.50,-,-,3.97,3.88,3.86,3.76,3.66,4.00,3.62,3.72,3.61,3.70,3.59,3.62,3.53,3.60,3.49,Upgrade
50,Buildings,-,1584,-,-,-,1712,-,1716,-,1777,-,1776,-,1736,-,1749,-,1319,-,1327,Upgrade
51,Machinery,-,2365,-,-,-,2232,-,2261,-,2118,-,2119,-,1746,-,1742,-,1329,-,1431,Upgrade
52,Construction In Progress,-,328.31,-,-,-,771.27,-,668.44,-,1226,-,1079,-,1433,-,1265,-,2377,-,2276,Upgrade
