,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Earnings From Continuing Operations,74.18,84.58,63.72,36.28,68.56,97.21,86.2,76.92,129.33,149.26,73.77,78.05,104.54,2.05,2.05
23,Minority Interest in Earnings,-9.98,-10.48,-7.33,-4.28,-7.82,-13,-8.97,-13.57,-24.15,-26.79,-13.45,-13.09,-19.71,-2.77,-2.77
24,Net Income,64.2,74.1,56.38,32,60.74,84.21,77.23,63.35,105.18,122.47,60.32,64.96,84.83,-0.71,-0.71
25,Net Income to Common,64.2,74.1,56.38,32,60.74,84.21,77.23,63.35,105.18,122.47,60.32,64.96,84.83,-0.71,-0.71
26,Net Income Growth,5.69%,-12.00%,-26.99%,-49.48%,-42.25%,-31.24%,28.03%,-2.47%,23.99%,-,-,-,-,-,-
27,Shares Outstanding (Basic),1041,1482,1128,1381,1219,1196,1287,1192,1049,1145,1005,1176,967,907,907
28,Shares Outstanding (Diluted),1041,1482,1128,1381,1219,1196,1287,1192,1049,1145,1005,1176,967,907,907
29,Shares Change (YoY),-14.66%,23.86%,-12.39%,15.84%,16.21%,4.48%,28.03%,1.33%,8.53%,26.30%,10.88%,-,-,-,-
30,EPS (Basic),0.06,0.05,0.05,0.02,0.05,0.07,0.06,0.05,0.10,0.11,0.06,0.06,0.09,-0.00,-0.00
31,EPS (Diluted),0.06,0.05,0.05,0.02,0.05,0.07,0.06,0.05,0.10,0.11,0.06,0.06,0.09,-0.00,-0.00
32,EPS Growth,23.84%,-28.96%,-16.67%,-56.39%,-50.31%,-34.19%,0%,-3.76%,14.25%,-,-,-,-,-,-
33,Free Cash Flow,-15.25,-2.84,4.59,-5.31,86.01,44.97,34.1,53.89,97.58,52.78,50.13,-37.31,122.22,-34.9,-34.9
34,Free Cash Flow Per Share,-0.01,-0.00,0.00,-0.00,0.07,0.04,0.03,0.05,0.09,0.05,0.05,-0.03,0.13,-0.04,-0.04
35,Dividend Per Share,-,-,-,0.010,-,0.060,-,-,-,-,-,-,-,-,-
36,Gross Margin,39.30%,37.90%,31.94%,24.78%,29.76%,38.67%,37.45%,40.32%,39.33%,39.54%,33.27%,31.44%,37.39%,18.53%,18.53%
37,Operating Margin,29.93%,20.21%,24.84%,-27.37%,24.88%,31.79%,33.19%,10.38%,30.63%,35.64%,26.95%,-1.95%,51.10%,-9.69%,-9.69%
38,Profit Margin,24.14%,27.19%,24.03%,18.82%,23.39%,30.90%,29.92%,25.28%,33.99%,36.65%,21.46%,23.16%,36.15%,-0.40%,-0.40%
39,Free Cash Flow Margin,-5.73%,-1.04%,1.96%,-3.12%,33.12%,16.50%,13.21%,21.50%,31.53%,15.79%,17.84%,-13.30%,52.08%,-19.72%,-19.72%
40,EBITDA,99.95,75.53,78.65,-26.18,85.15,107.11,106.17,46.53,112.98,139.12,93.91,12.7,136.39,-0.68,-0.68
41,EBITDA Margin,37.58%,27.72%,33.51%,-15.40%,32.79%,39.30%,41.14%,18.57%,36.51%,41.63%,33.42%,4.53%,58.12%,-0.38%,-0.38%
42,D&A For EBITDA,20.36,20.45,20.36,20.36,20.52,20.48,20.52,20.52,18.17,20.03,18.17,18.17,16.47,16.47,16.47
43,EBIT,79.59,55.08,58.29,-46.54,64.63,86.63,85.65,26.01,94.81,119.09,75.74,-5.47,119.92,-17.15,-17.15
44,EBIT Margin,29.93%,20.21%,24.84%,-27.37%,24.88%,31.79%,33.19%,10.38%,30.63%,35.64%,26.95%,-1.95%,51.10%,-9.69%,-9.69%
45,Effective Tax Rate,12.71%,11.02%,12.98%,7.52%,11.61%,13.95%,8.92%,-,0.57%,1.36%,1.55%,-,-,82.97%,82.97%
46,Revenue as Reported,265.94,272.48,234.68,170.08,259.71,272.52,258.09,250.61,309.5,334.17,281.04,869.16,-,-,-
