,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Other Intangible Assets,81.05,81.8,82.01,82.75,83.36,83.9,84.63,85.26,85.07,-,-,85.41,-,86.3,86.3
13,Long-Term Deferred Tax Assets,4.04,5.55,5.71,5.76,4.77,5.42,-,-,-,-,-,-,-,-,-
14,Long-Term Deferred Charges,6.13,6.63,2.97,3.27,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,33.41,11.38,8,17.13,41.28,52.51,50.98,55.89,-,-,-,-,-,-,-
16,Total Assets,5247,5180,5036,5043,4999,5019,5023,4964,3244,-,-,2977,-,2858,2858
17,Accounts Payable,201.58,142.3,104.34,114.91,111.43,133.11,181.13,188.84,198.4,-,-,236.5,-,137.15,137.15
18,Accrued Expenses,28.22,30.01,20.38,41.21,28.03,29.96,20.2,41.19,28.2,-,-,35.47,-,26.28,26.28
19,Current Portion of Leases,3.88,4.94,4.38,4.31,0.65,1.06,1.36,1.59,1.82,-,-,1.93,-,2.21,2.21
20,Current Income Taxes Payable,11.95,10.58,12.07,4.98,12.57,12.13,12.54,-,7.86,-,-,-,-,20.03,20.03
21,Current Unearned Revenue,0.26,0.83,0.58,0.25,1.28,0.3,0.17,0.28,0.47,-,-,1.41,-,3.1,3.1
22,Other Current Liabilities,60.67,118.55,63.5,62.63,61.41,42.04,57.92,54.03,66.51,-,-,90.22,-,201.55,201.55
23,Total Current Liabilities,306.57,307.21,205.26,228.28,215.38,218.6,273.32,285.93,303.25,-,-,365.53,-,390.33,390.33
24,Long-Term Leases,3.08,4.04,5.94,6.79,1.16,1.27,1.5,1.44,0.15,-,-,1.47,-,2.12,2.12
25,Long-Term Unearned Revenue,193.87,200.17,212.57,227.43,238.61,252.28,261.84,277.25,285.29,-,-,303.11,-,340.97,340.97
26,Total Liabilities,503.52,511.43,423.76,462.49,455.14,472.15,536.66,564.61,588.7,-,-,670.12,-,733.41,733.41
27,Common Stock,1248,1248,1248,1248,1248,1248,1248,1248,1060,-,-,1060,-,1060,1060
28,Additional Paid-In Capital,2251,2251,2251,2251,2251,2251,2261,2268,791,-,-,791,-,789.21,789.21
29,Retained Earnings,825.76,761.56,699.9,643.51,611.51,625.63,541.42,464.19,400.84,-,-,112.87,-,-36.93,-36.93
30,Treasury Stock,-35.94,-35.94,-33.59,-,-,-,-,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,8.07,7.49,6.85,6.24,5.64,4.89,4.21,3.3,-,-,-,-,-,-,-
32,Total Common Equity,4296,4232,4171,4148,4116,4129,4054,3983,2252,-,1964,1964,1813,1813,1813
33,Minority Interest,446.73,436.69,441.26,432.56,427.63,417.91,432.94,416.71,403,-,-,342.62,-,311.61,311.61
34,Shareholders' Equity,4743,4668,4613,4581,4544,4547,4487,4400,2655,-,2307,2307,2124,2124,2124
35,Total Liabilities & Equity,5247,5180,5036,5043,4999,5019,5023,4964,3244,-,-,2977,-,2858,2858
36,Total Debt,6.96,8.98,10.32,11.1,1.81,2.33,2.86,3.03,1.97,-,3.41,3.41,4.33,4.33,4.33
37,Net Cash (Debt),2875,2862,2841,2845,2947,2931,2895,2951,1226,-,1091,1091,964.96,964.96,964.96
38,Net Cash Growth,-2.42%,-2.37%,-1.88%,-3.59%,140.39%,-,165.27%,170.41%,27.03%,-,13.11%,-,-,-,-
39,Net Cash Per Share,2.76,1.93,2.52,2.06,2.42,2.45,2.25,2.48,1.17,-,1.09,0.93,1.00,1.06,1.06
40,Filing Date Shares Outstanding,1244,1244,1244,1248,1248,1248,1248,1248,1060,1145,1005,1060,966.79,1060,1060
41,Total Common Shares Outstanding,1244,1244,1244,1248,1248,1248,1248,1248,1060,1145,1005,1060,966.79,1060,1060
42,Working Capital,3204,3147,3164,3141,3241,3253,3199,3211,1509,-,-,1242,-,1087,1087
43,Book Value Per Share,3.45,3.40,3.35,3.32,3.30,3.31,3.25,3.19,2.12,-,1.85,1.85,1.71,1.71,1.71
44,Tangible Book Value,4215,4150,4089,4065,4033,4045,3969,3898,2167,-,1879,1879,1726,1726,1726
45,Tangible Book Value Per Share,3.39,3.34,3.29,3.26,3.23,3.24,3.18,3.12,2.04,-,1.77,1.77,1.63,1.63,1.63
46,Buildings,-,676.89,-,676.89,-,676.89,-,676.89,-,-,-,676.89,-,674.55,674.55
47,Machinery,-,1011,-,1033,-,1015,-,997.94,-,-,-,957.44,-,958.16,958.16
48,Construction In Progress,-,220.32,-,123.06,-,37.02,-,19.22,-,-,-,28.33,-,7.15,7.15
