,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
33,Additional Paid-In Capital,-,1505,1495,1483,1479,1479,1474,1500,1498,1497,220.01,-,218.04,-,216.11,216.11
34,Retained Earnings,-,154.99,139.79,158.2,157.15,166.43,153.39,203.22,172.6,147.23,116.02,-,61.69,-,24.52,24.52
35,Treasury Stock,-,-114.51,-94.02,-67.75,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-0.01,-0.02,-0.02,-0,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1660,1660,1655,1689,1751,1760,1743,1785,1752,1726,397.53,341.23,341.23,-,302.12,302.12
38,Minority Interest,-,-0.17,0.11,-0.09,-0.04,-0.51,1.01,1.45,2.01,2.26,1.98,-,3.15,-,2.74,2.74
39,Shareholders' Equity,1660,1660,1655,1689,1751,1760,1744,1786,1754,1728,399.51,344.38,344.38,-,304.86,304.86
40,Total Liabilities & Equity,-,2053,1997,2093,2172,2149,2127,2213,2143,2132,733.54,-,631.57,-,465.25,465.25
41,Total Debt,252.2,252.2,233.13,248.31,240.85,240.95,226,224.09,153.2,179.35,24.35,21.92,21.92,-,37.64,37.64
42,Net Cash (Debt),1024,1024,1056,1131,1275,1279,1274,1331,1369,1335,83.27,130.32,130.32,-,117.61,117.61
43,Net Cash Growth,-19.71%,-19.98%,-17.12%,-15.05%,-6.90%,-4.15%,1429.48%,921.65%,950.77%,-,-29.19%,10.81%,-,-,-,-
44,Net Cash Per Share,9.20,7.83,10.04,10.78,11.11,10.99,11.13,11.69,9.71,15.59,0.95,1.53,1.51,-,1.60,1.60
45,Filing Date Shares Outstanding,113.65,113.65,113.04,114.8,113.57,114.8,114.8,114.8,114.8,114.8,86.1,84.92,86.1,87.18,86.1,86.1
46,Total Common Shares Outstanding,112.38,112.38,113.04,114.8,114.8,114.8,114.8,114.8,114.8,114.8,86.1,84.92,86.1,87.18,86.1,86.1
47,Working Capital,-,1510,1514,1568,1644,1648,1639,1692,1661,1661,329.61,-,285.81,-,252.27,252.27
48,Book Value Per Share,14.77,14.77,14.64,14.71,15.26,15.33,15.18,15.55,15.27,15.04,4.62,3.96,3.96,-,3.51,3.51
49,Tangible Book Value,1640,1640,1635,1668,1731,1740,1722,1766,1733,1712,384.47,328.33,328.33,-,289.57,289.57
50,Tangible Book Value Per Share,14.60,14.60,14.46,14.53,15.08,15.16,15.00,15.38,15.09,14.91,4.47,3.81,3.81,-,3.36,3.36
51,Buildings,-,-,18.58,-,18.58,-,18.58,-,18.58,-,18.58,-,18.58,-,18.58,18.58
52,Machinery,-,-,53.82,-,54.08,-,44.49,-,36.29,-,31.08,-,17.73,-,13.43,13.43
53,Construction In Progress,-,-,3.96,-,1.41,-,1.24,-,0.25,-,-,-,-,-,0.39,0.39
