,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Assets,-,-,-,-0.12,-,-,-,0.05,-0,0,0,0.01,-0.05,0,0
17,Asset Writedown,-0.99,0.25,-0.25,0.47,-0.47,-0.44,0.44,-,-,-1.76,1.76,0.32,-0.32,-,-
18,Other Unusual Items,1.13,0.16,2.6,0.72,0.02,-0.02,-,5.71,-0.09,0.09,-,4.31,-0.35,0.18,0.18
19,Pretax Income,61.4,53.86,39.06,69.1,71.58,63.36,47.97,66.25,64.02,53.54,36.08,53.09,49.48,31.47,31.47
20,Income Tax Expense,4.2,7.29,2.47,7.66,8,5.76,5.61,7.43,5.9,5.1,3.28,6.39,5.24,3.23,3.23
21,Net Income,57.2,46.57,36.58,61.43,63.58,57.59,42.36,58.82,58.12,48.44,32.8,46.7,44.24,28.23,28.23
22,Net Income to Common,57.2,46.57,36.58,61.43,63.58,57.59,42.36,58.82,58.12,48.44,32.8,46.7,44.24,28.23,28.23
23,Net Income Growth,-10.03%,-19.15%,-13.64%,4.44%,9.39%,18.90%,29.16%,25.94%,31.36%,71.56%,16.15%,-,-,-,-
24,Shares Outstanding (Basic),130,129,131,131,133,131,132,143,109,100,98,99,99,99,99
25,Shares Outstanding (Diluted),133,133,131,137,133,131,132,143,109,100,98,99,99,99,99
26,Shares Change (YoY),0.48%,2.03%,-1.30%,-4.32%,21.36%,31.01%,34.53%,44.51%,10.76%,1.12%,-0.24%,-,-,-,-
27,EPS (Basic),0.44,0.36,0.28,0.47,0.48,0.44,0.32,0.41,0.53,0.49,0.33,0.47,0.45,0.29,0.29
28,EPS (Diluted),0.43,0.35,0.28,0.45,0.48,0.44,0.32,0.41,0.53,0.49,0.33,0.47,0.45,0.29,0.29
29,EPS Growth,-10.47%,-20.75%,-12.50%,9.16%,-9.86%,-9.24%,-3.99%,-12.85%,18.60%,69.67%,16.44%,-,-,-,-
30,Free Cash Flow,7.75,15.4,22.06,25.55,41.63,100.61,-29.14,-36.65,-33.41,15.9,-27.45,59.12,4.01,-3.76,-3.76
31,Free Cash Flow Per Share,0.06,0.12,0.17,0.19,0.31,0.77,-0.22,-0.26,-0.31,0.16,-0.28,0.60,0.04,-0.04,-0.04
32,Dividend Per Share,-,-,-,0.680,-,-,-,0.600,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,13.37%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,42.76%,43.71%,41.69%,46.56%,43.67%,46.84%,47.34%,50.58%,49.53%,47.94%,50.77%,51.87%,50.59%,53.40%,53.40%
35,Operating Margin,17.01%,16.89%,12.33%,20.29%,22.26%,23.23%,22.28%,26.69%,28.24%,27.66%,25.10%,29.62%,31.09%,25.75%,25.75%
36,Profit Margin,18.11%,17.11%,16.23%,20.59%,22.33%,23.60%,23.45%,27.57%,26.69%,25.91%,23.83%,26.49%,27.12%,23.66%,23.66%
37,Free Cash Flow Margin,2.45%,5.66%,9.79%,8.56%,14.62%,41.22%,-16.13%,-17.18%,-15.34%,8.51%,-19.95%,33.53%,2.46%,-3.15%,-3.15%
38,EBITDA,56.21,50.36,30.26,63.02,65.08,58.38,41.96,58.66,62.86,53.86,35.93,53.6,52.02,32.03,32.03
39,EBITDA Margin,17.80%,18.51%,13.43%,21.12%,22.86%,23.92%,23.24%,27.49%,28.87%,28.81%,26.10%,30.40%,31.88%,26.83%,26.83%
40,D&A For EBITDA,2.48,4.4,2.48,2.48,1.72,1.68,1.72,1.72,1.38,2.15,1.38,1.38,1.29,1.29,1.29
41,EBIT,53.73,45.96,27.79,60.54,63.36,56.69,40.24,56.94,61.48,51.71,34.55,52.23,50.73,30.74,30.74
42,EBIT Margin,17.01%,16.89%,12.33%,20.29%,22.26%,23.23%,22.28%,26.69%,28.24%,27.66%,25.10%,29.62%,31.09%,25.75%,25.75%
43,Effective Tax Rate,6.84%,13.53%,6.33%,11.09%,11.18%,9.10%,11.70%,11.21%,9.22%,9.53%,9.09%,12.03%,10.59%,10.27%,10.27%
44,Revenue as Reported,315.82,272.1,225.39,298.42,284.67,244.08,180.61,213.34,217.73,186.94,137.64,176.3,163.16,119.36,119.36
