,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,EBT Excluding Unusual Items,575.94,701.77,652.89,656.48,574.92,822.11,1142,487.49,1155,1211,1088,1019
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-2.56,-34.5,-1.7,-1.25,-29.32
18,Gain (Loss) on Sale of Assets,2.04,0.8,0.5,-3.04,4.1,-0.29,1.16,-2.16,2.17,-0.22,3,77.84
19,Asset Writedown,-2.17,-6.76,6.76,4.32,-4.51,2.25,-2.25,-4.25,-6.84,-25.47,-27.55,-5.98
20,Other Unusual Items,10.73,-0.4,9.42,102.32,-0.23,0.23,-,30.02,-0.53,0.53,-,-49.47
21,Pretax Income,586.54,695.4,669.58,760.07,574.27,824.3,1140,508.53,1115,1184,1062,1012
22,Income Tax Expense,208.01,126.84,175.32,208.5,98.57,142.21,224.52,193.95,238.27,240.22,192.34,168.78
23,Earnings From Continuing Operations,378.53,568.56,494.26,551.57,475.7,682.09,915.95,314.57,877.09,943.77,869.87,842.83
24,Minority Interest in Earnings,-71.04,-69.44,-48.84,-40.97,-59.14,-73.19,-55.75,-8.78,-57.37,-97.99,-123.73,-106.42
25,Net Income,307.49,499.12,445.42,510.6,416.56,608.9,860.21,305.79,819.73,845.78,746.14,736.4
26,Net Income to Common,307.49,499.12,445.42,510.6,416.56,608.9,860.21,305.79,819.73,845.78,746.14,736.4
27,Net Income Growth,-26.18%,-18.03%,-48.22%,66.98%,-49.18%,-28.01%,15.29%,-58.48%,-,-,-,-
28,Shares Outstanding (Basic),7374,6070,7424,6422,6848,7211,6144,6153,6306,6028,6218,6430
29,Shares Outstanding (Diluted),7374,6070,7424,6422,6848,7211,6144,6153,6306,6028,6218,6430
30,Shares Change (YoY),7.68%,-15.83%,20.82%,4.37%,8.60%,19.63%,-1.18%,-4.32%,-,-,-,-
31,EPS (Basic),0.04,0.08,0.06,0.08,0.06,0.08,0.14,0.05,0.13,0.14,0.12,0.11
32,EPS (Diluted),0.04,0.08,0.06,0.08,0.06,0.08,0.14,0.05,0.13,0.14,0.12,0.11
33,EPS Growth,-31.45%,-2.61%,-57.14%,59.99%,-53.21%,-39.82%,16.67%,-56.60%,-,-,-,-
34,Free Cash Flow,-342.76,-336.88,-31.31,-1035,388.29,-116.19,-19.91,-103.62,388.99,-121.28,65.87,1892
35,Free Cash Flow Per Share,-0.05,-0.06,-0.00,-0.16,0.06,-0.02,-0.00,-0.02,0.06,-0.02,0.01,0.29
36,Dividend Per Share,-,-,-,0.210,-,-,0.200,-,-,-,-,-
37,Gross Margin,31.37%,35.93%,33.79%,36.27%,42.33%,45.28%,47.78%,26.61%,43.59%,46.63%,45.35%,51.12%
38,Operating Margin,18.51%,21.63%,21.05%,18.83%,26.53%,29.08%,35.55%,12.43%,31.64%,34.97%,33.78%,35.95%
39,Profit Margin,8.32%,14.48%,13.57%,15.05%,17.71%,20.83%,25.59%,7.54%,22.01%,22.33%,20.87%,22.06%
40,Free Cash Flow Margin,-9.28%,-9.78%,-0.95%,-30.50%,16.51%,-3.97%,-0.59%,-2.56%,10.44%,-3.20%,1.84%,56.66%
41,EBITDA,1029,1095,1035,983.35,926.84,1150,1498,806.74,1476,1606,1506,1654
42,EBITDA Margin,27.84%,31.79%,31.55%,28.99%,39.40%,39.32%,44.56%,19.90%,39.65%,42.40%,42.12%,49.54%
43,D&A For EBITDA,344.64,350.05,344.64,344.64,302.72,299.54,302.72,302.72,298.18,281.69,298.18,453.88
44,EBIT,684.02,745.33,690.8,638.71,624.12,850.13,1195,504.02,1178,1324,1208,1200
45,EBIT Margin,18.51%,21.63%,21.05%,18.83%,26.53%,29.08%,35.55%,12.43%,31.64%,34.97%,33.78%,35.95%
46,Effective Tax Rate,35.46%,18.24%,26.18%,27.43%,17.16%,17.25%,19.69%,38.14%,21.36%,20.29%,18.11%,16.68%
47,Revenue as Reported,3695,3446,3281,3392,2352,2924,3361,4054,3724,3787,3574,-
