,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Current Portion of Leases,-,-,-,-,-,-,-,-,4.4,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,2.56,0.48,13.31,0,2.77,-,3.63,0.7,1.31,2.33,2.1,-,-,0.01,-
24,Current Unearned Revenue,-,3.38,4.27,4.67,1.57,2.56,-,1.27,1.42,1.56,2.88,9.02,14.52,-,8.96,-
25,Other Current Liabilities,-,26.15,29.35,24.58,27.89,14.3,-,33.98,38.49,22.1,89.45,46.57,26.37,-,21.65,-
26,Total Current Liabilities,-,313.28,278.06,289.43,250.47,232.55,-,206.98,195.67,219.42,280.4,304.46,278.44,-,202.96,-
27,Long-Term Leases,-,-,-,-,-,-,-,-,-,22.87,22.63,22.38,22.13,-,11.19,-
28,Long-Term Unearned Revenue,-,44.62,46.7,49.85,53.69,36.28,-,53.99,61.37,52.94,30.26,31.74,41.34,-,51.42,-
29,Other Long-Term Liabilities,-,2,1.75,2.1,2.12,2.22,-,2.93,2.52,4.52,6.2,4.34,4.1,-,4.66,-
30,Total Liabilities,-,359.89,326.51,341.38,306.28,271.05,-,263.89,259.56,299.75,339.49,362.92,346.01,-,270.22,-
31,Common Stock,-,176.28,176.28,176.28,176.28,176.28,-,135.6,135.6,135.6,135.6,135.6,101.7,-,101.7,-
32,Additional Paid-In Capital,-,2900,2887,2887,2887,-,-,2882,2879,2876,2874,2871,365.55,-,355.68,-
33,Retained Earnings,-,-21.86,-0.96,22.07,41.52,111.1,-,223.08,221.61,197.22,161.53,197.88,170.15,-,102.28,-
34,Treasury Stock,-,-34.66,-30.28,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-0.06,-0.06,-0.06,-0.06,2885,-,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-,0,-
36,Total Common Equity,3020,3020,3032,3085,3105,3173,-,3241,3236,3209,3171,3204,637.34,-,559.66,506.48
37,Minority Interest,-,6.05,5.64,5.28,4.9,-,-,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,3026,3026,3038,3091,3110,3173,-,3241,3236,3209,3171,3204,637.34,-,559.66,506.48
39,Total Liabilities & Equity,-,3385,3364,3432,3416,3444,-,3505,3496,3509,3510,3567,983.35,-,829.88,-
40,Total Debt,98.31,98.31,86.99,94.62,63.69,37.12,-,-,4.4,22.87,22.63,104.96,68.66,-,15.17,-
41,Net Cash (Debt),1234,1234,1416,1453,1435,1784,-,2261,2257,441.96,2136,2442,-11.74,-,12.76,110.93
42,Net Cash Growth,-14.01%,-30.83%,-,-35.73%,-36.41%,303.71%,-,-7.43%,-,-,16637.03%,2101.61%,-,-,-,-
43,Net Cash Per Share,7.04,7.04,8.05,8.24,8.14,10.14,-,12.89,12.80,2.51,12.12,18.48,-0.09,-,0.10,0.84
44,Filing Date Shares Outstanding,176.28,175.39,175.9,176.28,176.28,176.28,177.46,176.28,176.28,176.28,176.28,176.28,132.21,132.24,132.21,132.2
45,Total Common Shares Outstanding,176.28,175.39,175.9,176.28,176.28,176.28,177.46,176.28,176.28,176.28,176.28,176.28,132.21,132.24,132.21,132.2
46,Working Capital,-,1414,1602,1684,1711,2054,-,2573,2616,2413,2446,2716,191.64,-,186.95,-
47,Book Value Per Share,17.22,17.22,17.24,17.50,17.61,18.00,-,18.38,18.36,18.21,17.99,18.18,4.82,-,4.23,3.83
48,Tangible Book Value,3004,3004,3015,3069,3087,3154,-,3229,3224,3197,3158,3191,622.59,-,544.66,489.24
49,Tangible Book Value Per Share,17.12,17.12,17.14,17.41,17.51,17.89,-,18.32,18.29,18.14,17.91,18.10,4.71,-,4.12,3.70
50,Buildings,-,-,335.25,-,335.25,-,-,-,26.12,-,-,-,-,-,-,-
51,Machinery,-,-,531.77,-,477.63,-,-,-,316.55,-,224.7,-,166.37,-,136.79,-
52,Construction In Progress,-,-,92.46,-,115.59,-,-,-,101.48,-,98.16,-,120.25,-,166.5,-
