,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Net Cash (Debt),779.12,832.73,914.66,964.02,920.88,236.54,234.05,234.05,-,-,160.12,160.12,157.84,154.52,154.52
36,Net Cash Growth,-15.39%,252.04%,290.80%,311.89%,-,-,46.17%,46.17%,-,-,3.63%,-,-,-,-
37,Net Cash Per Share,7.91,8.51,9.28,9.93,11.50,3.10,3.20,3.18,-,-,2.15,2.16,2.13,2.10,2.10
38,Filing Date Shares Outstanding,97.31,97.39,98.31,98.15,98.31,98.31,73.22,73.73,72.28,74.33,74.33,73.73,73.73,73.73,73.73
39,Total Common Shares Outstanding,97.31,97.39,98.31,98.31,98.31,73.73,73.22,73.73,72.28,74.33,74.33,73.73,73.73,73.73,73.73
40,Working Capital,828,892.07,976.23,1004,990.37,313.03,-,277.23,-,-,-,226.55,226.55,203.2,203.2
41,Book Value Per Share,11.49,11.20,11.53,11.37,11.18,5.77,5.28,5.28,-,-,4.52,4.52,4.52,4.20,4.20
42,Tangible Book Value,1057,1061,1112,1097,1090,415.98,379.21,379.21,-,-,322.56,322.56,322.56,298.33,298.33
43,Tangible Book Value Per Share,10.87,10.89,11.32,11.15,11.09,5.64,5.14,5.14,-,-,4.37,4.37,4.37,4.05,4.05
44,Buildings,-,59.97,-,59.97,-,-,-,59.97,-,-,-,59.97,59.97,59.97,59.97
45,Machinery,-,82.38,-,83.41,-,-,-,72.25,-,-,-,62.86,62.86,59.49,59.49
46,Construction In Progress,-,76.61,-,1.48,-,-,-,5.39,-,-,-,1.03,1.03,0.63,0.63
