,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-1.86,-2.04,1.2,-5.61,4.99,1.08,-1.65,-10.34,4.93,2.49,2.49,0.93,-0.01,-0.22,-0.22
15,EBT Excluding Unusual Items,25.16,24.2,18.85,13.43,20.81,26.54,16.08,15.6,22.34,18.42,18.42,24.02,20.55,17.58,17.58
16,Gain (Loss) on Sale of Investments,-,-,-,0,0,-1.57,-0,-0.19,-5.8,-1.91,-1.91,-1.18,-1.18,1.1,1.1
17,Gain (Loss) on Sale of Assets,-0,0.03,0.19,-0.06,0,0.02,0.01,-0,-,-,-,-,-,-,-
18,Asset Writedown,-0.26,-,-,0.38,-0.4,0.71,-0.71,1.19,-0.09,-0.59,-0.59,-0.06,-0.06,-0,-0
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,0.67,-,-,-
20,Other Unusual Items,0.64,-0,-0.26,6.56,-,-,-,14.95,-,-,-,-2.41,1.74,0.61,0.61
21,Pretax Income,25.54,24.23,18.77,20.32,20.41,25.69,15.38,31.54,16.45,15.92,15.92,21.05,21.05,19.28,19.28
22,Income Tax Expense,3.08,3.28,2.22,2.23,2.03,3.44,1.47,4.31,1.98,1.8,1.8,2.14,2.14,2.66,2.66
23,Net Income,22.46,20.95,16.55,18.09,18.38,22.25,13.91,27.23,14.47,14.12,14.12,18.9,18.9,16.61,16.61
24,Net Income to Common,22.46,20.95,16.55,18.09,18.38,22.25,13.91,27.23,14.47,14.12,14.12,18.9,18.9,16.61,16.61
25,Net Income Growth,22.19%,-5.87%,18.99%,-33.59%,27.02%,57.58%,-1.49%,44.06%,-23.46%,-14.98%,-14.98%,-,-,-,-
26,Shares Outstanding (Basic),99,98,99,97,80,76,73,74,72,74,74,74,74,74,74
27,Shares Outstanding (Diluted),99,98,99,97,80,76,73,74,72,74,74,74,74,74,74
28,Shares Change (YoY),23.08%,28.32%,34.57%,31.91%,10.76%,2.56%,-1.49%,-0.90%,-2.66%,0.81%,0.81%,-,-,-,-
29,EPS (Basic),0.23,0.21,0.17,0.19,0.23,0.29,0.19,0.37,0.20,0.19,0.19,0.25,0.25,0.23,0.23
30,EPS (Diluted),0.23,0.21,0.17,0.19,0.23,0.29,0.19,0.37,0.20,0.19,0.19,0.25,0.25,0.23,0.23
31,EPS Growth,-0.73%,-26.64%,-11.58%,-49.65%,14.68%,53.66%,0%,47.14%,-21.37%,-15.56%,-15.56%,-,-,-,-
32,Free Cash Flow,-53.36,-16.1,-51.83,52.01,16.57,12,-8.39,70.13,16.08,11.94,11.94,10.84,10.84,-0.63,-0.63
33,Free Cash Flow Per Share,-0.54,-0.16,-0.53,0.54,0.21,0.16,-0.11,0.95,0.22,0.16,0.16,0.15,0.15,-0.01,-0.01
34,Dividend Per Share,-,-,-,0.400,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,17.44%,16.61%,17.33%,19.45%,18.20%,17.48%,18.08%,21.55%,17.85%,15.54%,15.54%,16.47%,16.47%,14.14%,14.14%
36,Operating Margin,9.16%,6.93%,7.46%,6.60%,9.01%,9.88%,9.99%,10.46%,11.01%,9.48%,9.48%,10.80%,9.51%,8.92%,8.92%
37,Profit Margin,8.29%,8.12%,9.34%,9.66%,8.79%,10.10%,8.08%,16.03%,8.84%,8.48%,8.48%,9.57%,9.57%,8.78%,8.78%
38,Free Cash Flow Margin,-19.71%,-6.24%,-29.24%,27.78%,7.93%,5.45%,-4.87%,41.29%,9.83%,7.17%,7.17%,5.49%,5.49%,-0.33%,-0.33%
39,EBITDA,27.25,20.56,15.66,14.79,21.29,23.97,19.65,20.24,18.57,16.33,16.33,23.04,21.26,18.78,18.78
40,EBITDA Margin,10.07%,7.97%,8.84%,7.90%,10.19%,10.88%,11.42%,11.92%,11.35%,9.80%,9.80%,11.66%,10.77%,9.93%,9.93%
41,D&A For EBITDA,2.45,2.68,2.45,2.45,2.47,2.21,2.47,2.47,0.55,0.55,0.55,1.71,2.48,1.91,1.91
42,EBIT,24.81,17.88,13.21,12.35,18.83,21.76,17.19,17.77,18.02,15.78,15.78,21.32,18.78,16.87,16.87
43,EBIT Margin,9.16%,6.93%,7.46%,6.60%,9.01%,9.88%,9.99%,10.46%,11.01%,9.48%,9.48%,10.80%,9.51%,8.92%,8.92%
44,Effective Tax Rate,12.08%,13.53%,11.83%,10.98%,9.96%,13.38%,9.54%,13.66%,12.05%,11.28%,11.28%,10.18%,10.18%,13.82%,13.82%
45,Revenue as Reported,270.75,257.85,177.22,187.17,209.05,220.31,172.11,169.85,163.64,166.55,166.55,-,-,-,-
