,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Shares Change (YoY),-1.25%,0.76%,0.06%,-74.63%,9.61%,32.57%,32.31%,34.29%,22.55%,-0.12%,1.02%,-,-,-,-
28,EPS (Basic),0.27,0.37,0.24,1.51,0.41,0.60,0.30,0.31,0.25,0.48,0.37,0.40,0.28,0.35,0.35
29,EPS (Diluted),0.27,0.37,0.24,1.51,0.41,0.60,0.30,0.31,0.25,0.48,0.37,0.40,0.28,0.35,0.35
30,EPS Growth,-34.22%,-38.45%,-20.00%,388.30%,61.45%,24.82%,-18.66%,-22.94%,-9.73%,37.67%,5.37%,-,-,-,-
31,Free Cash Flow,40.76,32.84,19.33,58.8,82.55,16.57,14.76,60.73,14.42,35.74,-1.25,72.23,-13.66,8.86,8.86
32,Free Cash Flow Per Share,0.42,0.34,0.20,2.42,0.85,0.17,0.15,0.63,0.16,0.50,-0.02,1.01,-0.19,0.12,0.12
33,Dividend Per Share,-,-,-,0.200,-,-,-,0.156,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,27.96%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,37.35%,42.04%,37.84%,41.23%,37.87%,42.63%,36.42%,35.17%,34.56%,39.64%,37.86%,36.35%,36.63%,40.29%,40.29%
36,Operating Margin,13.76%,16.00%,10.72%,14.79%,22.91%,25.87%,15.48%,12.39%,11.57%,23.26%,17.23%,16.93%,14.63%,20.18%,20.18%
37,Profit Margin,14.16%,17.58%,13.00%,18.64%,24.51%,28.45%,17.89%,17.48%,15.85%,22.18%,15.71%,17.22%,13.75%,17.09%,17.09%
38,Free Cash Flow Margin,22.28%,16.28%,10.90%,29.89%,50.73%,8.24%,9.17%,35.86%,10.14%,22.95%,-0.73%,43.49%,-9.22%,6.02%,6.02%
39,EBITDA,26.88,34.25,20.71,30.79,39.14,53.77,26.77,22.84,22.98,38.07,35.87,34.66,28.15,36.15,36.15
40,EBITDA Margin,14.69%,16.98%,11.68%,15.65%,24.05%,26.75%,16.63%,13.49%,16.17%,24.44%,21.07%,20.87%,18.99%,24.58%,24.58%
41,D&A For EBITDA,1.7,1.98,1.7,1.7,1.86,1.76,1.86,1.86,6.54,1.84,6.54,6.54,6.47,6.47,6.47
42,EBIT,25.18,32.27,19.01,29.09,37.28,52,24.91,20.98,16.44,36.23,29.33,28.12,21.67,29.68,29.68
43,EBIT Margin,13.76%,16.00%,10.72%,14.79%,22.91%,25.87%,15.48%,12.39%,11.57%,23.26%,17.23%,16.93%,14.63%,20.18%,20.18%
44,Effective Tax Rate,2.42%,16.92%,12.35%,7.23%,11.18%,12.52%,10.82%,11.49%,10.59%,12.48%,10.76%,13.04%,9.72%,11.60%,11.60%
45,Revenue as Reported,182.93,201.66,177.33,196.71,162.72,201.01,160.93,169.33,142.17,155.77,170.24,166.07,148.18,147.09,147.09
