,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2010
9,Other Non Operating Income (Expenses),259.68,-32.8,-193.17,-232.25,-805.9,-521.16,-273.79,-235.63,-598.86,-433.37,-700.83,-155.25,-1547,-121.85,-96.97,-82.48,-103.77,301.26
10,Pretax Income,3289,4734,4677,1752,1040,2063,4920,2213,1878,5860,3866,961.42,-515.16,449.6,2503,1542,567.21,12083
11,Income Tax Expense,704.71,995.48,909.15,439.28,363.82,431.11,918.23,346.45,509.75,818.16,707.6,216.58,36.39,15.57,524.9,336.75,193.89,3021
12,Net Income,2584,3739,3768,1313,676.68,1632,4002,1866,1368,5042,3158,744.84,-551.56,434.04,1978,1206,373.32,9062
13,Net Income to Common,2584,3739,3768,1313,676.68,1632,4002,1866,1368,5042,3158,744.84,-551.56,434.04,1978,1206,373.32,9062
14,Net Income Growth,281.84%,129.14%,-5.86%,-29.66%,-50.53%,-67.64%,26.72%,150.59%,-,1061.59%,59.67%,-38.23%,-,-95.21%,-,-,-,-
15,Shares Outstanding (Basic),7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,10
16,Shares Outstanding (Diluted),7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,10
17,Shares Change (YoY),0.28%,0.04%,0.00%,0.09%,-0.10%,-0.11%,0.10%,-0.11%,0.37%,-5.33%,-5.85%,-5.17%,-0.93%,-29.14%,-,-,-,-
18,EPS (Basic),396.00,573.55,578.00,201.00,104.00,250.42,614.00,286.00,210.00,773.00,485.00,114.00,-85.00,63.00,286.00,175.00,57.00,932.09
19,EPS (Diluted),396.00,573.55,578.00,201.00,104.00,250.42,614.00,286.00,210.00,773.00,485.00,114.00,-85.00,63.00,286.00,175.00,57.00,932.09
20,EPS Growth,280.77%,129.04%,-5.86%,-29.72%,-50.48%,-67.60%,26.60%,150.88%,-,1126.98%,69.58%,-34.86%,-,-93.24%,-,-,-,-
21,Free Cash Flow,6664,6664,20230,-11746,9847,9847,6545,-2976,-4620,2801,-,2282,-,-9413,-1048,-1048,-,-
22,Free Cash Flow Per Share,1021.27,1022.32,3103.58,-1798.25,1513.35,1511.30,1004.02,-456.05,-709.38,429.41,-,349.23,-,-1366.28,-151.57,-152.14,-,-
23,Dividend Per Share,-,-,-,-,-,-,-,-,1500.000,-,-,-,350.000,-,-,-,-,-
24,Dividend Growth,-,-,-,-,-,-,-,-,328.57%,-,-,-,-,-,-,-,-,-
25,Gross Margin,7.61%,10.17%,10.67%,6.68%,4.90%,6.74%,12.13%,9.19%,7.45%,11.53%,9.95%,5.37%,5.44%,5.41%,10.12%,8.18%,5.15%,16.66%
26,Operating Margin,3.87%,5.65%,6.84%,3.99%,3.48%,4.87%,8.94%,5.46%,4.03%,8.26%,6.03%,3.21%,3.16%,2.30%,4.47%,3.67%,1.68%,6.39%
27,Profit Margin,3.18%,4.35%,5.11%,2.42%,1.13%,2.80%,6.26%,3.51%,1.93%,6.35%,3.81%,1.50%,-1.09%,1.01%,2.83%,2.08%,0.86%,5.10%
28,Free Cash Flow Margin,8.20%,7.75%,27.42%,-21.61%,16.47%,16.92%,10.24%,-5.60%,-6.52%,3.53%,-,4.59%,-,-21.89%,-1.50%,-1.80%,-,-
29,EBIT,3144,4859,5046,2169,2078,2835,5714,2906,2857,6557,5002,1597,1605,989.24,3123,2135,726.59,11347
30,EBIT Margin,3.87%,5.65%,6.84%,3.99%,3.48%,4.87%,8.94%,5.46%,4.03%,8.26%,6.03%,3.21%,3.16%,2.30%,4.47%,3.67%,1.68%,6.39%
31,Effective Tax Rate,21.43%,21.03%,19.44%,25.07%,34.97%,20.90%,18.66%,15.66%,27.15%,13.96%,18.30%,22.53%,-,3.46%,20.97%,21.83%,34.18%,25.00%
32,Revenue as Reported,81240,85941,73773,54360,59774,58194,63924,53189,70838,79382,82900,49713,50818,43009,69902,58104,43188,177664
