,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Asset Turnover,-,0.25,0.25,0.25,0.31,0.32,0.31,0.24,0.23,0.25,0.26,0.16,0.33,0.27,0.23,0.27,-,-,-,-,
19,Inventory Turnover,-,-,0.94,0.95,0.87,1.22,0.99,1.18,0.83,1.02,0.84,1.01,0.66,1.58,1.10,1.01,0.89,-,-,-,-
20,Quick Ratio,-,-,1.29,1.45,1.78,2.40,2.30,2.55,3.76,3.99,6.06,7.21,10.04,8.41,13.32,12.93,10.99,2.61,-,2.79,-
21,Current Ratio,-,-,1.81,2.09,2.33,3.21,2.88,3.18,4.47,4.74,7.14,8.45,11.46,9.46,14.90,14.39,12.18,3.36,-,3.71,-
22,Return on Equity (ROE),5.90%,3.30%,3.47%,7.37%,9.24%,14.12%,14.05%,7.89%,6.87%,11.19%,6.18%,1.71%,14.49%,9.69%,11.38%,10.57%,-,-,38.55%,-,
23,Return on Assets (ROA),-,2.49%,0.09%,3.52%,2.41%,6.70%,6.13%,3.66%,-2.27%,5.58%,2.78%,0.34%,1.82%,5.29%,5.95%,6.05%,-,-,-,-,
24,Return on Capital (ROIC),4.51%,2.93%,0.10%,4.16%,2.86%,7.82%,7.23%,4.38%,-2.68%,6.36%,3.10%,0.37%,2.01%,5.78%,6.56%,6.94%,-,-,25.15%,-,
25,Return on Capital Employed (ROCE),-,-,4.19%,6.25%,8.78%,8.61%,6.66%,5.88%,4.17%,-,4.55%,4.43%,5.41%,7.10%,8.48%,8.69%,9.36%,20.82%,-,12.70%,-
26,Earnings Yield,1.58%,2.26%,2.60%,3.56%,3.25%,2.71%,3.05%,2.69%,2.39%,2.50%,3.28%,2.92%,2.90%,2.22%,2.29%,1.06%,2.92%,-,-,-,-
27,FCF Yield,-,-6.32%,-6.78%,-4.30%,-3.00%,-2.90%,-1.24%,-0.30%,-0.33%,-0.47%,-0.79%,-0.34%,0.35%,0.36%,0.24%,1.49%,-,-,-,-,
28,Dividend Yield,1.24%,-,-,-,-,1.01%,-,-,-,0.77%,-,-,-,0.69%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,4.51%,480.59%,0.05%,2.41%,1.12%,55.16%,-,-,0.08%,196.59%,-,-,-,113.41%,0.62%,0.32%,1.41%,-,-
30,Buyback Yield / Dilution,0.59%,0.53%,0.66%,0.38%,0.80%,-3.07%,3.47%,1.93%,0.25%,-6.71%,-0.01%,-24.59%,2.86%,-20.82%,-36.84%,-9.27%,-32.93%,-,-,-,-
31,Total Shareholder Return,1.83%,0.53%,0.66%,0.38%,0.80%,-2.06%,3.47%,1.93%,0.25%,-5.94%,-0.01%,-24.59%,2.86%,-20.13%,-36.84%,-9.27%,-32.93%,-,-,-,-
