,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
19,Other Unusual Items,1.54,3.55,-0.04,1.56,-,-,-,4.19,-,-,-,6.97,-,-,-,-
20,Pretax Income,12.42,26.25,32.7,11.37,26.06,17.19,15.53,3.3,28.28,22.61,29.52,19.12,38.82,27.58,25.36,25.36
21,Income Tax Expense,0.17,2.93,3.26,-0.91,2.82,1.39,1.66,-1.75,3.04,2.12,3.45,1.62,5.15,2.95,3.12,3.21
22,Net Income,12.25,23.32,29.45,12.28,23.24,15.8,13.87,5.05,25.24,20.49,26.06,17.51,33.67,24.63,22.24,22.15
23,Net Income to Common,12.25,23.32,29.45,12.28,23.24,15.8,13.87,5.05,25.24,20.49,26.06,17.51,33.67,24.63,22.24,22.15
24,Net Income Growth,-47.27%,47.59%,112.30%,143.07%,-7.93%,-22.89%,-46.78%,-71.14%,-25.03%,-16.81%,17.18%,-20.96%,-,-,-,-
25,Shares Outstanding (Basic),109,109,105,107,107,107,107,104,107,96,109,79,80,81,79,-
26,Shares Outstanding (Diluted),109,109,105,107,107,107,107,104,107,96,109,79,80,81,79,-
27,Shares Change (YoY),2.44%,2.18%,-1.43%,3.05%,0.05%,11.23%,-1.74%,32.22%,33.34%,18.97%,36.71%,-,-,-,-,-
28,EPS (Basic),0.11,0.21,0.28,0.11,0.22,0.15,0.13,0.05,0.24,0.21,0.24,0.22,0.42,0.31,0.28,-
29,EPS (Diluted),0.11,0.21,0.28,0.11,0.22,0.15,0.13,0.05,0.24,0.21,0.24,0.22,0.42,0.31,0.28,-
30,EPS Growth,-48.53%,44.43%,115.38%,135.88%,-7.98%,-30.67%,-45.83%,-78.18%,-43.78%,-30.08%,-14.29%,-,-,-,-,-
31,Free Cash Flow,19,-2.55,-27.64,-4.32,18.93,-16.98,-44.76,22.5,3.66,44.24,-17.87,35.1,-10.33,50.67,-21.02,52.71
32,Free Cash Flow Per Share,0.17,-0.02,-0.26,-0.04,0.18,-0.16,-0.42,0.22,0.03,0.46,-0.16,0.45,-0.13,0.63,-0.26,-
33,Dividend Per Share,-,0.200,-,0.500,-,-,-,0.500,-,-,-,0.500,-,-,-,-
34,Gross Margin,17.27%,21.64%,22.27%,17.49%,20.03%,17.72%,18.05%,15.34%,21.99%,22.46%,23.81%,19.49%,25.25%,19.84%,22.66%,14.62%
35,Operating Margin,4.25%,9.87%,12.11%,4.72%,10.10%,7.22%,5.49%,-1.81%,11.07%,11.33%,13.45%,4.73%,17.43%,12.66%,12.44%,14.62%
36,Profit Margin,5.82%,11.11%,12.03%,6.27%,10.27%,8.65%,7.15%,3.69%,11.24%,12.25%,12.22%,8.13%,14.53%,11.93%,10.31%,12.77%
37,Free Cash Flow Margin,9.02%,-1.21%,-11.29%,-2.21%,8.36%,-9.29%,-23.08%,16.42%,1.63%,26.45%,-8.38%,16.29%,-4.46%,24.54%,-9.74%,30.39%
38,EBITDA,13.58,27.83,34.27,13.87,27.31,17.52,15.1,1.97,29.31,23.47,33.14,14.65,44.71,30.54,31.15,25.92
39,EBITDA Margin,6.45%,13.26%,14.00%,7.08%,12.07%,9.59%,7.79%,1.44%,13.05%,14.03%,15.55%,6.80%,19.30%,14.79%,14.44%,14.94%
40,D&A For EBITDA,4.62,7.11,4.62,4.62,4.44,4.33,4.44,4.44,4.46,4.53,4.46,4.46,4.32,4.4,4.32,0.56
41,EBIT,8.95,20.72,29.65,9.25,22.87,13.19,10.65,-2.47,24.85,18.94,28.68,10.19,40.39,26.14,26.83,25.35
42,EBIT Margin,4.25%,9.87%,12.11%,4.72%,10.10%,7.22%,5.49%,-1.81%,11.07%,11.33%,13.45%,4.73%,17.43%,12.66%,12.44%,14.62%
43,Effective Tax Rate,1.36%,11.16%,9.95%,-,10.81%,8.06%,10.71%,-,10.73%,9.37%,11.70%,8.45%,13.26%,10.70%,12.30%,12.65%
44,Revenue as Reported,210.53,209.87,244.76,195.83,226.34,182.77,193.92,137.02,224.53,167.27,213.19,215.45,231.68,206.44,215.77,-
