,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,-253.24,73.68,104.98,74.59,123.63,100.9,74.73,73.46,90.61,77.77,55.33,59.29,75.64,64.45,62.2,51.12,58.72,54.88,44.2,43.25
10,Operating Income,17.17,154.5,43.98,72.9,46.1,65.22,34.59,32.58,5.66,16.42,18.26,14.44,26.01,20.95,8.01,30.47,31.33,41.59,9.81,19.77
11,Interest Expense,-5.33,-9.06,-6.67,-6.33,-7.5,-7.36,-3.91,-4.19,-3.54,-2.31,-3.27,-3.15,-8.32,-3.65,-3.29,-3.5,-3.55,-3.36,-3.53,-3.65
12,Interest & Investment Income,22.07,1.22,2.85,1.26,1.92,2.32,1.55,2,5.21,0.66,2.6,0.98,-,8.03,5.4,4.52,-,1.21,0.25,0.83
13,Currency Exchange Gain (Loss),-,1.14,-1.14,-,17.08,-23.09,23.09,-,31.67,-8.1,8.1,-,-20.6,5.68,-5.68,-,-15.82,7.11,-7.11,-
14,Other Non Operating Income (Expenses),7.28,-7.82,3.18,-3.43,-9.28,11.61,-7.61,5.03,-21.02,20.53,-1.5,1.2,10.67,-10.9,6.51,-6.11,13.52,-12.71,9.46,-10.82
15,EBT Excluding Unusual Items,41.19,139.97,42.2,64.4,48.32,48.69,47.71,35.42,17.98,27.21,24.19,13.48,7.76,20.12,10.95,25.39,25.48,33.83,8.88,6.13
16,Gain (Loss) on Sale of Investments,-1.47,0.61,0.66,0.19,0.58,0.43,-0.84,-1.98,-1.57,0.21,1.55,-0.09,8.48,-6.11,-2.48,0.14,1.93,4.74,-2.96,2.02
17,Gain (Loss) on Sale of Assets,0.97,0.19,-1.47,0.31,-1.01,-0.29,-0.37,-,-0.5,0.11,-0.12,0.43,0.97,0.05,-0.18,0.18,-0.1,-0.35,0.23,0.01
18,Asset Writedown,23.18,-23.18,-3.76,3.76,10.71,-10.71,1.17,-1.17,-1.1,-4.1,-0.4,0.4,1.06,-1.06,0.75,-0.75,2.98,-2.98,2.07,-2.07
19,Other Unusual Items,1.92,-29.29,28.33,-0.96,7.37,-0.01,0.01,-,17.3,-,-,-,0.4,0.39,-0,-,6.91,-0.01,0.01,-
20,Pretax Income,65.78,88.3,65.96,67.71,65.97,38.12,47.67,32.27,32.11,23.43,25.22,14.22,18.67,13.4,9.05,24.96,37.19,35.24,8.23,6.09
21,Income Tax Expense,16.38,11.63,14.14,9.41,13.6,2.6,6.57,2.26,4.04,1.06,1.58,1.48,2.35,-0.27,0.26,3.22,1.99,4.19,2.87,1.98
22,Earnings From Continuing Operations,49.41,76.68,51.82,58.3,52.37,35.51,41.1,30.01,28.07,22.37,23.64,12.74,16.31,13.67,8.78,21.74,35.2,31.05,5.35,4.1
23,Minority Interest in Earnings,-2.81,1.39,1.25,0.18,-0.59,0.48,0.18,-0.08,0.5,-0.18,0.24,-0.21,0.03,-0.01,0.18,-0.05,0.05,-0.05,-0.06,-0.12
24,Net Income,46.6,78.06,53.07,58.48,51.78,35.99,41.28,29.93,28.57,22.19,23.88,12.53,16.34,13.66,8.96,21.7,35.25,31,5.29,3.99
25,Net Income to Common,46.6,78.06,53.07,58.48,51.78,35.99,41.28,29.93,28.57,22.19,23.88,12.53,16.34,13.66,8.96,21.7,35.25,31,5.29,3.99
26,Net Income Growth,-10.01%,116.88%,28.54%,95.38%,81.25%,62.22%,72.87%,138.90%,74.79%,62.42%,166.48%,-42.26%,-53.64%,-55.93%,69.52%,444.27%,-,-,-,-
27,Shares Outstanding (Basic),165,159,161,158,162,164,159,158,171,159,160,157,163,162,146,121,124,123,99,133
28,Shares Outstanding (Diluted),165,163,161,158,162,164,159,158,171,159,160,157,163,162,146,121,124,123,99,133
29,Shares Change (YoY),1.47%,-0.11%,1.05%,0.33%,-4.82%,3.17%,-0.64%,0.59%,4.67%,-2.34%,9.54%,29.91%,31.19%,31.44%,47.62%,-9.29%,-,-,-,-
30,EPS (Basic),0.28,0.49,0.33,0.37,0.32,0.22,0.26,0.19,0.17,0.14,0.15,0.08,0.10,0.08,0.06,0.18,0.28,0.25,0.05,0.03
31,EPS (Diluted),0.28,0.48,0.33,0.37,0.32,0.22,0.26,0.19,0.17,0.14,0.15,0.08,0.10,0.08,0.06,0.18,0.28,0.25,0.05,0.03
32,EPS Growth,-11.32%,117.11%,27.20%,94.74%,90.42%,57.25%,73.98%,137.50%,66.99%,66.30%,143.26%,-55.56%,-64.66%,-66.47%,14.83%,500.00%,-,-,-,-
33,Free Cash Flow,-,-133.68,119.83,17.31,-201.81,-109.17,-4.96,-42.36,-122.31,-134.72,5.56,-7.24,-52.96,-51.44,7.07,-3.32,5.27,40.88,18.57,-22.13
34,Free Cash Flow Per Share,-,-0.82,0.75,0.11,-1.24,-0.67,-0.03,-0.27,-0.72,-0.85,0.03,-0.05,-0.33,-0.32,0.05,-0.03,0.04,0.33,0.19,-0.17
35,Dividend Per Share,-,-,-,-,0.310,-,-,-,0.180,-,-,-,0.120,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,72.22%,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-30.60%,30.19%,23.25%,24.67%,23.15%,26.39%,21.39%,23.41%,16.95%,19.63%,20.85%,20.02%,26.41%,27.15%,24.29%,26.02%,26.35%,30.35%,28.54%,26.35%
38,Operating Margin,2.23%,20.44%,6.87%,12.19%,6.29%,10.36%,6.77%,7.19%,1.00%,3.42%,5.17%,3.92%,6.76%,6.66%,2.77%,9.72%,9.17%,13.08%,5.18%,8.27%
39,Profit Margin,6.04%,10.33%,8.28%,9.78%,7.06%,5.72%,8.08%,6.61%,5.03%,4.62%,6.77%,3.40%,4.25%,4.34%,3.10%,6.92%,10.32%,9.75%,2.79%,1.67%
40,Free Cash Flow Margin,-,-17.69%,18.71%,2.90%,-27.53%,-17.35%,-0.97%,-9.35%,-21.54%,-28.08%,1.58%,-1.97%,-13.76%,-16.35%,2.45%,-1.06%,1.54%,12.86%,9.81%,-9.25%
41,EBITDA,31.22,168.55,61.65,86.96,60.15,77.31,48.13,44.68,17.76,27.21,29.68,25.23,36.8,30.08,19.11,40.5,41.36,50.41,19.86,28.59
42,EBITDA Margin,4.05%,22.30%,9.62%,14.55%,8.21%,12.28%,9.42%,9.86%,3.13%,5.67%,8.41%,6.85%,9.56%,9.56%,6.61%,12.92%,12.10%,15.86%,10.49%,11.95%
43,D&A For EBITDA,14.06,14.06,17.67,14.06,14.06,12.1,13.54,12.1,12.1,10.79,11.42,10.79,10.79,9.14,11.1,10.02,10.02,8.82,10.05,8.82
44,EBIT,17.17,154.5,43.98,72.9,46.1,65.22,34.59,32.58,5.66,16.42,18.26,14.44,26.01,20.95,8.01,30.47,31.33,41.59,9.81,19.77
45,EBIT Margin,2.23%,20.44%,6.87%,12.19%,6.29%,10.36%,6.77%,7.19%,1.00%,3.42%,5.17%,3.92%,6.76%,6.66%,2.77%,9.72%,9.17%,13.08%,5.18%,8.27%
46,Effective Tax Rate,24.90%,13.17%,21.44%,13.90%,20.61%,6.83%,13.79%,6.99%,12.59%,4.53%,6.26%,10.44%,12.61%,-,2.91%,12.89%,5.36%,11.90%,34.94%,32.59%
47,Revenue as Reported,-,755.83,640.63,597.8,733.06,629.38,511.09,452.93,567.81,479.81,352.97,368.31,384.84,314.58,289.03,313.53,341.76,317.84,428.44,-
