,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
23,Return on Equity (ROE),13.45%,21.55%,15.09%,17.44%,16.30%,11.70%,14.31%,10.73%,-,-,9.04%,4.91%,6.38%,5.42%,4.05%,12.02%,-,-,3.22%,-,
24,Return on Assets (ROA),-,12.62%,3.76%,6.29%,4.08%,6.48%,3.87%,3.67%,-,-,2.58%,2.15%,4.06%,3.25%,1.34%,5.63%,-,-,-,-,
25,Return on Capital (ROIC),1.75%,16.39%,4.81%,8.01%,5.27%,8.38%,5.06%,4.83%,-,-,3.24%,2.70%,4.99%,3.96%,1.69%,7.34%,-,-,2.53%,-,
26,Return on Capital Employed (ROCE),-,-,15.31%,11.23%,11.10%,9.39%,7.52%,6.75%,5.62%,4.38%,-,6.90%,6.59%,8.24%,8.87%,11.02%,15.27%,14.31%,-,4.60%,-
27,Earnings Yield,4.27%,4.17%,4.88%,4.82%,4.07%,2.61%,2.11%,1.63%,1.49%,0.95%,0.79%,0.58%,0.72%,0.68%,3.04%,2.30%,-,-,-,-,-
28,FCF Yield,-,-4.01%,-4.20%,-6.49%,-5.87%,-4.33%,-4.07%,-4.18%,-2.82%,-2.00%,-0.93%,-1.47%,-1.13%,-1.62%,1.19%,-,-,-,-,-,
29,Dividend Yield,0.89%,-,-,-,-,0.82%,-,-,-,0.32%,-,-,-,0.22%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,16.48%,88.92%,4.82%,4.26%,12.73%,79.18%,15.67%,13.11%,8.32%,92.50%,23.59%,7.72%,26.92%,39.53%,15.53%,7.93%,10.86%,1026.45%,83.34%
31,Buyback Yield / Dilution,-0.05%,-1.47%,0.11%,-1.05%,-0.33%,4.82%,-3.17%,0.64%,-0.59%,-4.67%,2.34%,-9.54%,-29.91%,-31.19%,-31.44%,-47.62%,9.29%,-,-,-,-
32,Total Shareholder Return,0.84%,-1.47%,0.11%,-1.05%,-0.33%,5.64%,-3.17%,0.64%,-0.59%,-4.35%,2.34%,-9.54%,-29.91%,-30.98%,-31.44%,-47.62%,9.29%,-,-,-,-
