,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
9,Operating Expenses,51.08,60.52,64.85,91.76,50.72,32.05,34.01,52.38,18.54,33.74,33.3,21.23,21.23,5.53,5.53,3.45,3.45
10,Operating Income,117.02,89.72,50.04,17.22,73.96,78.38,66.73,28.24,112.16,103.32,79.09,57.56,57.56,4.69,4.69,0.52,0.52
11,Interest Expense,-17.32,-18.23,-18.4,-20.82,-23.63,-25.39,-25.32,-20.17,-20.77,-21.27,-20.94,-14.97,-14.97,-2.68,-2.68,-1.24,-1.24
12,Interest & Investment Income,8.81,9.82,11.17,10.86,13.88,5.63,3.48,2.82,3.56,3.32,3.37,3.36,3.36,0.03,0.03,0.37,0.37
13,Currency Exchange Gain (Loss),-4.51,4.51,-,-0.99,-0.01,0.01,-,-,-,-,-,-,-,0,0,-,-
14,Other Non Operating Income (Expenses),1.57,-3.77,3.41,1.14,-3.55,0.7,-0.22,-3.55,3.44,0.23,-0.21,-0.25,-0.25,-0.02,-0.02,-0.11,-0.11
15,EBT Excluding Unusual Items,105.58,82.05,46.22,7.4,60.65,59.33,44.66,7.35,98.39,85.59,61.31,45.7,45.7,2.02,2.02,-0.46,-0.46
16,Gain (Loss) on Sale of Investments,-0.12,0.63,-,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.07,-0.52,0.13,-,-0,-,-,-,-0,-,3.12,3.12,-,-,-0.01,-0.01
18,Asset Writedown,-23.04,0.56,-0.73,5.56,-5.8,-2.75,2.6,4.66,-4.77,-1.99,1.81,-1.92,-1.92,-,-,-,-
19,Legal Settlements,-0.21,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-3.69,3.89,-0.2,11.99,-,-,-,6.55,-,-,-,0.03,0.03,0.81,0.81,1.35,1.35
21,Pretax Income,78.52,87.26,44.76,25.45,54.85,56.58,47.26,18.55,93.61,83.6,63.13,46.93,46.93,2.83,2.83,0.88,0.88
22,Income Tax Expense,3.89,4.73,1.57,-3.59,-0.23,0.28,1.32,-2.94,1.84,3.49,2.33,3.47,3.47,0.16,0.16,0.25,0.25
23,Earnings From Continuing Operations,74.63,82.52,43.2,29.04,55.08,56.29,45.95,21.49,91.78,80.11,60.8,43.46,43.46,2.67,2.67,0.63,0.63
24,Minority Interest in Earnings,-1.19,-2.06,-3.75,0.69,-2.57,-2.06,-3.57,-1.25,-3.87,-2.92,-3.62,-1.37,-1.37,-0.1,-0.1,0.03,0.03
25,Net Income,73.44,80.46,39.45,29.73,52.51,54.24,42.37,20.25,87.91,77.2,57.18,42.08,42.08,2.57,2.57,0.66,0.66
26,Net Income to Common,73.44,80.46,39.45,29.73,52.51,54.24,42.37,20.25,87.91,77.2,57.18,42.08,42.08,2.57,2.57,0.66,0.66
27,Net Income Growth,39.86%,48.36%,-6.89%,46.85%,-40.27%,-29.74%,-25.89%,-51.89%,108.90%,2902.11%,2123.54%,6288.60%,6288.60%,-,-,-,-
28,Shares Outstanding (Basic),236,246,244,243,244,204,183,184,183,179,184,183,183,129,129,132,132
29,Shares Outstanding (Diluted),245,246,244,243,244,204,183,184,183,179,184,183,183,129,129,132,132
30,Shares Change (YoY),0.48%,20.67%,33.34%,31.84%,32.82%,14.02%,-0.97%,0.77%,0.42%,39.01%,43.45%,38.66%,38.66%,-,-,-,-
31,EPS (Basic),0.31,0.33,0.16,0.12,0.22,0.27,0.23,0.11,0.48,0.43,0.31,0.23,0.23,0.02,0.02,0.01,0.01
32,EPS (Diluted),0.30,0.33,0.16,0.12,0.22,0.27,0.23,0.11,0.48,0.43,0.31,0.23,0.23,0.02,0.02,0.01,0.01
33,EPS Growth,39.19%,22.95%,-30.17%,11.39%,-55.03%,-38.38%,-25.16%,-52.18%,108.37%,2059.58%,1450.00%,4500.00%,4500.00%,-,-,-,-
34,Free Cash Flow,-42.03,-34.2,90.42,-248.16,2.16,54.1,-60.62,40.8,97.3,3,-52.69,-122.9,-122.9,-20.39,-20.39,-20.74,-20.74
35,Free Cash Flow Per Share,-0.17,-0.14,0.37,-1.02,0.01,0.27,-0.33,0.22,0.53,0.02,-0.29,-0.67,-0.67,-0.16,-0.16,-0.16,-0.16
36,Dividend Per Share,-,-,-,0.100,-,0.200,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,34.25%,37.57%,23.28%,23.13%,25.45%,27.05%,26.26%,19.63%,27.41%,26.04%,27.79%,29.25%,29.25%,37.67%,37.67%,38.72%,38.72%
38,Operating Margin,23.85%,22.44%,10.14%,3.66%,15.09%,19.20%,17.40%,6.88%,23.52%,19.63%,19.55%,21.37%,21.37%,17.29%,17.29%,5.10%,5.10%
39,Profit Margin,14.96%,20.12%,7.99%,6.31%,10.72%,13.28%,11.05%,4.93%,18.43%,14.66%,14.14%,15.62%,15.62%,9.49%,9.49%,6.42%,6.42%
40,Free Cash Flow Margin,-8.57%,-8.55%,18.32%,-52.68%,0.44%,13.25%,-15.80%,9.93%,20.40%,0.57%,-13.03%,-45.62%,-45.62%,-75.21%,-75.21%,-202.25%,-202.25%
41,EBITDA,155,131.58,88.02,55.2,107.39,112.9,100.16,61.68,137.54,136.38,104.46,77,77,7.1,7.1,1.46,1.46
42,EBITDA Margin,31.58%,32.90%,17.84%,11.72%,21.92%,27.65%,26.11%,15.02%,28.84%,25.91%,25.83%,28.58%,28.58%,26.19%,26.19%,14.19%,14.19%
43,D&A For EBITDA,37.98,41.85,37.98,37.98,33.44,34.52,33.44,33.44,25.38,33.06,25.38,19.44,19.44,2.41,2.41,0.93,0.93
44,EBIT,117.02,89.72,50.04,17.22,73.96,78.38,66.73,28.24,112.16,103.32,79.09,57.56,57.56,4.69,4.69,0.52,0.52
45,EBIT Margin,23.85%,22.44%,10.14%,3.66%,15.09%,19.20%,17.40%,6.88%,23.52%,19.63%,19.55%,21.37%,21.37%,17.29%,17.29%,5.10%,5.10%
46,Effective Tax Rate,4.95%,5.42%,3.50%,-,-,0.50%,2.78%,-,1.96%,4.17%,3.68%,7.39%,7.39%,5.69%,5.69%,28.25%,28.25%
47,Revenue as Reported,490.75,399.88,493.48,471.11,489.96,408.26,383.55,410.73,476.92,526.45,404.46,-,-,27.11,27.11,10.26,10.26
