,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
24,Other Current Liabilities,66.99,155.15,55.53,167.58,36.71,35.76,270.86,159.15,-,-,-,180.43,180.43,11.18,11.18,-,-
25,Total Current Liabilities,575.45,1044,566.95,583.47,497.94,467.45,481.94,517.97,-,-,-,517.7,517.7,95.57,95.57,-,-
26,Long-Term Debt,1564,1621,1655,1716,1729,1799,1799,1862,-,-,-,1545,1545,80,80,-,-
27,Long-Term Leases,0.94,1.07,1.46,1.79,2.41,0.66,0.04,0.11,-,-,-,0.48,0.48,-,-,-,-
28,Long-Term Unearned Revenue,84.23,85.53,86.83,88.23,89.41,90.7,91.79,92.87,-,-,-,64.11,64.11,7.35,7.35,-,-
29,Long-Term Deferred Tax Liabilities,9.41,8.65,8.54,8.39,10.15,10.2,10.19,10.24,-,-,-,7.57,7.57,-,-,-,-
30,Other Long-Term Liabilities,73.13,67.61,62.12,56.74,51.37,46.01,41.46,37.01,-,-,-,10.94,10.94,-,-,-,-
31,Total Liabilities,2307,2828,2381,2455,2380,2414,2425,2520,-,-,-,2145,2145,182.93,182.93,-,-
32,Common Stock,243.57,243.57,243.57,243.57,243.57,243.57,182.68,182.68,-,-,-,182.68,182.68,120,120,-,-
33,Additional Paid-In Capital,2207,2202,2198,2194,2194,2194,830.05,830.05,-,-,-,830.05,830.05,81.15,81.15,-,-
34,Retained Earnings,1133,1059,1003,963.22,933.48,929.69,875.45,833.07,-,-,-,420.25,420.25,-3.16,-3.16,-,-
35,Treasury Stock,-49.08,-49.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,0.23,0.12,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,3534,3456,3444,3401,3371,3367,1888,1846,-,-,1603,1433,1433,197.99,197.99,-,126.62
38,Minority Interest,117.92,120.24,104.68,100.94,101.5,99.21,97.21,93.58,-,-,-,73.89,73.89,17.65,17.65,-,-
39,Shareholders' Equity,3652,3576,3549,3502,3473,3467,1986,1939,-,-,1686,1507,1507,215.64,215.64,-,134.55
40,Total Liabilities & Equity,5959,6404,5930,5956,5853,5880,4410,4459,-,-,-,3652,3652,398.57,398.57,-,-
41,Total Debt,1736,2294,1838,1889,1901,1956,1959,2009,-,-,1945,1670,1670,136.92,136.92,-,105.09
42,Net Cash (Debt),-575.26,-523.75,-407.98,-489.35,-219.62,-152.54,-1615,-1534,-,-,-1528,-1413,-1413,-120.62,-120.62,-,-82.11
43,Net Cash Per Share,-2.35,-2.13,-1.68,-2.02,-0.90,-0.75,-8.84,-8.33,-,-,-8.29,-7.73,-7.73,-0.94,-0.94,-,-0.62
44,Filing Date Shares Outstanding,240.67,243.57,243.57,243.57,243.57,243.57,182.68,182.68,183.44,178.73,184.44,182.68,182.68,120,120,131.75,131.75
45,Total Common Shares Outstanding,240.67,243.57,243.57,243.57,243.57,243.57,182.68,182.68,183.44,178.73,184.44,182.68,182.68,120,120,131.75,131.75
46,Working Capital,1473,1589,1711,1772,2016,2087,589.68,585.14,-,-,-,223.25,223.25,47.46,47.46,-,-
47,Book Value Per Share,14.69,14.19,14.14,13.96,13.84,13.83,10.34,10.10,-,-,8.78,7.84,7.84,1.65,1.65,-,-
48,Tangible Book Value,456.83,502.25,577.63,569.15,742.23,732.8,-758.84,-823,-,-,-930.24,-792.33,-792.33,39.77,39.77,-,112.19
49,Tangible Book Value Per Share,1.90,2.06,2.37,2.34,3.05,3.01,-4.15,-4.51,-,-,-5.09,-4.34,-4.34,0.33,0.33,-,-
50,Buildings,-,231.82,-,228.86,-,228.09,-,227.4,-,-,-,191.39,191.39,80.18,80.18,-,-
51,Machinery,-,504.06,-,494.03,-,479.97,-,441.55,-,-,-,376.13,376.13,27.18,27.18,-,-
52,Construction In Progress,-,124.27,-,66.89,-,42.93,-,58.47,-,-,-,74.3,74.3,12.51,12.51,-,-
