,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
20,Current Income Taxes Payable,884.17,-,-,-,-,90.96,-,90.96,1543,2205,2448,127.69,1974,-,3952,1580,5656,11317,7197,673.8,Upgrade
21,Other Current Liabilities,22223,47316,70656,32236,31303,32363,100801,46895,106669,57376,69666,130471,148478,47528,19409,20884,71994,56356,15558,56380,Upgrade
22,Total Current Liabilities,2382852,2570928,2468980,2333853,2458353,2447478,2655351,2527895,2751263,3185527,3010291,3039093,2663650,2877649,2831010,2669036,2179901,2450046,2264509,2157824,Upgrade
23,Long-Term Debt,48712,52636,69546,77078,77153,92719,88442,107456,112800,120823,125145,166450,170286,193244,215832,278128,263851,293331,323423,343951,Upgrade
24,Long-Term Leases,-,3838,1439,-,9595,-,9039,-,23680,23863,23863,-,50518,50518,50518,-,81478,84997,54611,54611,Upgrade
25,Long-Term Deferred Tax Liabilities,5450,699.23,5481,-,790.31,2227,293.23,810.19,2703,871.02,777.17,-,199.9,-,-,-,-,-,-,573.59,Upgrade
26,Other Long-Term Liabilities,16209,16209,16209,15209,14209,13209,13209,13209,12357,12357,10357,11330,11357,12357,12357,11573,12573,12573,12573,12573,Upgrade
27,Total Liabilities,2453223,2644311,2561655,2426139,2560100,2555633,2766335,2649371,2902803,3343441,3170433,3216873,2896011,3133767,3109717,2958738,2537803,2840947,2655116,2569533,Upgrade
28,Common Stock,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,1036265,Upgrade
29,Retained Earnings,328177,315371,292660,307621,287948,266018,246978,272276,265182,235880,213113,229202,221050,238299,267035,252540,239194,208934,232148,217392,Upgrade
30,Treasury Stock,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,-12.05,Upgrade
31,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1383,-,-,-,-,-,Upgrade
32,Shareholders' Equity,1364430,1351623,1328913,1343873,1324200,1302271,1283230,1308529,1301434,1272133,1249366,1265454,1257302,1274552,1301905,1288793,1275447,1245187,1268401,1253645,Upgrade
33,Total Liabilities & Equity,3817652,3995934,3890567,3770013,3884301,3857904,4049566,3957899,4204237,4615573,4419799,4482327,4153313,4408319,4411622,4247531,3813250,4086134,3923516,3823178,Upgrade
34,Total Debt,1916741,1958192,1658206,1924587,1986781,2000340,2082511,2143671,2279066,2668122,2517698,2630148,2277278,2544887,2564223,2457152,2019876,2283384,2113956,2159950,Upgrade
35,Net Cash (Debt),-1443398,-1601515,-1317195,-1779537,-1697107,-1874694,-1975213,-2016623,-2250917,-2477148,-2439477,-2389663,-2198336,-2332989,-2212315,-2310104,-1866942,-1881348,-2016822,-2011845,Upgrade
36,Net Cash Per Share,-13929.02,-15454.87,-12711.14,-17172.81,-16377.35,-18091.09,-19061.11,-19460.73,-21721.70,-23904.87,-23541.34,-23060.62,-21214.29,-22513.71,-21349.18,-22292.87,-18016.28,-18155.30,-19462.64,-19414.62,Upgrade
37,Filing Date Shares Outstanding,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,Upgrade
38,Total Common Shares Outstanding,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,103.63,Upgrade
39,Working Capital,527390,496888,445308,431108,404202,358337,290662,288539,261161,205359,162580,150700,139780,127800,134961,81107,75756,66436,89219,57810,Upgrade
40,Book Value Per Share,13166.96,13043.38,12824.21,12968.59,12778.74,12567.12,12383.38,12627.51,12559.04,12276.28,12056.58,12211.83,12133.16,12299.62,12563.59,12437.05,12308.26,12016.25,12240.26,12097.87,Upgrade
41,Tangible Book Value,1282855,1269250,1245739,1258483,1240434,1217906,1198267,1222966,1215273,1185373,1162007,1177497,1168746,1185397,1212152,1198440,1184495,1153637,1176252,1160898,Upgrade
42,Tangible Book Value Per Share,12379.75,12248.46,12021.58,12144.56,11970.38,11752.98,11563.46,11801.82,11727.57,11439.03,11213.55,11363.03,11278.58,11439.26,11697.45,11565.14,11430.57,11132.78,11351.01,11202.84,Upgrade
43,Buildings,958892,955379,955077,954724,951644,947031,946536,943545,940832,940832,940832,936943,936943,936423,936423,936423,936423,936423,936423,936360,Upgrade
44,Machinery,2322255,2291261,2286779,2278846,2262107,2238959,2183960,2151995,2097175,2073003,2072840,2071103,2069637,2047323,2040994,2019376,2019376,1990568,1977722,1970643,Upgrade
45,Construction In Progress,42316,46719,47273,27501,16956,18848,15704,18672,21390,31046,7675,7261,7973,5151,6794,5312,4621,10235,16930,20525,Upgrade
