,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Assets,0.01,0.25,-0.25,0.02,0.09,-,-,-0.52,-0.13,-0.53,-,-0.13,-,0.33,-0.15
17,Asset Writedown,-34.8,12.66,-13.38,-65.99,64.96,-14.62,14.4,41.68,-43.1,50.3,-50.48,20.85,-23.01,16.04,-17.84
18,Other Unusual Items,-58,63.5,-5.5,13.77,-0.16,0.16,-,126.69,-0.45,0.45,-,1.59,-1.91,1.91,-
19,Pretax Income,132.86,226.25,185.65,441.28,328.12,246.03,255.51,403.38,503.4,482.03,270.22,355.29,360.9,115.32,146.22
20,Income Tax Expense,-15.47,3.03,1.31,23.63,7.59,-46,2.22,34.08,45.8,19.56,41.99,11.06,32.57,-16.3,26.85
21,Earnings From Continuing Operations,148.33,223.22,184.34,417.65,320.53,292.03,253.29,369.3,457.6,462.47,228.23,344.23,328.33,131.62,119.37
22,Minority Interest in Earnings,1.01,0.25,1.05,0.13,-0.06,-0.59,-0.41,-0.23,-0.4,-1.21,-0.17,0.64,-0.78,-0.04,-0.3
23,Net Income,149.34,223.47,185.39,417.79,320.47,291.44,252.89,369.07,457.2,461.26,228.07,344.87,327.56,131.58,119.06
24,Net Income to Common,149.34,223.47,185.39,417.79,320.47,291.44,252.89,369.07,457.2,461.26,228.07,344.87,327.56,131.58,119.06
25,Net Income Growth,-53.40%,-23.32%,-26.69%,13.20%,-29.91%,-36.82%,10.88%,7.02%,39.58%,250.55%,91.55%,-,-,-,-
26,Shares Outstanding (Basic),705,676,687,686,682,676,685,671,675,639,674,618,612,597,610
27,Shares Outstanding (Diluted),705,699,687,714,682,693,685,694,675,665,674,618,612,597,610
28,Shares Change (YoY),3.31%,0.90%,0.24%,2.86%,1.01%,4.26%,1.66%,12.36%,10.35%,11.32%,10.52%,-,-,-,-
29,EPS (Basic),0.21,0.33,0.27,0.61,0.47,0.43,0.37,0.55,0.68,0.72,0.34,0.56,0.54,0.22,0.20
30,EPS (Diluted),0.21,0.32,0.27,0.59,0.47,0.42,0.37,0.53,0.68,0.69,0.34,0.56,0.54,0.22,0.20
31,EPS Growth,-54.89%,-24.01%,-26.87%,10.06%,-30.61%,-39.40%,9.07%,-4.76%,26.49%,214.89%,73.32%,-,-,-,-
32,Free Cash Flow,490.33,-826.53,-300.13,-82.52,-190.19,-77.42,403.57,369.68,-24.09,110.07,-199.48,68.94,455.49,5.85,20.78
33,Free Cash Flow Per Share,0.70,-1.18,-0.44,-0.12,-0.28,-0.11,0.59,0.53,-0.04,0.17,-0.30,0.11,0.74,0.01,0.03
34,Dividend Per Share,-,-,-,0.600,-,-,-,0.668,-,-,-,0.444,-,-,-
35,Dividend Growth,-,-,-,-10.14%,-,-,-,50.45%,-,-,-,-,-,-,-
36,Gross Margin,12.92%,14.00%,12.61%,19.24%,15.36%,19.35%,19.07%,24.28%,20.54%,19.10%,18.60%,20.53%,15.03%,10.25%,12.60%
37,Operating Margin,5.03%,3.52%,5.18%,9.99%,7.26%,7.29%,11.22%,9.90%,12.03%,12.18%,11.61%,9.63%,10.71%,3.70%,7.24%
38,Profit Margin,3.12%,5.93%,6.54%,8.55%,8.93%,10.39%,11.67%,14.74%,13.66%,15.34%,8.36%,9.97%,9.12%,5.05%,5.33%
39,Free Cash Flow Margin,10.23%,-21.95%,-10.59%,-1.69%,-5.30%,-2.76%,18.62%,14.76%,-0.72%,3.66%,-7.31%,1.99%,12.68%,0.22%,0.93%
40,EBITDA,262.04,154.56,168.09,509.21,278.82,225.1,261.37,266.21,418.85,384.45,333.08,349.42,397.1,111.61,174.3
41,EBITDA Margin,5.47%,4.10%,5.93%,10.42%,7.77%,8.03%,12.06%,10.63%,12.52%,12.78%,12.21%,10.10%,11.06%,4.29%,7.80%
42,D&A For EBITDA,21.27,21.86,21.27,21.27,18.18,20.75,18.18,18.18,16.21,18.1,16.21,16.21,12.45,15.19,12.45
43,EBIT,240.77,132.71,146.82,487.94,260.64,204.35,243.2,248.04,402.64,366.35,316.87,333.21,384.65,96.41,161.85
44,EBIT Margin,5.03%,3.52%,5.18%,9.99%,7.26%,7.29%,11.22%,9.90%,12.03%,12.18%,11.61%,9.63%,10.71%,3.70%,7.24%
45,Effective Tax Rate,-,1.34%,0.70%,5.35%,2.31%,-,0.87%,8.45%,9.10%,4.06%,15.54%,3.11%,9.02%,-,18.36%
46,Revenue as Reported,4791,3766,2835,4885,3590,2805,2167,2505,3346,3008,2729,3460,3591,2604,2234
