,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
29,Long-Term Unearned Revenue,-,91.2,89.46,80.09,56.79,47.45,31.25,31.95,25.54,27.6,-,-,18.52
30,Long-Term Deferred Tax Liabilities,-,2.51,4.42,5.77,11.16,16.03,13.57,19.07,7.84,3.39,-,-,1.08
31,Other Long-Term Liabilities,-,1018,1005,1183,999.33,768.91,209.19,489.66,472.65,919.28,-,-,153.76
32,Total Liabilities,-,10983,11278,11802,12840,13131,12254,10394,11136,8111,-,-,3093
33,Common Stock,-,126.12,126.12,126.12,126.12,126.12,126.12,85.22,85.22,85.22,-,-,63.91
34,Additional Paid-In Capital,-,7263,7263,7263,7263,7262,7260,7300,7320,7323,-,-,1197
35,Retained Earnings,-,-1216,-1023,-748.23,-618.17,-63.19,46.58,1152,1185,1019,-,-,226.72
36,Treasury Stock,-,-119.68,-89.74,-74.74,-44.94,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,-142.22,-140.72,-142.58,-139.69,-1.23,-,-,-,-,-,-,-
38,Total Common Equity,5911,5911,6136,6423,6586,7324,7432,8537,8590,8427,-,1487,1487
39,Minority Interest,-,-21.43,-15.46,-6.81,5.69,12.21,19.86,40.16,132.26,136.09,-,-,84.73
40,Shareholders' Equity,5889,5889,6120,6416,6592,7336,7452,8577,8722,8563,-,1572,1572
41,Total Liabilities & Equity,-,16872,17398,18218,19432,20467,19706,18971,19859,16675,-,-,4665
42,Total Debt,6812,6812,7371,8102,7907,6726,6419,5179,4313,3455,-,1012,1012
43,Net Cash (Debt),-3780,-3780,-4264,-4410,-3865,-1952,-1803,-41.07,1807,4253,-,-701.82,-701.82
44,Net Cash Per Share,-30.45,-30.29,-34.13,-34.93,-30.75,-15.47,-14.16,-0.33,14.37,44.95,-,-7.41,-7.44
45,Filing Date Shares Outstanding,124.12,123.2,124.37,124.75,125.37,126.12,126.12,126.12,126.12,126.12,94.59,94.71,94.59
46,Total Common Shares Outstanding,123.2,123.2,124.37,124.75,125.37,126.12,126.12,126.12,126.12,126.12,94.59,94.71,94.59
47,Working Capital,-,-740.58,250.76,1192,1363,2311,2318,4085,4546,6617,-,-,-351.72
48,Book Value Per Share,47.98,47.98,49.34,51.49,52.53,58.07,58.93,67.69,68.11,66.82,-,15.72,15.72
49,Tangible Book Value,5461,5461,5679,5961,6117,6874,6972,8133,8182,8151,-,1349,1349
50,Tangible Book Value Per Share,44.32,44.32,45.66,47.78,48.79,54.50,55.28,64.49,64.88,64.63,-,14.26,14.26
51,Buildings,-,-,2780,-,2628,-,1833,-,1571,-,-,-,747.14
52,Machinery,-,-,4319,-,3919,-,3295,-,2304,-,-,-,871.5
53,Construction In Progress,-,-,3094,-,3348,-,2966,-,2026,-,-,-,596.58
