,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,Gain (Loss) on Sale of Investments,20.1,-2.66,-9.33,-8.11,-2.88,-5.98,-15.38,-29.84,-15.13,-17.45,-3.64,-4.63,1.54
17,Gain (Loss) on Sale of Assets,-0.23,-0.04,0.26,0.01,-0.26,-0.03,-0.06,-,0,0.03,3.34,0.01,-0.03
18,Asset Writedown,146.69,-145.91,-8.81,8.02,433.96,-518.61,210.12,-210.12,4.72,-4.72,0.31,-0.31,2.91
19,Other Unusual Items,-12.22,1.87,8.97,1.39,17.18,-,-,-,47.17,-27.68,27.68,-,43.02
20,Pretax Income,-279.76,-222.69,-317.48,-158.12,-572.42,-136.16,-970.39,-36.02,74.08,329.03,297.86,269.26,187.54
21,Income Tax Expense,-42,-23.34,-34.5,-15.56,-10.91,-14.71,-145,2.85,-82.92,24.07,38.19,36.98,18.32
22,Earnings From Continuing Operations,-237.76,-199.34,-282.98,-142.56,-561.51,-121.45,-825.39,-38.87,156.99,304.96,259.67,232.27,169.22
23,Minority Interest in Earnings,-27.11,5.96,8.65,12.5,6.53,11.67,20.3,5.09,9.56,-6.9,1.47,0.66,0.4
24,Net Income,-264.87,-193.38,-274.34,-130.06,-554.98,-109.77,-805.09,-33.79,166.56,298.06,261.14,232.94,169.62
25,Net Income to Common,-264.87,-193.38,-274.34,-130.06,-554.98,-109.77,-805.09,-33.79,166.56,298.06,261.14,232.94,169.62
26,Net Income Growth,-,-,-,-,-,-,-,-,-1.81%,-,-,-,-
27,Shares Outstanding (Basic),124,125,125,126,126,126,127,125,126,95,95,95,94
28,Shares Outstanding (Diluted),124,125,125,126,126,126,127,125,126,95,95,95,94
29,Shares Change (YoY),-1.25%,-1.09%,-1.88%,1.02%,-0.06%,33.33%,34.57%,31.98%,33.33%,-,-,-,-
30,EPS (Basic),-2.13,-1.55,-2.20,-1.03,-4.42,-0.87,-6.32,-0.27,1.32,3.15,2.76,2.46,1.80
31,EPS (Diluted),-2.13,-1.55,-2.20,-1.03,-4.42,-0.87,-6.32,-0.27,1.32,3.15,2.76,2.46,1.80
32,EPS Growth,-,-,-,-,-,-,-,-,-26.35%,-,-,-,-
33,Free Cash Flow,-,353.29,495.47,452.47,-831.06,-1204,-1490,-2086,-1947,-1332,-1363,-509.08,-574.55
34,Free Cash Flow Per Share,-,2.83,3.97,3.58,-6.61,-9.54,-11.71,-16.69,-15.48,-14.07,-14.41,-5.38,-6.09
35,Dividend Per Share,-,-,-,-,-,-,-,-,2.378,-,-,-,-
36,Gross Margin,-37.67%,6.82%,-5.18%,-0.85%,-36.24%,16.24%,-35.00%,12.07%,8.64%,15.48%,19.35%,24.64%,31.28%
37,Operating Margin,-22.34%,-1.12%,-14.23%,-9.17%,-43.68%,10.39%,-42.85%,7.44%,1.25%,10.01%,15.66%,18.65%,24.06%
38,Profit Margin,-9.92%,-10.15%,-15.30%,-11.26%,-25.54%,-2.60%,-30.06%,-1.09%,3.39%,7.37%,14.05%,15.16%,15.65%
39,Free Cash Flow Margin,-,18.55%,27.63%,39.19%,-38.25%,-28.49%,-55.64%,-67.31%,-39.65%,-32.92%,-73.33%,-33.14%,-53.00%
40,EBITDA,-491.19,84.03,-117.07,-0.56,-843.81,487.4,-1058,279.13,109.89,423.77,324.94,305.45,278.54
41,EBITDA Margin,-18.39%,4.41%,-6.53%,-0.05%,-38.83%,11.54%,-39.52%,9.01%,2.24%,10.48%,17.48%,19.88%,25.69%
42,D&A For EBITDA,105.31,105.31,138.01,105.31,105.31,48.47,89.18,48.47,48.47,18.91,33.94,18.91,17.71
43,EBIT,-596.5,-21.29,-255.08,-105.87,-949.13,438.94,-1148,230.66,61.42,404.86,291,286.54,260.83
44,EBIT Margin,-22.34%,-1.12%,-14.23%,-9.17%,-43.68%,10.39%,-42.85%,7.44%,1.25%,10.01%,15.66%,18.65%,24.06%
45,Effective Tax Rate,-,-,-,-,-,-,-,-,-,7.32%,12.82%,13.74%,9.77%
46,Revenue as Reported,-,1905,1793,1155,2173,4225,2678,3098,4911,4045,1859,1536,1084
