,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
24,Net Income,-7.16,61.65,47.88,39.93,39.84,46.19,16.56,117.64,107.72,124.01,98.08,30.72,45.14,21.54,18.13,18.13
25,Net Income to Common,-7.16,61.65,47.88,39.93,39.84,46.19,16.56,117.64,107.72,124.01,98.08,30.72,45.14,21.54,18.13,18.13
26,Net Income Growth,-,33.47%,189.20%,-66.06%,-63.01%,-62.76%,-83.12%,282.91%,138.66%,475.84%,441.13%,69.50%,-,-,-,-
27,Shares Outstanding (Basic),60,153,158,155,155,158,155,157,72,240,118,118,115,117,118,118
28,Shares Outstanding (Diluted),60,153,158,155,159,158,155,157,74,240,118,118,115,117,118,118
29,Shares Change (YoY),-62.19%,-3.18%,1.98%,-0.98%,114.40%,-34.09%,31.95%,32.84%,-35.75%,105.35%,-0.67%,-0.30%,-,-,-,-
30,EPS (Basic),-0.12,0.40,0.30,0.26,0.26,0.29,0.11,0.75,1.49,0.52,0.83,0.26,0.39,0.18,0.15,0.15
31,EPS (Diluted),-0.12,0.40,0.30,0.26,0.25,0.29,0.11,0.75,1.46,0.52,0.83,0.26,0.39,0.18,0.15,0.15
32,EPS Growth,-,37.85%,183.58%,-65.72%,-82.75%,-43.50%,-87.21%,188.24%,271.43%,180.42%,444.76%,70.01%,-,-,-,-
33,Free Cash Flow,-,339.79,100.24,116.98,59.35,-181.23,-375.54,-439.5,-331.96,-82.03,9.41,41.85,6.87,30.1,5.4,5.4
34,Free Cash Flow Per Share,-,2.21,0.63,0.75,0.37,-1.14,-2.42,-2.80,-4.49,-0.34,0.08,0.35,0.06,0.26,0.05,0.05
35,Dividend Per Share,-,-,-,-,0.714,-,-,-,1.122,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-36.36%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,495.91%,32.95%,29.10%,35.82%,8.42%,49.80%,27.37%,41.59%,36.97%,39.80%,38.71%,40.21%,36.85%,38.38%,36.97%,36.97%
38,Operating Margin,-21.99%,20.13%,9.09%,16.75%,-19.25%,17.21%,-0.96%,27.38%,18.93%,28.77%,25.77%,22.48%,23.36%,18.92%,17.14%,17.14%
39,Profit Margin,-2.74%,9.72%,10.16%,9.34%,8.82%,14.88%,7.45%,27.00%,26.24%,28.81%,30.28%,17.70%,18.53%,14.23%,13.43%,13.43%
40,Free Cash Flow Margin,-,53.57%,21.27%,27.35%,13.14%,-58.38%,-168.90%,-100.86%,-80.86%,-19.06%,2.91%,24.11%,2.82%,19.89%,4.00%,4.00%
41,EBITDA,-54.73,130.39,46.6,74.33,-84.23,54.74,-0.03,120.64,79.05,124.72,84.6,39.9,57.8,29.55,24.07,24.07
42,EBITDA Margin,-20.96%,20.56%,9.89%,17.38%,-18.65%,17.63%,-0.01%,27.69%,19.26%,28.97%,26.12%,22.99%,23.73%,19.53%,17.83%,17.83%
43,D&A For EBITDA,2.7,2.7,3.78,2.7,2.7,1.33,2.11,1.33,1.33,0.89,1.14,0.89,0.89,0.92,0.92,0.92
44,EBIT,-57.43,127.69,42.82,71.63,-86.93,53.41,-2.14,119.31,77.72,123.82,83.47,39.01,56.9,28.63,23.15,23.15
45,EBIT Margin,-21.99%,20.13%,9.09%,16.75%,-19.25%,17.21%,-0.96%,27.38%,18.93%,28.77%,25.77%,22.48%,23.36%,18.92%,17.14%,17.14%
46,Effective Tax Rate,-,21.82%,14.12%,31.54%,-,11.01%,40.51%,15.45%,10.19%,19.90%,13.88%,10.73%,9.64%,14.02%,12.00%,12.00%
47,Revenue as Reported,-,634.31,471.22,427.75,451.63,310.43,222.34,435.74,410.52,430.45,323.86,173.57,-,151.36,135.01,135.01
