,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.05,0.04,-,-,0.11
15,Debt / EBITDA Ratio,0.19,0.15,0.20,0.19,0.30,0.21,0.18,0.21,-,-,0.42,0.54,1.58,0.26,0.19,0.31,-,-,-,-,-
16,Debt / FCF Ratio,0.09,0.11,0.20,0.22,0.12,-,0.15,0.23,0.30,-,0.28,0.30,0.20,0.24,0.19,0.14,0.22,0.58,-,-,-
17,Asset Turnover,0.38,0.40,0.40,0.37,0.36,0.38,0.38,0.34,0.29,0.32,0.32,0.33,0.33,0.38,0.53,0.61,-,-,-,-,
18,Inventory Turnover,-,424.87,444.48,470.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,3.51,3.51,3.67,3.52,2.67,3.02,3.50,3.82,4.37,4.45,4.84,4.69,4.44,4.54,4.87,4.82,2.30,2.71,-,-,-
20,Current Ratio,3.60,3.60,3.80,3.58,2.83,3.07,3.67,3.89,4.52,4.56,5.03,4.76,4.64,4.65,5.12,4.93,2.37,2.76,-,-,-
21,Return on Equity (ROE),12.01%,12.61%,11.55%,7.02%,9.83%,12.92%,10.07%,1.12%,-6.17%,7.15%,3.34%,-0.45%,8.82%,11.25%,-86.86%,-21.92%,-,-,-,-,
22,Return on Assets (ROA),4.99%,4.35%,4.73%,1.41%,3.15%,3.87%,2.79%,-1.30%,-5.64%,2.32%,1.36%,-0.06%,4.74%,6.10%,2.41%,-8.65%,-,-,-,-,
23,Return on Capital (ROIC),6.29%,5.47%,6.07%,1.84%,4.04%,4.86%,3.48%,-1.61%,-6.93%,2.84%,1.68%,-0.07%,5.83%,7.48%,3.20%,-13.39%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.76%,7.76%,6.84%,6.29%,5.34%,4.28%,0.13%,-0.81%,-,-,3.72%,5.53%,-,4.33%,-2.96%,-5.92%,-,-,-,-,-
25,Earnings Yield,2.52%,3.63%,2.75%,2.34%,2.34%,2.13%,1.22%,0.78%,0.27%,0.18%,1.00%,0.78%,-1.47%,-1.21%,-1.98%,-2.04%,-,-,-,-,-
26,FCF Yield,8.11%,6.37%,3.37%,2.95%,3.79%,3.42%,3.35%,2.46%,1.61%,1.09%,2.14%,1.34%,2.31%,1.47%,1.44%,1.28%,-,-,-,-,-
27,Buyback Yield / Dilution,-0.72%,0.55%,-0.79%,-2.66%,0.01%,-4.52%,1.75%,1.34%,-4.34%,6.32%,1.25%,-476.98%,-538.24%,-663.23%,-749.69%,-47.36%,-26.98%,-,-,-,-
28,Total Shareholder Return,-0.72%,0.55%,-0.79%,-2.66%,0.01%,-4.52%,1.75%,1.34%,-4.34%,6.32%,1.25%,-476.98%,-538.24%,-663.23%,-749.69%,-47.36%,-26.98%,-,-,-,-
