,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
24,Shares Outstanding (Basic),437,442,444,440,438,435,434,433,432,436,435,435,432,431,79,68,60,55,54,54
25,Shares Outstanding (Diluted),449,453,462,454,452,450,450,454,432,458,456,435,461,464,79,68,60,55,54,54
26,Shares Change (YoY),-0.55%,0.79%,2.66%,-0.01%,4.52%,-1.75%,-1.34%,4.34%,-6.32%,-1.25%,476.98%,538.24%,663.23%,749.69%,47.36%,26.98%,-,-,-,-
27,EPS (Basic),1.03,1.06,0.95,0.56,0.76,0.98,0.71,0.08,-0.43,0.49,0.21,-0.03,0.54,0.66,-18.79,-3.94,-10.25,-0.55,-4.34,-6.40
28,EPS (Diluted),1.00,1.04,0.92,0.54,0.74,0.94,0.68,0.08,-0.43,0.46,0.20,-0.03,0.51,0.62,-18.80,-3.94,-10.25,-0.55,-4.34,-6.40
29,EPS Growth,35.55%,10.64%,34.31%,615.85%,-,103.30%,241.22%,-,-,-25.42%,-,-,-,-,-,-,-,-,-,-
30,Free Cash Flow,956.11,812.29,109.49,905.54,-28.67,812.55,432.59,543.91,-184.58,366.55,186.94,294.01,275.02,269.93,589.83,165.34,314.16,237.13,-14.24,-303.06
31,Free Cash Flow Per Share,2.13,1.79,0.24,2.00,-0.06,1.81,0.96,1.20,-0.43,0.80,0.41,0.68,0.60,0.58,7.46,2.43,5.20,4.35,-0.27,-5.65
32,Gross Margin,82.80%,83.57%,83.49%,82.66%,82.61%,83.35%,81.83%,80.65%,81.30%,82.95%,84.34%,84.41%,86.27%,87.22%,87.74%,86.45%,87.72%,88.33%,87.29%,86.61%
33,Operating Margin,20.87%,17.27%,18.71%,6.08%,14.06%,16.24%,11.77%,-6.05%,-31.46%,11.70%,6.86%,-0.29%,23.23%,25.68%,7.33%,-22.83%,-82.31%,5.83%,-39.26%,-99.38%
34,Profit Margin,24.65%,24.50%,22.00%,14.38%,20.96%,26.50%,20.81%,2.56%,-17.07%,17.96%,8.32%,-1.07%,21.37%,23.62%,-127.20%,-34.04%,-96.05%,-5.08%,-54.54%,-121.59%
35,Free Cash Flow Margin,52.43%,42.49%,5.71%,53.15%,-1.81%,50.57%,29.08%,42.57%,-17.05%,31.10%,16.81%,25.84%,25.22%,22.28%,50.49%,20.97%,48.70%,40.18%,-3.34%,-107.24%
36,EBITDA,445.25,394.87,478,168.28,286.94,296.01,227.59,-42.28,-305.47,157.97,106.16,16.77,273.34,321.41,103.18,-162.93,-520.73,38.92,-162.44,-275.83
37,EBITDA Margin,24.42%,20.66%,24.94%,9.88%,18.16%,18.42%,15.30%,-3.31%,-28.22%,13.40%,9.54%,1.47%,25.06%,26.52%,8.83%,-20.66%,-80.72%,6.60%,-38.09%,-97.60%
38,D&A For EBITDA,64.69,64.69,119.4,64.69,64.69,35.02,52.56,35.02,35.02,20.03,29.87,20.03,20.03,10.27,17.57,17.09,10.27,4.52,5.02,5.02
39,EBIT,380.56,330.18,358.61,103.59,222.25,260.99,175.03,-77.3,-340.49,137.94,76.29,-3.26,253.32,311.14,85.61,-180.02,-531.01,34.41,-167.46,-280.85
40,EBIT Margin,20.87%,17.27%,18.71%,6.08%,14.06%,16.24%,11.77%,-6.05%,-31.46%,11.70%,6.86%,-0.29%,23.23%,25.68%,7.33%,-22.83%,-82.31%,5.83%,-39.26%,-99.38%
41,Effective Tax Rate,16.96%,11.83%,18.54%,6.82%,12.94%,6.97%,5.93%,40.22%,-,11.59%,1.65%,3173.74%,11.22%,9.51%,-,-,-,-,-,-
42,Revenue as Reported,1824,1912,1917,1704,1580,1607,1488,1278,1082,1179,1112,1138,1091,1212,1168,788.54,645.13,590.13,426.48,282.61
43,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276.82
