,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
20,Earnings From Continuing Operations,3270,3980,4120,3612,2182,1481,-876,-1547,-2712,-3176,-6254,-6203,-7087,-7036,-57751,-19264,-29280,-37599,-30492,-18034
21,Minority Interest in Earnings,-2,-1,-1,-4,-1,-1,3,-,-1,-,-,0.7,0.86,1.19,0.71,-,-,-,-,-
22,Net Income,3268,3979,4119,3608,2181,1480,-873,-1547,-2713,-3176,-6254,-6202,-7086,-7035,-57750,-19264,-29280,-37599,-30492,-18034
23,Net Income to Common,3268,3979,4119,3608,2181,1480,-873,-1547,-2713,-3176,-6254,-6202,-7086,-7035,-57750,-19264,-29280,-37599,-30492,-18034
24,Net Income Growth,49.84%,168.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),4301,4318,4320,4326,4316,4311,4301,4254,4262,4246,4225,3833,4144,4123,2843,931,931,931,932,934
26,Shares Outstanding (Diluted),4384,4404,4401,4474,4434,4401,4301,4254,4262,4246,4225,3833,4144,4123,2843,931,931,931,932,934
27,Shares Change (YoY),-1.13%,0.07%,2.33%,5.17%,4.04%,3.65%,1.80%,10.98%,2.85%,2.99%,48.61%,311.85%,345.26%,342.97%,204.96%,-0.37%,-,-,-,-
28,EPS (Basic),0.76,0.92,0.95,0.83,0.51,0.34,-0.20,-0.36,-0.64,-0.75,-1.48,-1.62,-1.71,-1.71,-20.31,-20.70,-31.46,-40.40,-32.71,-19.31
29,EPS (Diluted),0.75,0.90,0.94,0.81,0.49,0.34,-0.20,-0.37,-0.64,-0.75,-1.48,-1.62,-1.71,-1.71,-20.31,-20.70,-31.46,-40.40,-32.71,-19.31
30,EPS Growth,53.06%,164.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Free Cash Flow,10120,6631,4396,10,8846,2676,354,-1538,5042,-4622,-3187,-7533,1872,-6190,-1432,-2851,4140,-4262,-646.72,220.54
32,Free Cash Flow Per Share,2.31,1.51,1.00,0.00,2.00,0.61,0.08,-0.36,1.18,-1.09,-0.75,-1.97,0.45,-1.50,-0.50,-3.06,4.45,-4.58,-0.69,0.24
33,Gross Margin,54.33%,55.32%,54.82%,53.11%,51.71%,50.22%,46.44%,45.51%,46.28%,45.03%,41.69%,41.54%,41.52%,43.81%,41.06%,46.99%,43.08%,34.49%,34.18%,39.10%
34,Operating Margin,10.02%,11.33%,13.50%,9.02%,7.91%,4.62%,-3.05%,-4.11%,-9.86%,-14.07%,-24.93%,-19.69%,-36.13%,-39.13%,-42.85%,-4.77%,-8.96%,-21.04%,-41.19%,-5.57%
35,Profit Margin,10.50%,12.85%,14.01%,11.08%,7.80%,5.33%,-3.46%,-5.47%,-11.73%,-14.64%,-29.69%,-25.39%,-34.58%,-36.76%,-339.32%,-106.44%,-190.67%,-292.31%,-244.76%,-152.16%
36,Free Cash Flow Margin,32.51%,21.41%,14.95%,0.03%,31.65%,9.65%,1.40%,-5.44%,21.80%,-21.30%,-15.13%,-30.84%,9.14%,-32.34%,-8.41%,-15.75%,26.96%,-33.13%,-5.19%,1.86%
37,EBITDA,3397,4533,4974,5969,2462,2299,232,1317,-1999,-2243,-4485,-3719,-6330,-6486,-6334,62.17,-538.4,-1980,-4432,-145.1
38,EBITDA Margin,10.91%,14.63%,16.91%,18.33%,8.81%,8.29%,0.92%,4.65%,-8.64%,-10.34%,-21.29%,-15.22%,-30.89%,-33.89%,-37.22%,0.34%,-3.51%,-15.39%,-35.57%,-1.22%
39,D&A For EBITDA,277.67,1023,1004,3031,251,1017,1002,2480,282.33,809,768,1093,1074,1004,957.77,924.97,838.14,726.59,700.04,515.04
40,EBIT,3119,3510,3970,2938,2211,1282,-770,-1163,-2281,-3052,-5253,-4811,-7404,-7489,-7292,-862.8,-1377,-2706,-5132,-660.14
41,EBIT Margin,10.02%,11.33%,13.50%,9.02%,7.91%,4.62%,-3.05%,-4.11%,-9.86%,-14.07%,-24.93%,-19.69%,-36.13%,-39.13%,-42.85%,-4.77%,-8.96%,-21.04%,-41.19%,-5.57%
42,Effective Tax Rate,-,-,-,3.27%,5.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Advertising Expenses,-,9447,8757,-,-,7999,8054,-,8315,8111,8790,-,-,10554,11158,-,5818,5368,7917,-
