,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
9,P/FCF Ratio,9.97,10.09,9.35,12.33,17.56,24.67,32.86,-300.05,-,-19.27,-,-,-,-33.30,-,-,-,-,-,-,-
10,P/OCF Ratio,7.11,8.20,7.53,8.83,12.43,16.52,18.26,52.87,340.30,-78.27,-,-,-44.95,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.78,1.42,1.22,1.35,1.57,2.06,1.82,2.10,2.62,1.95,3.35,2.64,2.62,3.30,8.98,17.54,-,-,-,-,-
12,EV/EBITDA Ratio,10.38,9.35,8.22,10.10,16.26,35.70,102.78,-76.61,-33.29,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,15.62,13.03,11.68,15.25,31.48,144.39,-64.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,8.76,8.34,7.42,9.96,14.99,21.79,29.09,-270.01,-,-17.12,-,-,-,-28.67,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.35,0.35,0.26,0.21,0.32,0.25,0.27,0.29,0.32,0.27,0.29,0.31,0.30,0.24,0.24,0.18,-1.19,-1.22,-,-1.33,-1.33
16,Debt / EBITDA Ratio,0.96,1.23,0.70,0.49,0.47,0.89,0.95,2.85,0.86,-,-,-,-,-,-,-,85.09,-,-,-,144.16
17,Debt / FCF Ratio,0.81,0.97,0.75,0.70,1.32,1.11,1.80,-15.24,-,-1.06,-,-,-,-1.39,-,-,-,-331.01,-,-,335.86
18,Asset Turnover,0.99,1.10,1.11,1.28,1.18,1.25,1.15,1.31,1.13,1.05,0.95,1.06,0.88,0.80,0.92,1.40,-,-,-,-,
19,Quick Ratio,1.00,1.00,1.20,1.21,1.21,1.10,1.20,1.06,1.10,1.15,1.20,1.13,1.38,1.58,1.85,2.25,1.33,0.21,-,-,1.03
20,Current Ratio,1.08,1.08,1.23,1.29,1.24,1.21,1.23,1.15,1.13,1.25,1.23,1.23,1.42,1.67,1.88,2.35,1.36,0.22,-,-,1.13
21,Return on Equity (ROE),22.79%,29.28%,32.52%,30.43%,19.62%,14.30%,-8.81%,-15.38%,-26.78%,-31.43%,-58.47%,-52.16%,-54.12%,-48.95%,-,-,-,-,-,-,
22,Return on Assets (ROA),6.19%,7.78%,9.36%,7.19%,5.81%,3.60%,-2.20%,-3.38%,-6.97%,-9.20%,-14.79%,-13.09%,-19.81%,-19.47%,-24.51%,-4.16%,-,-,-,-,
23,Return on Capital (ROIC),10.39%,13.03%,15.49%,12.03%,9.86%,6.03%,-3.70%,-5.57%,-11.01%,-14.55%,-23.54%,-19.93%,-28.55%,-26.94%,-35.61%,-6.74%,-,-,-69.95%,-,
24,Return on Capital Employed (ROCE),18.89%,18.05%,18.58%,17.33%,9.84%,2.88%,-5.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Earnings Yield,5.97%,7.01%,7.47%,5.80%,3.06%,0.49%,-1.70%,-3.62%,-5.06%,-9.24%,-7.13%,-10.37%,-31.47%,-31.82%,-16.82%,-15.20%,-,-,-,-,-
26,FCF Yield,10.03%,9.91%,10.69%,8.11%,5.70%,4.05%,3.04%,-0.33%,-1.59%,-5.19%,-4.23%,-5.87%,-5.35%,-3.00%,-0.94%,-0.47%,-,-,-,-,-
27,Buyback Yield / Dilution,-0.76%,1.13%,-0.07%,-2.33%,-5.17%,-4.04%,-3.65%,-1.80%,-10.98%,-2.85%,-2.99%,-48.61%,-311.85%,-345.26%,-342.97%,-204.96%,0.37%,-,-,-,-
28,Total Shareholder Return,-0.76%,1.13%,-0.07%,-2.33%,-5.17%,-4.04%,-3.65%,-1.80%,-10.98%,-2.85%,-2.99%,-48.61%,-311.85%,-345.26%,-342.97%,-204.96%,0.37%,-,-,-,-
