,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,-,-,975.28,-,-,51.47,-,36.56,-,-,20.62,55.02,97.40,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.64,1.30,1.26,1.26,1.87,1.74,1.57,1.55,1.56,1.30,1.59,1.77,2.12,2.33,-,-,-,-,-,-
11,EV/EBITDA Ratio,61.50,57.44,47.35,81.94,-,296.01,-,-129.41,-,-,15.99,16.71,19.78,19.51,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-191.43,-,-90.46,-,-70.60,-,-37.08,-,-,21.83,21.97,25.95,24.90,-,-,-,-,-,-
13,EV/FCF Ratio,-10.67,-,-,-,-,-,-,-,-,-,-22.14,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.73,0.73,0.63,0.61,0.51,0.34,0.32,0.26,0.23,0.12,0.07,0.09,0.09,0.13,0.28,0.28,0.31,-,-,0.48
15,Debt / EBITDA Ratio,18.61,6.01,21.13,4.54,-,2.55,-,3.95,-,-,1.01,1.01,0.39,2.19,1.66,1.66,0.63,-,-,2.39
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-0.94,-,-,-,-,-,2.52,-,-,-
17,Asset Turnover,0.73,0.72,0.74,0.85,0.72,0.61,0.57,1.00,0.78,-,-,1.21,0.86,0.90,0.92,-,-,-,-,
18,Inventory Turnover,3.20,2.90,3.56,3.54,4.27,2.87,3.08,2.51,4.70,3.01,-,-,4.93,3.24,2.93,3.13,-,-,-,-
19,Quick Ratio,0.53,0.53,0.56,0.60,0.65,0.78,1.03,1.18,1.29,1.60,2.15,-,1.99,2.39,0.75,0.75,1.06,-,-,-
20,Current Ratio,1.09,1.09,1.06,1.10,1.11,1.40,1.61,1.79,1.81,2.49,3.21,-,2.83,3.44,1.49,1.49,1.69,-,-,-
21,Return on Equity (ROE),0.38%,1.23%,4.88%,-3.24%,5.03%,-8.22%,0.95%,-9.37%,-6.04%,2.26%,5.95%,17.60%,4.81%,8.79%,8.98%,-,-,-,-,
22,Return on Assets (ROA),2.54%,-1.20%,3.19%,-6.27%,3.81%,-3.50%,1.26%,-6.51%,-4.08%,-,-,8.84%,1.62%,4.34%,4.42%,-,-,-,-,
23,Return on Capital (ROIC),3.06%,-1.43%,3.86%,-7.85%,4.79%,-4.36%,1.61%,-8.26%,-4.94%,1.82%,3.46%,10.84%,2.01%,5.77%,5.83%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-0.83%,-,-1.53%,-,-2.54%,-,-4.17%,-,-,7.29%,-,8.07%,9.32%,19.45%,19.22%,19.57%,-,-,-
25,Earnings Yield,0.40%,0.52%,1.59%,-0.26%,-0.68%,-1.50%,-3.20%,-1.70%,-0.97%,3.01%,3.81%,3.75%,3.08%,4.00%,-,-,-,-,-,-
26,FCF Yield,-12.21%,-15.96%,-20.32%,-22.25%,-12.49%,-15.97%,-16.55%,-9.09%,-8.34%,-3.69%,-3.98%,-5.47%,-4.05%,-1.50%,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,3.22%,-,-,-,-,-,-,-
28,Payout Ratio,354.64%,579.30%,124.45%,42.23%,-,45.40%,-,129.56%,-,-,2.08%,20.51%,6.07%,485.55%,-,-,18.59%,-,23.69%,23.69%
29,Buyback Yield / Dilution,-11.62%,-25.63%,6.79%,-2.50%,-27.58%,29.16%,-7.30%,4.09%,-146.74%,26.17%,-29.01%,-36.03%,44.25%,-97.79%,-0.43%,-0.43%,-,-,-,-
30,Total Shareholder Return,-11.62%,-25.63%,6.79%,-2.50%,-27.58%,29.16%,-7.30%,4.09%,-146.74%,26.17%,-29.01%,-36.03%,47.47%,-97.79%,-0.43%,-0.43%,-,-,-,-
