,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,298.03,17.93,20.8,15.87,31.69,17.86,24.03,16.76,59.18,-6.92,19.96,4.45,35.09,19.03,14.51,8.4,42.41,14.48,104.05,104.05
10,Operating Income,30.39,10.68,10.77,7.33,0.22,7.93,0.32,3.44,-29.99,30.75,-0.5,14.1,-27.95,6.16,16.82,42.21,30.74,66.44,103.68,103.68
11,Interest Expense,-24.06,-,-,-,-,-,-,-,-,-,-,-,-,-0.09,-0.23,-0.22,-0.34,-,-0,-0
12,Interest & Investment Income,-,11.92,7.19,4.95,7.36,6.64,8.91,5.5,13.43,8.95,8.52,6.21,4.77,2.26,3.36,1.89,2.38,2.81,1.6,1.6
13,Currency Exchange Gain (Loss),-,0.05,-0.05,-,0.14,-0.32,0.32,-,0.48,-0.24,0.24,-,-0.09,0.05,-0.05,-,-0.15,-0.05,0.02,0.02
14,Other Non Operating Income (Expenses),0.05,-0.19,-0.06,0.01,-0.59,0.16,0.27,0.14,-0.21,0,0.24,-0.09,-11.64,7.63,-0.12,4.03,-37.18,40.53,-1.1,-1.1
15,EBT Excluding Unusual Items,6.38,22.46,17.84,12.29,7.13,14.4,9.82,9.08,-16.29,39.46,8.5,20.22,-34.92,16.01,19.79,47.91,-4.56,109.73,104.2,104.2
16,Gain (Loss) on Sale of Investments,-2.36,-1.79,1.68,2.46,1.05,0.72,-0.35,1.38,-1.71,0.65,1.15,2.02,-0.45,0.23,0.07,0.62,0.09,-,0.03,0.03
17,Gain (Loss) on Sale of Assets,-,-,-,-,0.08,0.11,-,-,-,-,-,-,-,-,-,-,0.04,-,0.01,0.01
18,Asset Writedown,2.34,-2.34,-,-,-,-2.95,-,-,-6.14,-,0.54,-0.54,1.21,-1.21,0.74,-0.74,0.72,-,-0.36,-0.36
19,Other Unusual Items,-0.24,-1.88,1.86,0.26,4.69,-1.38,1.38,-,38.37,-0.86,0.86,-,51.74,0.71,-0.71,-,25.68,-0,0,0
20,Pretax Income,6.12,16.45,21.38,15.02,12.95,10.9,10.85,10.46,14.24,39.24,11.05,21.7,17.58,15.74,19.89,47.8,21.96,109.73,103.88,103.88
21,Income Tax Expense,-2.01,1.46,2.42,1.41,-1.72,4,0.5,0.4,-1.97,5.74,1.13,3.21,0.37,1.98,1,10.14,-1.65,16.63,29.07,29.07
22,Earnings From Continuing Operations,8.12,15,18.96,13.61,14.67,6.9,10.35,10.06,16.2,33.5,9.92,18.49,17.2,13.75,18.89,37.66,23.61,93.1,74.81,74.81
23,Minority Interest in Earnings,-2.47,0.88,0.63,0.97,2.32,1.22,1.08,0.13,0.26,0.19,0.04,-,-,-,-,-,-,-,-,-
24,Net Income,5.65,15.87,19.59,14.57,16.99,8.12,11.44,10.19,16.46,33.69,9.97,18.49,17.2,13.75,18.89,37.66,23.61,93.1,74.81,74.81
25,Net Income to Common,5.65,15.87,19.59,14.57,16.99,8.12,11.44,10.19,16.46,33.69,9.97,18.49,17.2,13.75,18.89,37.66,23.61,93.1,74.81,74.81
26,Net Income Growth,-66.75%,95.51%,71.31%,43.03%,3.24%,-75.90%,14.73%,-44.90%,-4.34%,144.95%,-47.21%,-50.89%,-27.14%,-85.23%,-74.76%,-49.67%,-,-,-,-
27,Shares Outstanding (Basic),436,396,395,364,283,410,525,340,407,352,443,370,333,322,306,290,298,300,299,299
28,Shares Outstanding (Diluted),436,396,395,364,283,410,525,340,407,352,443,370,333,322,306,290,298,300,299,299
29,Shares Change (YoY),54.18%,-3.47%,-24.84%,7.28%,-30.43%,16.34%,18.52%,-8.16%,22.14%,9.47%,45.11%,27.67%,11.76%,7.07%,2.09%,-3.20%,-,-,-,-
30,EPS (Basic),0.01,0.04,0.05,0.04,0.06,0.02,0.02,0.03,0.04,0.10,0.02,0.05,0.05,0.04,0.06,0.13,0.08,0.31,0.25,0.25
31,EPS (Diluted),0.01,0.04,0.05,0.04,0.06,0.02,0.02,0.03,0.04,0.10,0.02,0.05,0.05,0.04,0.06,0.13,0.08,0.31,0.25,0.25
32,EPS Growth,-78.44%,102.55%,127.91%,33.33%,48.40%,-79.29%,-3.20%,-40.00%,-21.68%,123.75%,-63.62%,-61.54%,-34.81%,-86.20%,-75.27%,-48.00%,-,-,-,-
33,Free Cash Flow,-,-31.05,13.92,-44.72,5.72,-24.83,-38.85,-37,-12.28,-1.41,10.81,16.72,32.74,9.13,5.24,-31.21,-26.64,63.85,127.84,127.84
34,Free Cash Flow Per Share,-,-0.08,0.04,-0.12,0.02,-0.06,-0.07,-0.11,-0.03,-0.00,0.02,0.05,0.10,0.03,0.02,-0.11,-0.09,0.21,0.43,0.43
35,Dividend Per Share,-,-,-,-,0.059,-,-,-,0.070,-,-,-,0.080,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-16.07%,-,-,-,-12.50%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,230.08%,35.31%,29.67%,28.43%,29.77%,37.70%,22.62%,23.31%,30.48%,26.53%,19.93%,29.92%,7.53%,48.06%,42.19%,45.15%,46.94%,54.15%,56.39%,56.39%
38,Operating Margin,21.29%,13.18%,10.12%,8.98%,0.21%,11.59%,0.30%,3.97%,-31.31%,34.24%,-0.51%,22.75%,-29.47%,11.75%,22.65%,37.66%,19.72%,44.46%,28.14%,28.14%
39,Profit Margin,3.96%,19.59%,18.41%,17.86%,15.85%,11.87%,10.62%,11.76%,17.18%,37.53%,10.21%,29.83%,18.14%,26.25%,25.43%,33.60%,15.15%,62.30%,20.31%,20.31%
40,Free Cash Flow Margin,-,-38.30%,13.08%,-54.80%,5.33%,-36.30%,-36.09%,-42.71%,-12.82%,-1.57%,11.07%,26.97%,34.52%,17.43%,7.06%,-27.85%,-17.10%,42.73%,34.70%,34.70%
41,EBITDA,38.19,18.48,19.87,15.13,8.02,15.61,9.02,11.12,-22.3,37.2,7.56,20.56,-21.5,11.45,23.18,47.5,36.03,71.36,108.6,108.6
42,EBITDA Margin,26.75%,22.80%,18.67%,18.54%,7.48%,22.82%,8.38%,12.84%,-23.29%,41.43%,7.75%,33.16%,-22.67%,21.84%,31.21%,42.37%,23.12%,47.75%,29.48%,29.48%
43,D&A For EBITDA,7.8,7.8,9.1,7.8,7.8,7.68,8.7,7.68,7.68,6.46,8.06,6.46,6.46,5.29,6.36,5.29,5.29,4.92,4.92,4.92
44,EBIT,30.39,10.68,10.77,7.33,0.22,7.93,0.32,3.44,-29.99,30.75,-0.5,14.1,-27.95,6.16,16.82,42.21,30.74,66.44,103.68,103.68
45,EBIT Margin,21.29%,13.18%,10.12%,8.98%,0.21%,11.59%,0.30%,3.97%,-31.31%,34.24%,-0.51%,22.75%,-29.47%,11.75%,22.65%,37.66%,19.72%,44.46%,28.14%,28.14%
46,Effective Tax Rate,-,8.84%,11.31%,9.40%,-,36.69%,4.62%,3.78%,-,14.63%,10.21%,14.78%,2.13%,12.59%,5.03%,21.22%,-,15.16%,27.98%,27.98%
47,Revenue as Reported,-,81.05,106.4,81.61,107.21,68.4,107.65,86.64,95.77,89.78,97.64,61.99,94.84,52.41,74.25,112.08,-,149.44,368.41,368.41
