,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
36,Total Liabilities & Equity,-,1429,1361,1353,1362,1353,1347,1329,1332,1300,914.8,-,865.81,-,-,-
37,Total Debt,0.02,0.02,0.05,0.07,0.09,0.1,0.97,1.44,1.52,4.07,4.09,4.44,4.44,-,-,-
38,Net Cash (Debt),747.61,747.61,748.01,738.35,748.91,783.71,796.2,776.35,805.71,822.6,422.58,507.22,507.22,-,-,434.17
39,Net Cash Growth,-0.17%,-4.61%,-6.05%,-4.89%,-7.05%,-4.73%,88.42%,53.06%,58.85%,-,-,16.82%,-,-,-,-
40,Net Cash Per Share,1.47,1.78,1.68,1.61,1.34,1.91,1.51,2.01,1.87,1.81,1.06,1.25,1.22,-,-,1.06
41,Filing Date Shares Outstanding,509.45,449,449.15,449.48,449.15,453.34,453.34,453.34,453.34,453.34,408,405.26,408,398.73,410.53,410.53
42,Total Common Shares Outstanding,449,449,449.15,449.48,453.34,453.34,453.34,453.34,453.34,453.34,408,405.26,408,398.73,410.53,410.53
43,Working Capital,-,888.75,864.31,850.31,861.29,846.63,841.77,869.63,863.66,866.33,474.89,-,529.31,-,-,-
44,Book Value Per Share,2.76,2.76,2.70,2.67,2.67,2.63,2.59,2.61,2.60,2.54,1.83,1.73,1.73,-,-,1.38
45,Tangible Book Value,1196,1196,1168,1157,1164,1147,1124,1136,1126,1115,708.9,664.02,664.02,-,-,510.79
46,Tangible Book Value Per Share,2.66,2.66,2.60,2.57,2.57,2.53,2.48,2.51,2.48,2.46,1.74,1.63,1.63,-,-,1.25
47,Buildings,-,-,211.84,-,211.68,-,54.94,-,54.29,-,52.52,-,52.41,-,-,-
48,Machinery,-,-,164.18,-,160.89,-,147.05,-,145.6,-,137.24,-,135.93,-,-,-
49,Construction In Progress,-,-,22.76,-,15.35,-,162.57,-,153.61,-,3.82,-,4.68,-,-,-
