,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
24,Current Unearned Revenue,3.89,3.68,1.79,3.54,3.18,4.25,4.18,2.86,3.83,-,-,2.17
25,Other Current Liabilities,14.86,13.74,9.1,6.48,7.91,10.46,8.2,13.48,4.87,-,-,1.61
26,Total Current Liabilities,209.1,173.04,150.06,139.01,90.58,106.16,115.08,144.83,155.38,-,-,465.62
27,Long-Term Debt,2.28,2.28,4.56,4.56,5.32,5.32,6.08,6.08,-,-,-,-
28,Long-Term Leases,-,-,-,0.84,0.93,1.35,1.78,3.11,2.93,-,-,5.13
29,Long-Term Unearned Revenue,6.55,6.66,6.82,6.92,6.98,7.09,7.2,7.3,6.77,-,-,7.04
30,Long-Term Deferred Tax Liabilities,10.81,11.36,11.39,11.84,12.54,10.74,9.84,10.65,7.51,-,-,6.99
31,Total Liabilities,228.74,193.34,172.83,163.17,116.35,130.65,139.99,171.97,172.58,-,-,484.77
32,Common Stock,243.78,243.78,243.78,243.78,243.78,243.78,243.78,243.78,182.83,-,-,182.83
33,Additional Paid-In Capital,615.13,615.13,615.13,615.13,615.13,615.13,615.13,615.13,65.42,-,-,65.42
34,Retained Earnings,192.99,190.8,184.53,172.31,227.35,238.68,233.7,229.87,259.13,-,-,164.17
35,Treasury Stock,-1.51,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,5.04,5.62,5.61,4.88,7.41,8.31,0.2,2.43,14.65,-,-,-10.19
37,Shareholders' Equity,1055,1055,1049,1036,1094,1106,1093,1091,522.03,-,402.23,402.23
38,Total Liabilities & Equity,1284,1249,1222,1199,1210,1237,1233,1263,694.61,-,-,887.01
39,Total Debt,40.68,27.08,18.4,31.48,22.34,20.74,21.81,33.02,2.93,-,203.95,203.95
40,Net Cash (Debt),695.48,733.24,677.44,687.84,706.37,774.49,724.86,750.61,217.85,-,124.59,124.59
41,Net Cash Growth,-1.54%,-5.33%,-6.54%,-8.36%,224.24%,-,481.79%,502.46%,-,-,-,-
42,Net Cash Per Share,2.85,3.01,2.78,2.81,2.91,3.17,2.97,3.36,1.19,-,0.68,0.69
43,Filing Date Shares Outstanding,243.62,243.78,243.78,243.78,243.78,243.78,243.78,243.78,182.83,182.86,182.81,181.45
44,Total Common Shares Outstanding,243.62,243.78,243.78,243.78,243.78,243.78,243.78,243.78,182.83,182.86,182.81,181.45
45,Working Capital,820.24,816.14,806.65,780.33,858.44,898.7,888.93,887.05,320.71,-,-,205.61
46,Book Value Per Share,4.33,4.33,4.30,4.25,4.49,4.54,4.48,4.48,2.86,-,2.22,2.22
47,Tangible Book Value,1004,1002,993.9,978.61,1033,1044,1031,1027,453.57,-,335.18,335.18
48,Tangible Book Value Per Share,4.12,4.11,4.08,4.01,4.24,4.28,4.23,4.21,2.48,-,1.85,1.85
49,Buildings,-,126.33,-,125.48,-,119.03,-,117.27,-,-,-,112.48
50,Machinery,-,123.84,-,121.64,-,125.71,-,109.29,-,-,-,88.16
51,Construction In Progress,-,0.55,-,1.61,-,2.37,-,11.02,-,-,-,0.64
