,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
19,Other Unusual Items,0.19,0.51,0.14,-0.65,-,-,-,20.99,-,-,-,8.86
20,Pretax Income,-0.28,5.05,13.11,-74.07,4.21,3.65,4.56,-35.4,20.17,39.96,47.43,2.94
21,Income Tax Expense,-2.47,-1.22,0.88,-19.03,0.92,-1.33,0.73,-6.14,-3.44,8.12,7.92,0.9
22,Net Income,2.19,6.27,12.22,-55.04,3.3,4.98,3.83,-29.25,23.61,31.84,39.51,2.04
23,Net Income to Common,2.19,6.27,12.22,-55.04,3.3,4.98,3.83,-29.25,23.61,31.84,39.51,2.04
24,Net Income Growth,-33.50%,25.73%,219.54%,-,-86.04%,-84.35%,-90.32%,-,-,-,-,-
25,Shares Outstanding (Basic),244,244,244,245,243,244,244,224,183,183,183,181
26,Shares Outstanding (Diluted),244,244,244,245,243,244,244,224,183,183,183,181
27,Shares Change (YoY),0.48%,-0.20%,0.14%,9.42%,32.74%,33.63%,33.28%,23.23%,-,-,-,-
28,EPS (Basic),0.01,0.03,0.05,-0.22,0.01,0.02,0.02,-0.13,0.13,0.17,0.22,0.01
29,EPS (Diluted),0.01,0.03,0.05,-0.22,0.01,0.02,0.02,-0.13,0.13,0.17,0.22,0.01
30,EPS Growth,-33.81%,25.99%,219.11%,-,-89.49%,-88.29%,-92.73%,-,-,-,-,-
31,Free Cash Flow,-41.27,37.64,-34.37,11.83,-28.92,30.98,-33.03,-84.91,-3.52,138.3,-35.87,2.06
32,Free Cash Flow Per Share,-0.17,0.15,-0.14,0.05,-0.12,0.13,-0.14,-0.38,-0.02,0.76,-0.20,0.01
33,Dividend Per Share,-,-,-,-,-,-,-,0.060,-,-,-,-
34,Gross Margin,23.20%,22.85%,24.90%,-83.76%,25.33%,31.39%,20.55%,-17.49%,33.63%,27.93%,30.02%,19.26%
35,Operating Margin,-0.94%,-0.81%,5.29%,-184.96%,1.23%,-3.07%,1.36%,-129.19%,14.68%,21.46%,19.65%,0.77%
36,Profit Margin,1.66%,5.68%,7.74%,-132.04%,3.22%,5.84%,3.72%,-73.81%,19.10%,21.07%,15.63%,0.97%
37,Free Cash Flow Margin,-31.33%,34.15%,-21.77%,28.38%,-28.27%,36.29%,-32.13%,-214.25%,-2.85%,91.54%,-14.19%,0.98%
38,EBITDA,5.44,6.27,15.03,-70.43,7.42,4.36,7.57,-45.03,23.67,38.46,55.19,7.15
39,EBITDA Margin,4.13%,5.68%,9.52%,-168.95%,7.26%,5.11%,7.36%,-113.63%,19.15%,25.46%,21.83%,3.40%
40,D&A For EBITDA,6.67,7.16,6.67,6.67,6.17,6.99,6.17,6.17,5.52,6.04,5.52,5.52
41,EBIT,-1.23,-0.89,8.36,-77.1,1.25,-2.62,1.4,-51.2,18.15,32.42,49.67,1.62
42,EBIT Margin,-0.94%,-0.81%,5.29%,-184.96%,1.23%,-3.07%,1.36%,-129.19%,14.68%,21.46%,19.65%,0.77%
43,Effective Tax Rate,-,-,6.74%,-,21.77%,-,16.10%,-,-,20.33%,16.70%,30.57%
44,Revenue as Reported,131.72,110.22,157.9,41.68,102.29,85.36,102.8,39.63,123.63,151.07,252.8,210.04
