,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
28,Net Income Growth,2.32%,2.56%,11.25%,-,136.39%,3.70%,50.32%,-,-54.41%,27.94%,2.34%,-,9.99%,-13.54%,197.83%,40.28%,51.15%,56.22%,-29.45%,-22.64%,Upgrade
29,Shares Outstanding (Basic),446,459,455,-,454,459,455,432,432,462,455,424,437,467,456,435,439,454,443,446,Upgrade
30,Shares Outstanding (Diluted),446,459,455,-,454,459,455,432,432,462,455,424,437,467,456,435,439,454,443,446,Upgrade
31,Shares Change (YoY),-1.88%,0.03%,-0.03%,-,5.08%,-0.74%,-0.00%,2.00%,-0.97%,-0.91%,-0.04%,-2.67%,-0.49%,2.73%,2.81%,-2.32%,-2.20%,4.96%,-0.17%,-1.23%,Upgrade
32,EPS (Basic),0.24,0.27,0.23,-,0.23,0.26,0.21,0.10,0.10,0.25,0.14,-0.04,0.22,0.19,0.13,0.13,0.20,0.23,0.05,0.09,Upgrade
33,EPS (Diluted),0.24,0.27,0.23,-,0.23,0.26,0.21,0.10,0.10,0.25,0.14,-0.04,0.22,0.19,0.13,0.13,0.20,0.23,0.05,0.09,Upgrade
34,EPS Growth,4.28%,2.54%,11.29%,-,124.95%,4.48%,50.33%,-,-53.96%,29.12%,2.38%,-,10.53%,-15.84%,189.68%,43.61%,54.55%,48.85%,-29.33%,-21.68%,Upgrade
35,Free Cash Flow,-15.78,167.52,-191.82,-,-39.7,187.23,-210.57,-51.79,-51.79,326.95,-254.74,34.94,84.88,169.7,-341.93,402.3,-148.67,124.21,-117.97,54.07,Upgrade
36,Free Cash Flow Per Share,-0.04,0.36,-0.42,-,-0.09,0.41,-0.46,-0.12,-0.12,0.71,-0.56,0.08,0.19,0.36,-0.75,0.92,-0.34,0.27,-0.27,0.12,Upgrade
37,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.052,-,-,-,0.058,-,-,-,0.045,Upgrade
38,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-10.34%,-,-,-,28.89%,-,-,-,-13.46%,Upgrade
39,Gross Margin,19.90%,16.74%,20.52%,-,20.40%,18.83%,16.95%,17.76%,17.76%,13.03%,10.14%,28.75%,9.90%,13.33%,10.77%,11.31%,15.58%,13.75%,8.87%,12.67%,Upgrade
40,Operating Margin,4.72%,2.05%,4.80%,-,5.12%,7.40%,3.39%,-10.56%,-10.56%,2.81%,1.73%,-35.07%,1.35%,2.10%,1.36%,-7.50%,5.75%,5.56%,-1.05%,-4.41%,Upgrade
41,Profit Margin,12.05%,14.91%,14.62%,-,12.90%,13.85%,11.96%,7.97%,7.97%,11.71%,5.18%,-5.45%,7.47%,9.94%,5.81%,6.51%,8.23%,9.53%,2.61%,3.84%,Upgrade
42,Free Cash Flow Margin,-1.78%,20.22%,-26.71%,-,-4.90%,21.52%,-26.68%,-9.34%,-9.34%,32.95%,-21.01%,10.96%,6.54%,18.58%,-32.37%,46.45%,-13.89%,11.27%,-14.97%,5.16%,Upgrade
43,EBITDA,68.68,47.45,61.25,-,64.58,90.85,49.88,-32.05,-32.05,47.54,41.83,-90.93,37.49,39.42,34.46,-44.8,79.34,80.1,9.52,-28.42,Upgrade
44,EBITDA Margin,7.74%,5.73%,8.53%,-,7.97%,10.44%,6.32%,-5.78%,-5.78%,4.79%,3.45%,-28.53%,2.89%,4.31%,3.26%,-5.17%,7.41%,7.27%,1.21%,-2.71%,Upgrade
45,D&A For EBITDA,26.79,30.43,26.79,-,23.09,26.46,23.09,26.49,26.49,19.69,20.86,20.86,20.01,20.26,20.12,20.12,17.77,18.81,17.77,17.77,Upgrade
46,EBIT,41.89,17.02,34.46,-,41.49,64.39,26.79,-58.53,-58.53,27.85,20.97,-111.79,17.48,19.16,14.34,-64.92,61.57,61.3,-8.25,-46.18,Upgrade
47,EBIT Margin,4.72%,2.05%,4.80%,-,5.12%,7.40%,3.39%,-10.56%,-10.56%,2.81%,1.73%,-35.07%,1.35%,2.10%,1.36%,-7.50%,5.75%,5.56%,-1.05%,-4.41%,Upgrade
48,Effective Tax Rate,3.26%,6.72%,-,-,-,11.16%,-,-,-,-,3.66%,-,0.59%,-,1.73%,-,4.96%,3.66%,-,14.66%,Upgrade
49,Revenue as Reported,887.11,828.69,718.1,-,809.86,869.91,789.25,554.36,554.36,992.28,1213,318.72,1297,913.58,1056,866.14,1070,1890,-,1048,Upgrade
