,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,"Property, Plant & Equipment",948.16,952.09,972.69,-,-,994.88,1015,1022,1022,896.7,855.73,855.12,796.29,769.48,748.02,706.99,665.31,625.59,578.74,565.53,Upgrade
10,Long-Term Investments,2865,2756,2649,-,-,2554,2447,2355,2355,2226,2144,2071,1946,1862,1800,1724,1703,1636,1592,1547,Upgrade
11,Other Intangible Assets,103.99,109.15,114.03,-,-,149.61,147.7,146.73,146.73,114.43,139.08,147.68,120.12,122.2,124.29,126.21,113.95,114.44,56.72,57.19,Upgrade
12,Long-Term Deferred Tax Assets,119.63,121.5,121.83,-,-,109.97,113.57,106.26,106.26,104.89,99.8,98.1,97.95,93.27,92.94,88.1,78.55,78.29,80.42,76.48,Upgrade
13,Long-Term Deferred Charges,43.89,41.69,37.64,-,-,45.01,50.93,46.42,46.42,48.52,51.86,55.49,48.5,43.24,44.71,46.76,45.83,47.76,49.62,52.12,Upgrade
14,Other Long-Term Assets,45.08,46.4,44.31,-,-,50.15,44.14,34.54,34.54,37.88,28.4,27.5,23.38,27.74,21.47,18.97,12.46,10.37,21.57,43.32,Upgrade
15,Total Assets,8234,7886,7665,-,-,7316,7222,7013,7013,6858,6674,6502,6105,6045,5959,6292,6169,5925,5665,5752,Upgrade
16,Accounts Payable,1403,1313,1178,-,-,1031,998.65,962.95,962.95,1353,1306,1156,1201,1189,1156,1289,1449,1458,1273,1435,Upgrade
17,Accrued Expenses,85.36,85.43,58.37,-,-,74.78,42,94.83,94.83,47.93,14.98,54.77,35.39,33.35,21.74,43.45,29.84,28.46,10.17,32.95,Upgrade
18,Short-Term Debt,864.92,872.92,826.1,-,-,787.64,848.46,757.42,757.42,649.78,643.05,685.01,564.62,729.33,825.48,1072,1046,998.18,1170,1123,Upgrade
19,Current Portion of Long-Term Debt,365.55,394.52,378.1,-,-,215.64,181.59,163,163,50,45.54,40,10,10,-,-,-,-,-,-,Upgrade
20,Current Portion of Leases,-,145.12,-,-,-,1.3,-,2.35,2.35,4.65,-,8.76,-,-,-,-,-,-,-,-,Upgrade
21,Current Income Taxes Payable,20.78,9.27,22.27,-,-,15.58,13.71,4.03,4.03,9.89,17.77,5.62,11.35,6.8,16.48,8.99,15.09,7.16,11.67,8.56,Upgrade
22,Current Unearned Revenue,96.14,15.27,11.07,-,-,21.28,65.96,43.6,43.6,22.63,39.8,16.8,24.74,33.41,23.21,32.16,20.55,24.13,39.49,22.74,Upgrade
23,Other Current Liabilities,98.13,94.7,94.97,-,-,155.09,150.51,192.38,192.38,236.22,282.03,302.15,273.38,278.19,231.18,254.67,147.93,164.93,122.59,130.52,Upgrade
24,Total Current Liabilities,2934,2931,2569,-,-,2302,2301,2221,2221,2374,2350,2269,2120,2281,2274,2700,2709,2681,2627,2753,Upgrade
25,Long-Term Debt,320.72,99.11,171.51,-,-,407.22,450.94,448.54,448.54,298.24,285.04,270.14,278.54,180.06,160.63,137.62,100.42,77.4,8.72,15,Upgrade
26,Long-Term Leases,14.11,22.53,12.34,-,-,1.78,2.27,2.02,2.02,6.15,7.33,5.41,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Unearned Revenue,15.6,18.9,21.38,-,-,10.42,14.44,11.99,11.99,12.4,14.16,14.37,13.24,15.83,19.72,23.16,16.95,15.88,18.03,15.09,Upgrade
28,Long-Term Deferred Tax Liabilities,25.01,18.78,19.48,-,-,15.43,11.56,12.26,12.26,12.13,12.49,12.84,13.34,13.69,14.05,14.4,12.13,12.42,12.71,13.02,Upgrade
29,Other Long-Term Liabilities,35.5,21.86,162.34,-,-,128.59,125.78,114.4,114.4,114.4,114.4,114.4,129.4,114.4,129.4,129.4,129.4,14.62,30.42,14.4,Upgrade
30,Total Liabilities,3345,3112,2956,-,-,2865,2906,2810,2810,2818,2783,2686,2555,2604,2598,3005,2968,2801,2697,2810,Upgrade
31,Common Stock,455.23,455.23,455.23,-,-,455.23,455.23,455.25,455.25,455.25,455.48,455.48,455.48,455.48,455.48,455.48,443.48,443.48,443.48,443.48,Upgrade
32,Additional Paid-In Capital,1002,1002,1002,-,-,1032,1032,1033,1033,993.52,995.63,995.38,779.14,778.96,778.27,778.35,632.91,632.91,632.92,633.36,Upgrade
33,Retained Earnings,2850,2748,2652,-,-,2428,2329,2235,2235,2170,2054,1991,2008,1916,1847,1786,1729,1661,1556,1535,Upgrade
34,Treasury Stock,-50.84,-50.84,-10,-,-,-52.34,-52.34,-52.56,-52.56,-91.98,-94.58,-94.58,-135.12,-135.12,-135.12,-135.12,-,-,-,-,Upgrade
35,Comprehensive Income & Other,4.19,4.29,6.31,-,-,8.02,3.02,2.83,2.83,-0.95,-3.13,-2.26,-2.01,-1.71,1.32,1.81,2.45,6.07,5.39,5.27,Upgrade
36,Total Common Equity,4261,4158,4105,-,-,3871,3767,3673,3673,3526,3407,3345,3106,3014,2947,2886,2808,2744,2638,2618,Upgrade
37,Minority Interest,628.23,615.45,603.58,-,-,579.42,548.47,530.42,530.42,515.01,484.37,470.78,444.15,426.19,414.19,401.54,393.3,379.99,330.57,324.12,Upgrade
38,Shareholders' Equity,4889,4774,4709,-,-,4450,4316,4203,4203,4041,3891,3816,3550,3440,3361,3288,3201,3124,2968,2942,Upgrade
39,Total Liabilities & Equity,8234,7886,7665,-,-,7316,7222,7013,7013,6858,6674,6502,6105,6045,5959,6292,6169,5925,5665,5752,Upgrade
40,Total Debt,1565,1534,1388,-,-,1414,1483,1373,1373,1009,980.96,1009,853.16,919.39,986.11,1209,1147,1076,1179,1138,Upgrade
41,Net Cash (Debt),128.73,201.18,238.77,-,-,167.14,-27.55,232.12,232.12,183.02,-191.37,148.82,-74.52,-142.79,-309.87,149.83,-449.58,-370.83,-521.72,-539.76,Upgrade
42,Net Cash Growth,-,20.37%,-,-,-,-8.68%,-,55.97%,-,-,-,-0.67%,-,-,-,-,-,-,-,-,Upgrade
43,Net Cash Per Share,0.29,0.44,0.52,-,-,0.36,-0.06,0.54,0.54,0.40,-0.42,0.35,-0.17,-0.31,-0.68,0.34,-1.02,-0.82,-1.18,-1.21,Upgrade
44,Filing Date Shares Outstanding,453.51,453.51,454.85,-,454.25,455.23,455.23,455.25,455.25,455.25,455.48,455.48,455.48,455.48,455.48,455.48,443.48,443.48,443.48,443.48,Upgrade
45,Total Common Shares Outstanding,453.51,453.51,454.85,-,454.25,455.23,455.23,455.25,455.25,455.25,455.48,455.48,455.48,455.48,455.48,455.48,443.48,443.48,443.48,443.48,Upgrade
46,Working Capital,1174,927.94,1156,-,-,1110,1103,1081,1081,1055,1006,977.82,951.72,846.81,853.82,881.43,840.96,731.69,659.11,657.25,Upgrade
47,Book Value Per Share,9.39,9.17,9.03,-,-,8.50,8.28,8.07,8.07,7.74,7.48,7.34,6.82,6.62,6.47,6.34,6.33,6.19,5.95,5.90,Upgrade
48,Tangible Book Value,4157,4049,3991,-,-,3721,3620,3526,3526,3411,3268,3197,2986,2892,2823,2760,2694,2629,2581,2560,Upgrade
49,Tangible Book Value Per Share,9.17,8.93,8.78,-,-,8.17,7.95,7.75,7.75,7.49,7.17,7.02,6.56,6.35,6.20,6.06,6.08,5.93,5.82,5.77,Upgrade
50,Buildings,-,606.17,-,-,-,695.4,-,699.96,699.96,300.44,-,322.09,-,-,-,322.77,-,323.66,-,322.77,Upgrade
51,Machinery,-,999.06,-,-,-,904.28,-,972.93,972.93,913.28,-,910.05,-,-,-,859.68,-,829.98,-,804.52,Upgrade
52,Construction In Progress,-,87,-,-,-,53.01,-,49.86,49.86,352.76,-,285.07,-,-,-,159.33,-,79.33,-,17.79,Upgrade
