,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020
29,Long-Term Leases,5.01,5.49,5.98,6.71,8.01,8.25,9.66,10.69,13.88,-,16.45,17.62,-,-
30,Long-Term Unearned Revenue,37.44,38.13,38.81,39.5,30.81,31.49,32.18,32.86,33.55,-,34.18,34.49,-,28.83
31,Total Liabilities,538.54,612.32,599.26,613.12,598.73,648.97,616.51,257.5,216.36,-,184.98,215.26,-,139.05
32,Common Stock,121.09,117.88,117.87,117.87,117.87,117.87,117.87,117.87,117.87,-,90.67,90.67,-,68
33,Additional Paid-In Capital,975.82,912.3,912.22,912.15,912.15,912.15,912.15,912.15,912.15,-,939.35,939.35,-,332.62
34,Retained Earnings,471.32,457.38,465.89,451.37,439.41,411.18,401.7,383.71,364.34,-,342.35,324.8,-,210.8
35,Comprehensive Income & Other,156.48,178.51,178.56,178.56,148.95,148.95,148.95,-,-,-,-,-,-,-
36,Total Common Equity,1725,1666,1675,1660,1618,1590,1581,1414,1394,-,1372,1355,611.42,611.42
37,Minority Interest,3.01,3,2.99,3,3,3,3,4,4.96,-,3.98,3.9,-,-
38,Shareholders' Equity,1728,1669,1678,1663,1621,1593,1584,1418,1399,-,1376,1359,611.42,611.42
39,Total Liabilities & Equity,2266,2281,2277,2276,2220,2242,2200,1675,1616,-,1561,1574,-,750.47
40,Total Debt,360.85,415.65,408.04,404.73,424.51,419.52,409.62,32.99,19.5,-,16.45,23.29,-,-
41,Net Cash (Debt),612.98,624.79,603.71,593.19,647.54,715.89,749.19,612.84,650.94,-,749.61,795.31,196.48,196.48
42,Net Cash Growth,-5.34%,-12.72%,-19.42%,-3.21%,-0.52%,-,-0.06%,-22.94%,231.30%,-,-,-,-,-
43,Net Cash Per Share,4.82,5.39,4.99,4.98,5.28,6.36,6.25,5.08,5.62,-,6.41,6.82,2.22,2.24
44,Filing Date Shares Outstanding,121.09,117.88,117.87,117.87,117.87,117.87,117.87,117.87,117.87,118.53,117.87,117.87,88.34,88.4
45,Total Common Shares Outstanding,121.09,117.88,117.87,117.87,117.87,117.87,117.87,117.87,117.87,118.53,117.87,117.87,88.34,88.4
46,Working Capital,1195,1222,1258,1279,1309,1311,1313,798.97,837.8,-,938.95,953.25,-,315.13
47,Book Value Per Share,14.24,14.13,14.21,14.08,13.73,13.49,13.41,11.99,11.83,-,11.64,11.49,6.92,6.92
48,Tangible Book Value,1536,1476,1484,1468,1434,1405,1410,1233,1243,-,1287,1269,523.84,523.84
49,Tangible Book Value Per Share,12.68,12.52,12.59,12.46,12.17,11.92,11.96,10.46,10.54,-,10.92,10.77,5.93,5.93
50,Buildings,-,399.95,-,388.24,-,349.26,-,211.29,-,-,-,185.88,-,169.92
51,Machinery,-,249.16,-,245.16,-,235.94,-,209.11,-,-,-,178.92,-,152.48
52,Construction In Progress,-,188.93,-,122.49,-,80.41,-,155.35,-,-,-,88.29,-,9.99
