,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
9,P/OCF Ratio,21.02,21.02,43.51,32.35,-,284.04,32.22,-191.81,-,-146.81,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.91,2.89,2.73,1.94,2.48,2.82,2.80,2.58,3.07,3.40,3.08,3.82,5.83,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,58.76,62.29,54.59,32.82,36.64,40.57,32.53,30.89,38.16,40.11,35.88,41.59,62.17,-,-,-,-,-,-,-
12,EV/EBIT Ratio,75.72,-,64.31,37.57,41.21,45.49,35.44,33.83,41.88,43.97,39.60,45.69,68.32,-,-,-,-,-,-,-
13,EV/FCF Ratio,27.07,26.87,-148.00,-115.18,-,-54.27,36.19,-76.79,-,-77.19,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.09,0.08,0.11,0.06,0.15,0.18,0.10,0.07,0.12,0.07,0.08,0.16,0.14,0.11,0.17,0.16,-,0.11
15,Debt / EBITDA Ratio,1.11,12.94,2.25,1.11,2.82,3.03,1.96,1.54,1.99,0.61,1.37,0.61,0.92,1.03,0.93,0.55,1.54,0.64,-,3.75
16,Debt / FCF Ratio,0.51,0.51,-5.91,-5.32,-,-1.27,2.01,-5.00,-,-1.42,-,-,-,-8.68,-,1.13,-,4.38,-,-
17,Asset Turnover,0.62,0.63,0.66,0.65,0.69,0.68,0.77,0.70,0.83,0.89,0.87,0.95,1.05,1.09,1.26,0.94,-,-,-,
18,Inventory Turnover,3.79,3.71,3.77,3.99,3.75,4.11,4.17,4.64,4.17,5.09,5.65,5.72,5.62,4.89,5.19,5.44,4.63,-,-,-
19,Quick Ratio,3.17,3.17,3.37,3.32,3.36,3.38,2.91,2.61,3.45,3.01,2.89,3.44,3.73,2.36,2.41,2.29,2.09,2.16,-,-
20,Current Ratio,4.05,4.05,4.32,4.35,4.37,4.39,3.70,3.33,4.46,3.90,3.70,4.29,4.78,3.22,3.03,2.90,2.81,2.61,-,-
21,Return on Equity (ROE),0.41%,1.51%,5.41%,2.39%,1.06%,4.55%,7.43%,3.08%,9.77%,6.22%,7.44%,6.17%,13.49%,9.74%,11.37%,7.79%,-,-,-,
22,Return on Assets (ROA),-0.19%,1.71%,3.01%,1.64%,0.65%,3.33%,4.75%,2.16%,4.46%,3.76%,4.71%,4.08%,5.77%,6.16%,7.33%,3.95%,-,-,-,
23,Return on Capital (ROIC),-0.23%,1.97%,3.45%,1.89%,0.76%,3.87%,5.53%,2.58%,5.44%,4.51%,5.58%,4.84%,7.13%,7.93%,9.43%,5.11%,-,-,-,
24,Return on Capital Employed (ROCE),3.07%,-,3.51%,4.46%,5.42%,5.75%,7.77%,7.98%,7.55%,8.26%,8.28%,8.87%,8.90%,12.46%,14.88%,13.65%,9.96%,7.84%,-,-
25,Earnings Yield,0.94%,0.99%,1.10%,1.91%,1.63%,1.47%,2.17%,2.36%,1.89%,1.86%,1.99%,1.64%,1.12%,-,-,-,-,-,-,-
26,FCF Yield,3.44%,3.62%,-0.66%,-0.84%,0.07%,-1.77%,2.68%,-1.25%,-2.56%,-1.26%,-3.68%,-1.13%,0.65%,-,-,-,-,-,-,-
27,Dividend Yield,0.81%,-,-,-,-,-,-,-,-,1.38%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,97.75%,51.28%,19.61%,160.06%,14.10%,29.08%,22.37%,277.13%,13.61%,0.59%,5.82%,339.38%,5.32%,71.26%,317.58%,4.12%,6.92%,124.53%,6.83%,429.32%
29,Buyback Yield / Dilution,-0.15%,-17.89%,9.70%,-26.28%,22.65%,-8.65%,0.82%,26.99%,-52.26%,-16.96%,-39.69%,-40.23%,-7.24%,6.92%,-3.67%,-2.10%,-,-,-,-
30,Total Shareholder Return,0.66%,-17.89%,9.70%,-26.28%,22.65%,-8.65%,0.82%,26.99%,-52.26%,-15.58%,-39.69%,-40.23%,-7.24%,6.92%,-3.67%,-2.10%,-,-,-,-
