,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
21,Accounts Payable,1465,1210,1292,-,-,919.02,1059,837.48,918.63,713.1,929.5,716.74,869.31,699.29,893.16,497.56,755.41,873.77,1116,818.12,Upgrade
22,Accrued Expenses,164.45,400.17,66.55,-,-,305.57,56.68,351,43.71,257.42,47.52,368.44,45.39,312.83,54.52,422.77,49.78,293.39,49.28,213.16,Upgrade
23,Short-Term Debt,1741,1848,1857,-,-,1824,1651,1828,1863,1732,1751,1302,1484,1440,1320,1319,1167,1067,1203,806.35,Upgrade
24,Current Portion of Long-Term Debt,194.98,193.33,8.88,-,-,7.94,9.38,7.71,9.5,7.5,9.1,7.61,3.97,5.92,8.01,8.01,75,75,360,555,Upgrade
25,Current Portion of Leases,-,1.73,-,-,-,1.51,-,1.81,-,2.01,-,1.96,-,0.18,-,-,-,-,-,-,Upgrade
26,Current Income Taxes Payable,-,22.07,163.82,-,-,26.73,193.31,25.93,165.94,21.6,122.3,27.46,185.54,92.28,232.35,75.19,228.72,74.87,212.4,28.71,Upgrade
27,Current Unearned Revenue,424.71,382.85,345.55,-,-,336.22,330.02,370.17,370.67,280.25,233.62,279.26,258.06,207.31,227.02,295.04,310.5,254.21,249.44,248.86,Upgrade
28,Other Current Liabilities,619.89,448.55,281.65,-,-,369.38,383.75,392.01,242.3,387.41,285.2,370.35,210.57,354.64,368.95,329.65,260.12,306.52,204.63,359.25,Upgrade
29,Total Current Liabilities,4609,4506,4016,-,-,3790,3683,3814,3614,3402,3378,3074,3057,3112,3104,2947,2847,2945,3394,3029,Upgrade
30,Long-Term Debt,416.36,366.27,405.76,-,-,310.18,312.91,212.64,781.74,754.19,725.79,731.82,743.05,1218,1224,1218,1245,1250,1058,1125,Upgrade
31,Long-Term Leases,3.96,4.29,4.76,-,-,3.02,3.2,3.3,4.52,4.82,5.57,5.73,1.33,1.36,-,-,-,-,-,-,Upgrade
32,Long-Term Unearned Revenue,131.33,133.77,138.77,-,-,145.31,150.29,155.27,160.36,165.45,171.17,175.7,162.71,168.24,173.81,178.02,155.05,149.29,136.69,110.78,Upgrade
33,Long-Term Deferred Tax Liabilities,183.81,184.18,183.86,-,-,193.02,193.13,194.64,142.52,151.68,168.09,169.36,150.19,146.31,189.33,191.49,46.66,47.42,42.47,41.71,Upgrade
34,Other Long-Term Liabilities,0.68,-,-,-,-,-,-,-,-,-,-,-,57.78,57.21,56.08,56.08,211.84,208.64,206.5,206.5,Upgrade
35,Total Liabilities,5345,5195,4749,-,-,4442,4343,4380,4703,4478,4449,4157,4172,4703,4747,4591,4505,4600,4838,4513,Upgrade
36,Common Stock,1173,1173,1173,-,-,1173,1173,1173,1173,1173,1173,1173,1173,1122,1122,1122,1122,863.82,863.82,863.82,Upgrade
37,Additional Paid-In Capital,1711,1709,1708,-,-,1710,1708,1746,1762,1759,1749,1761,1758,1227,1225,1242,1240,1238,1237,1235,Upgrade
38,Retained Earnings,6126,6269,6111,-,-,5898,5781,5618,5447,5609,5546,5406,5243,5296,5074,4654,4378,4610,4431,4366,Upgrade
39,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-42.68,-42.68,-42.68,-42.68,-42.68,-42.68,-42.68,-42.68,-42.68,Upgrade
40,Comprehensive Income & Other,429.9,425.91,426.66,-,-,434.28,427.61,428.95,203.13,191.6,190.35,189.6,194.42,297.25,303.06,456.43,103.87,96.9,99.16,103,Upgrade
41,Total Common Equity,9440,9578,9419,-,-,9216,9090,8966,8585,8732,8659,8487,8327,7899,7681,7431,6802,6767,6588,6525,Upgrade
42,Minority Interest,175.69,167.32,155.64,-,-,157.77,160.44,157.51,169.33,174.05,297.88,293.68,338.24,336.72,333.26,342.73,344.27,404.07,401.52,398.98,Upgrade
43,Shareholders' Equity,9616,9745,9575,-,-,9374,9250,9124,8754,8906,8957,8781,8665,8236,8014,7774,7146,7171,6990,6924,Upgrade
44,Total Liabilities & Equity,14961,14940,14324,-,-,13815,13593,13504,13457,13384,13406,12937,12837,12940,12761,12365,11651,11771,11828,11437,Upgrade
45,Total Debt,2356,2413,2277,-,-,2147,1977,2053,2659,2501,2492,2049,2233,2665,2552,2545,2487,2392,2621,2486,Upgrade
46,Net Cash (Debt),-493.04,-524.33,-463.99,-,-,-43.82,-232.9,-236.89,-817.73,-535.58,-546.76,-141.95,-671.78,-912.06,-1247,-1195,-1389,-400.26,-1307,-1203,Upgrade
47,Net Cash Per Share,-0.43,-0.47,-0.39,-,-,-0.04,-0.20,-0.19,-0.77,-0.44,-0.47,-0.12,-0.56,-0.79,-1.09,-1.03,-1.20,-0.35,-1.20,-1.03,Upgrade
48,Filing Date Shares Outstanding,1173,1173,1173,-,1200,1173,1173,1173,1173,1173,1173,1169,1169,1117,1117,1117,1117,1117,1117,1117,Upgrade
49,Total Common Shares Outstanding,1173,1173,1173,-,1200,1173,1173,1173,1173,1173,1173,1169,1169,1117,1117,1117,1117,1117,1117,1117,Upgrade
50,Working Capital,3470,3675,3702,-,-,3454,3271,3110,3303,3380,3312,3188,3206,3322,3207,2736,2747,2807,2460,2386,Upgrade
51,Book Value Per Share,8.05,8.16,8.03,-,-,7.86,7.75,7.64,7.32,7.44,7.38,7.26,7.12,7.07,6.87,6.65,6.09,6.06,5.90,5.84,Upgrade
52,Tangible Book Value,8623,8755,8592,-,-,8398,8275,8137,7762,7907,7846,7671,7506,7076,6857,6636,5976,5967,5788,5721,Upgrade
53,Tangible Book Value Per Share,7.35,7.46,7.32,-,-,7.16,7.05,6.94,6.62,6.74,6.69,6.56,6.42,6.33,6.14,5.94,5.35,5.34,5.18,5.12,Upgrade
54,Buildings,-,2869,-,-,-,2668,-,2582,-,2533,-,2269,-,2222,-,2029,-,1924,-,1709,Upgrade
55,Machinery,-,3856,-,-,-,3652,-,3588,-,3507,-,3404,-,3276,-,2991,-,2812,-,2628,Upgrade
56,Construction In Progress,-,669.21,-,-,-,563.17,-,449.09,-,449.11,-,582.12,-,373.5,-,615.34,-,584.9,-,921.2,Upgrade
