,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
11,Interest Expense,-15.01,-18.41,-15.76,-,-44.62,-15.93,-15.9,-35.83,-44.02,-19.73,-16.41,-11.92,-18.55,-26.93,-24.02,-43.86,-30.64,-30.57,-31.5,-42.28,Upgrade
12,Interest & Investment Income,0.24,-,11.04,-,-,15.64,24.21,-,-,46.25,2.98,29.93,25.01,34.37,7.61,-,7.5,39.59,3.52,55.79,Upgrade
13,Currency Exchange Gain (Loss),-3.57,3.57,-,-,0.99,-0.99,-,43.34,-3.63,3.63,-,-43.63,28.64,-28.64,-,-0.33,7.94,-7.94,-,14.46,Upgrade
14,Other Non Operating Income (Expenses),63.75,4.87,-8.82,-,-15.14,18.44,-24.84,-32.88,27.69,10.09,-13.78,21.71,-37.5,19.51,-22.17,-11.09,2.1,7.2,-12.94,2.39,Upgrade
15,EBT Excluding Unusual Items,197.47,153.74,225.77,-,142.97,142.66,183.57,168.48,129.96,148.44,176.88,56.06,197.41,276.8,333.68,183.1,247.64,214.41,77.77,77.94,Upgrade
16,Gain (Loss) on Sale of Investments,43.64,-44.98,-37.19,-,0.58,-28.71,28.39,-72.92,8.87,-84.8,-4.49,-18.34,2.04,8.2,9.09,88.86,-4.17,-1.75,4.24,-0.23,Upgrade
17,Gain (Loss) on Sale of Assets,1.95,-0.24,-0.44,-,0.86,-1.91,0.05,-2.16,-6.09,-5.15,-0.11,-0.18,-1.87,1.83,0.03,-5.85,0.37,-0.39,0.39,-6.01,Upgrade
18,Asset Writedown,-0.95,-0.13,0.13,-,-8.55,5.89,-5.89,-4.08,2.68,0.29,-,-0.34,0.61,-0.57,-,-0.02,0.73,-0.7,-,-0.01,Upgrade
19,Other Unusual Items,-32.87,34.17,-1.29,-,-0.72,0.72,-,46.66,-26.19,0.4,0.39,57.65,-0.3,0.3,-,16.64,-0.07,0.07,-,67.8,Upgrade
20,Pretax Income,209.23,142.56,186.98,-,135.13,118.66,206.11,135.98,109.24,59.18,172.68,94.85,197.9,286.55,342.8,282.72,244.5,211.64,82.4,139.5,Upgrade
21,Income Tax Expense,27.13,-27.05,31.99,-,13.06,4.72,40.74,-16.89,17.62,-7.94,28.36,-66.48,27.38,53.54,60.3,8.69,33.57,32.69,24.5,-33.79,Upgrade
22,Earnings From Continuing Operations,182.1,169.61,154.99,-,122.07,113.94,165.37,152.86,91.62,67.12,144.32,161.33,170.51,233.02,282.5,274.03,210.94,178.95,57.9,173.29,Upgrade
23,Minority Interest in Earnings,-8.37,-11.68,0.83,-,-1.64,2.67,-1.59,17.69,4.73,-4.15,-4.2,-3.84,-1.51,-3.04,-7.17,1.52,-4.57,-0,7.37,1.57,Upgrade
24,Net Income,173.73,157.92,155.82,-,120.43,116.62,163.78,170.55,96.35,62.97,140.12,157.49,169,229.98,275.32,275.55,206.37,178.95,65.26,174.86,Upgrade
25,Net Income to Common,173.73,157.92,155.82,-,120.43,116.62,163.78,170.55,96.35,62.97,140.12,157.49,169,229.98,275.32,275.55,206.37,178.95,65.26,174.86,Upgrade
26,Net Income Growth,44.25%,35.42%,-4.86%,-,25.00%,85.19%,16.88%,8.30%,-42.99%,-72.62%,-49.11%,-42.85%,-18.11%,28.52%,321.86%,57.58%,81.79%,21.70%,-59.15%,-1.05%,Upgrade
27,Shares Outstanding (Basic),1158,1125,1199,-,1200,1167,1170,1245,1066,1222,1168,1186,1126,1145,1101,1089,1159,1132,1088,1174,Upgrade
28,Shares Outstanding (Diluted),1158,1125,1199,-,1200,1167,1170,1245,1066,1222,1168,1186,1191,1150,1147,1159,1159,1132,1088,1174,Upgrade
29,Shares Change (YoY),-3.51%,-3.54%,2.46%,-,12.61%,-4.49%,0.18%,4.94%,-10.51%,6.26%,1.79%,2.35%,2.73%,1.53%,5.47%,-1.25%,2.04%,0.58%,-5.71%,0.63%,Upgrade
30,EPS (Basic),0.15,0.14,0.13,-,0.10,0.10,0.14,0.14,0.09,0.05,0.12,0.13,0.15,0.20,0.25,0.25,0.18,0.16,0.06,0.15,Upgrade
31,EPS (Diluted),0.15,0.14,0.13,-,0.10,0.10,0.14,0.14,0.09,0.05,0.12,0.13,0.14,0.20,0.24,0.24,0.18,0.16,0.06,0.15,Upgrade
32,EPS Growth,49.51%,40.40%,-7.14%,-,11.01%,93.90%,16.67%,3.20%,-36.29%,-74.23%,-50.00%,-44.16%,-20.29%,26.59%,300.00%,59.57%,78.02%,21.00%,-56.68%,-1.67%,Upgrade
33,Free Cash Flow,329.75,-219.75,-315.97,-,-118.78,221.15,-148.58,317.71,3.83,115.77,-458.97,471.34,29.27,477.92,-467.13,352.53,-281.59,124.53,578.37,86.16,Upgrade
34,Free Cash Flow Per Share,0.28,-0.20,-0.26,-,-0.10,0.19,-0.13,0.26,0.00,0.09,-0.39,0.40,0.02,0.42,-0.41,0.30,-0.24,0.11,0.53,0.07,Upgrade
35,Dividend Per Share,-,-,-,-,-,-,-,0.200,-,-,-,0.220,-,-,-,0.200,-,-,-,0.162,Upgrade
36,Dividend Growth,-,-,-,-,-,-,-,-9.09%,-,-,-,10.00%,-,-,-,23.84%,-,-,-,39.95%,Upgrade
37,Gross Margin,13.56%,14.37%,17.28%,-,14.92%,13.60%,15.22%,15.55%,12.43%,12.31%,15.79%,12.05%,16.39%,18.31%,20.66%,18.40%,19.86%,19.01%,20.01%,15.74%,Upgrade
38,Operating Margin,4.00%,4.02%,6.93%,-,5.34%,3.88%,6.07%,5.03%,4.33%,3.60%,6.56%,1.84%,6.90%,9.22%,11.54%,8.36%,9.58%,8.71%,6.98%,2.01%,Upgrade
39,Profit Margin,4.56%,3.88%,4.51%,-,3.19%,3.60%,4.97%,4.43%,2.79%,2.10%,4.50%,4.83%,5.84%,7.62%,8.53%,9.67%,7.58%,7.56%,3.84%,7.37%,Upgrade
40,Free Cash Flow Margin,8.66%,-5.40%,-9.15%,-,-3.14%,6.83%,-4.51%,8.25%,0.11%,3.86%,-14.74%,14.45%,1.01%,15.83%,-14.47%,12.37%,-10.34%,5.26%,34.01%,3.63%,Upgrade
41,EBITDA,255.67,273.75,342.92,-,308,232.53,306.35,300.11,252.12,214.71,308.11,164,292.07,383.74,464.51,330.63,345.2,297.2,203.15,132.04,Upgrade
42,EBITDA Margin,6.72%,6.72%,9.93%,-,8.15%,7.19%,9.30%,7.79%,7.29%,7.15%,9.90%,5.03%,10.08%,12.71%,14.39%,11.60%,12.68%,12.56%,11.95%,5.56%,Upgrade
43,D&A For EBITDA,103.61,110.04,103.61,-,106.25,107.04,106.25,106.25,102.19,106.51,104.02,104.02,92.25,105.26,92.25,92.25,84.46,91.08,84.46,84.46,Upgrade
44,EBIT,152.06,163.71,239.31,-,201.75,125.49,200.1,193.86,149.92,108.2,204.09,59.98,199.82,278.48,372.26,238.38,260.74,206.13,118.68,47.58,Upgrade
45,EBIT Margin,4.00%,4.02%,6.93%,-,5.34%,3.88%,6.07%,5.03%,4.33%,3.60%,6.56%,1.84%,6.90%,9.22%,11.54%,8.36%,9.58%,8.71%,6.98%,2.00%,Upgrade
46,Effective Tax Rate,12.97%,-,17.11%,-,9.66%,3.97%,19.77%,-,16.13%,-,16.42%,-,13.84%,18.68%,17.59%,3.07%,13.73%,15.44%,29.73%,-,Upgrade
47,Revenue as Reported,3806,4072,3454,-,3781,3236,3295,3851,3459,3003,3113,3261,2896,3019,3227,2851,2722,2366,1701,2373,Upgrade
