,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
37,Operating Margin,0.10%,-0.92%,3.20%,4.59%,6.22%,4.44%,4.22%,1.91%,4.95%,3.65%,7.17%,3.15%
38,Profit Margin,1.07%,0.42%,3.33%,4.12%,5.17%,4.04%,3.69%,3.80%,3.70%,2.90%,5.09%,2.22%
39,Free Cash Flow Margin,-15.89%,7.52%,-47.90%,7.31%,-2.90%,-2.31%,-3.71%,0.44%,8.45%,14.39%,-1.22%,10.94%
40,EBITDA,9.61,4.87,29.97,49.67,50.41,35.23,30.66,21.29,52.16,46.1,42.6,37.06
41,EBITDA Margin,1.27%,0.63%,4.53%,5.59%,7.44%,5.79%,5.72%,3.80%,9.20%,7.65%,7.32%,4.54%
42,D&A For EBITDA,8.82,12.04,8.82,8.82,8.24,8.24,8.03,10.6,24.11,24.11,0.86,11.38
43,EBIT,0.79,-7.17,21.15,40.85,42.17,26.99,22.63,10.69,28.05,21.99,41.74,25.68
44,EBIT Margin,0.10%,-0.92%,3.20%,4.59%,6.22%,4.44%,4.22%,1.91%,4.95%,3.65%,7.17%,3.15%
45,Effective Tax Rate,-,-,12.56%,15.43%,14.28%,13.38%,11.28%,-,23.75%,17.91%,27.32%,23.86%
46,Revenue as Reported,733.67,799.48,661.73,889.32,670.52,615.44,536.48,560.93,566.94,602.7,581.78,3028
47,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,0.02,-
