,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
23,Other Current Liabilities,45.36,31.45,19.78,26.95,33.7,32.36,36.86,24.18,-,-,-,47.8
24,Total Current Liabilities,211.11,222.13,209.64,259.35,257.72,182.38,176.64,164.29,-,-,-,359.38
25,Long-Term Debt,11.02,11.1,11.55,11.3,-,-,-,16.33,-,-,-,-
26,Long-Term Leases,0.88,0.42,0.24,0.08,11.29,12.17,16.86,0.56,-,-,-,-
27,Long-Term Unearned Revenue,16.43,16.88,11.69,11.98,12.27,12.56,12.85,13.15,-,-,-,12.2
28,Total Liabilities,239.45,250.54,233.11,282.71,281.28,207.12,206.35,194.33,-,-,-,371.59
29,Common Stock,140.18,140.18,140.18,140.18,140.18,105.13,105.13,105.13,-,-,-,105.13
30,Additional Paid-In Capital,834.83,834.57,834.31,834.04,833.78,43.51,43.25,42.99,-,-,-,41.94
31,Retained Earnings,434.85,426.74,493.58,471.55,434.92,399.89,375.29,355.48,-,-,-,266.09
32,Comprehensive Income & Other,-,-,-,-,-,-,0.01,0.37,-,-,-,-
33,Total Common Equity,1410,1401,1468,1446,1409,548.52,523.67,503.96,-,-,413.16,413.16
34,Minority Interest,0.18,0.18,0.18,0.25,0.23,0.2,0.18,0.21,-,-,-,0.37
35,Shareholders' Equity,1410,1402,1468,1446,1409,548.73,523.85,504.18,-,-,413.53,413.53
36,Total Liabilities & Equity,1649,1652,1701,1729,1690,755.85,730.2,698.51,-,-,-,785.12
37,Total Debt,45.37,44.62,44.89,44.34,45.52,46.42,56.17,59.87,-,-,202.7,202.7
38,Net Cash (Debt),457.77,578.01,585.33,900.2,835.66,21.22,34.96,55.02,-,-,-45.99,-45.99
39,Net Cash Growth,-45.22%,2624.35%,1574.27%,1536.18%,-,-,-,-,-,-,-,-
40,Net Cash Per Share,3.35,4.04,4.25,6.51,6.48,0.20,0.34,0.52,-,-,-0.43,-0.44
41,Filing Date Shares Outstanding,140.18,140.18,140.18,140.18,140.18,105.13,105.13,105.13,104.87,103.59,105.79,105.13
42,Total Common Shares Outstanding,140.18,140.18,140.18,140.18,140.18,105.13,105.13,105.13,104.87,103.59,105.79,105.13
43,Working Capital,743.6,870.3,970.33,1052,1038,210.84,245.86,231.56,-,-,-,121.5
44,Book Value Per Share,10.06,10.00,10.47,10.31,10.05,5.22,4.98,4.79,-,-,3.93,3.93
45,Tangible Book Value,1264,1254,1319,1406,1368,506.94,481.4,461.01,-,-,389.94,389.94
46,Tangible Book Value Per Share,9.01,8.95,9.41,10.03,9.76,4.82,4.58,4.39,-,-,3.71,3.71
47,Buildings,-,177.49,-,176.08,-,143.53,143.53,143.43,-,-,-,142.63
48,Machinery,-,550.89,-,549.69,-,431.83,431.67,424.97,-,-,-,420.9
49,Construction In Progress,-,59.55,-,7.38,-,87.19,12.35,4.78,-,-,-,0.96
