,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
26,Shares Outstanding (Diluted),377,369,371,368,367,362,383,382,365,380,366,338,275,275,274,276,274,274,274
27,Shares Change (YoY),2.70%,1.80%,-3.23%,-3.53%,0.69%,-4.75%,4.81%,13.10%,32.61%,38.44%,33.59%,22.27%,0.28%,0.31%,-0.10%,-,-,-,-
28,EPS (Basic),0.25,0.33,0.23,0.16,0.25,0.36,0.11,0.09,0.26,0.28,0.16,0.24,0.23,0.36,0.21,0.40,0.32,0.19,0.19
29,EPS (Diluted),0.25,0.33,0.23,0.16,0.25,0.36,0.11,0.09,0.26,0.28,0.16,0.24,0.23,0.36,0.21,0.40,0.32,0.19,0.19
30,EPS Growth,0.07%,-7.46%,109.09%,70.97%,-3.97%,25.96%,-33.05%,-61.11%,13.92%,-20.59%,-23.33%,-40.29%,-27.67%,84.02%,10.52%,-,-,-,-
31,Free Cash Flow,-38.97,-89.07,-53.97,121.34,155.16,-76.46,-68.13,-253.25,337.04,-255.58,152.84,147.86,-17.42,-127.97,125.92,-136.61,274.57,-93.1,-93.1
32,Free Cash Flow Per Share,-0.10,-0.24,-0.15,0.33,0.42,-0.21,-0.18,-0.66,0.92,-0.67,0.42,0.44,-0.06,-0.47,0.46,-0.49,1.00,-0.34,-0.34
33,Dividend Per Share,-,-,-,0.350,-,-,-,0.357,-,-,-,0.179,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-1.99%,-,-,-,99.94%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,17.69%,17.58%,17.43%,21.18%,19.54%,17.27%,18.10%,17.80%,15.51%,16.45%,19.69%,23.25%,16.37%,18.83%,19.28%,27.74%,24.35%,28.23%,28.23%
36,Operating Margin,9.85%,9.52%,9.10%,9.91%,12.71%,8.96%,8.69%,3.11%,7.04%,5.89%,10.98%,12.64%,9.32%,12.14%,10.50%,20.08%,18.68%,18.05%,18.05%
37,Profit Margin,8.40%,11.74%,10.34%,9.09%,11.68%,16.63%,7.47%,8.82%,27.16%,17.56%,10.54%,13.16%,8.11%,11.76%,9.53%,16.70%,13.57%,13.97%,13.97%
38,Free Cash Flow Margin,-3.47%,-8.58%,-6.54%,18.76%,19.73%,-9.83%,-12.07%,-62.67%,96.34%,-41.63%,26.81%,24.00%,-2.25%,-15.34%,20.45%,-20.55%,42.97%,-24.47%,-24.47%
39,EBITDA,126.81,121.56,91.13,80.17,111.41,85.9,60.44,24,35.98,47.03,73.95,89.18,80.5,113.32,72.84,141.71,127,76.26,76.26
40,EBITDA Margin,11.28%,11.71%,11.05%,12.40%,14.17%,11.04%,10.71%,5.94%,10.28%,7.66%,12.97%,14.48%,10.38%,13.59%,11.83%,21.32%,19.87%,20.05%,20.05%
41,D&A For EBITDA,16.1,22.78,16.1,16.1,11.43,16.19,11.43,11.43,11.34,10.89,11.34,11.34,8.19,12.04,8.19,8.19,7.62,7.62,7.62
42,EBIT,110.71,98.78,75.03,64.07,99.98,69.72,49.01,12.57,24.64,36.14,62.62,77.85,72.31,101.28,64.65,133.52,119.38,68.65,68.65
43,EBIT Margin,9.85%,9.52%,9.10%,9.91%,12.71%,8.96%,8.69%,3.11%,7.04%,5.89%,10.98%,12.64%,9.32%,12.14%,10.50%,20.08%,18.68%,18.05%,18.05%
44,Effective Tax Rate,7.89%,9.69%,9.77%,7.14%,12.50%,11.17%,13.96%,-,12.19%,10.73%,12.40%,11.60%,8.29%,11.93%,12.65%,14.31%,13.87%,14.79%,14.79%
45,Revenue as Reported,1124,1038,824.56,646.67,786.38,777.85,564.24,404.1,349.85,613.92,570.16,616.06,775.56,834.11,615.79,664.85,639.03,380.39,380.39
