,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Current Ratio,1.71,1.71,2.01,2.34,2.09,2.11,2.29,2.43,2.52,2.53,2.47,2.58,2.40,1.18,1.16,-,1.13,-,-,-
22,Return on Equity (ROE),13.27%,17.36%,12.30%,8.70%,13.93%,19.99%,6.59%,5.66%,15.49%,18.14%,10.35%,21.49%,36.29%,67.22%,46.43%,-,-,-,-,
23,Return on Assets (ROA),5.66%,5.20%,4.23%,3.74%,5.99%,4.39%,3.19%,0.83%,1.65%,2.46%,4.27%,6.41%,7.55%,-,-,-,-,-,-,
24,Return on Capital (ROIC),8.92%,7.74%,6.23%,5.44%,8.38%,5.89%,4.11%,1.07%,2.24%,3.58%,6.38%,11.07%,17.38%,29.37%,22.50%,-,-,-,-,
25,Return on Capital Employed (ROCE),11.43%,11.68%,10.57%,9.59%,9.95%,8.27%,5.72%,4.55%,5.18%,7.81%,9.98%,12.77%,13.37%,46.66%,54.51%,-,66.33%,-,-,-
26,Earnings Yield,3.86%,4.90%,5.16%,5.23%,3.79%,4.39%,4.65%,4.83%,5.53%,5.98%,4.60%,5.50%,3.88%,-,-,-,-,-,-,-
27,FCF Yield,-0.65%,-0.82%,1.93%,2.09%,1.55%,-3.56%,-0.94%,-4.13%,-0.35%,6.65%,0.41%,2.83%,1.66%,-,-,-,-,-,-,-
28,Dividend Yield,1.33%,-,-,-,1.56%,-,-,-,2.57%,-,-,-,0.90%,-,-,-,-,-,-,-
29,Payout Ratio,37.54%,0.90%,107.87%,2.85%,0.95%,9.21%,99.79%,5.18%,6.33%,1.56%,62.06%,1.35%,2.05%,3.46%,1.54%,3.63%,2.01%,4.39%,39.33%,39.33%
30,Buyback Yield / Dilution,0.63%,-2.70%,-1.80%,3.23%,3.53%,-0.69%,4.75%,-4.81%,-13.10%,-32.61%,-38.44%,-33.59%,-22.27%,-0.28%,-0.31%,0.10%,-,-,-,-
31,Total Shareholder Return,1.97%,-2.70%,-1.80%,3.23%,5.09%,-0.69%,4.75%,-4.81%,-10.54%,-32.61%,-38.44%,-33.59%,-21.37%,-0.28%,-0.31%,0.10%,-,-,-,-
