,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
26,Net Income Growth,-12.08%,-29.26%,-62.14%,-50.68%,-50.70%,-54.02%,0.76%,-,-,-,-
27,Shares Outstanding (Basic),130,117,146,134,128,112,103,100,100,97,102
28,Shares Outstanding (Diluted),130,117,146,134,128,112,103,100,100,97,102
29,Shares Change (YoY),1.35%,4.66%,41.97%,34.19%,28.39%,15.50%,0.76%,-,-,-,-
30,EPS (Basic),0.05,0.06,0.04,0.06,0.06,0.09,0.15,0.15,0.15,0.23,0.15
31,EPS (Diluted),0.05,0.06,0.04,0.06,0.06,0.09,0.15,0.15,0.15,0.23,0.15
32,EPS Growth,-13.25%,-32.41%,-73.33%,-63.25%,-61.60%,-60.19%,0%,-,-,-,-
33,Free Cash Flow,14.18,13.36,-64.77,-15.43,0.09,9.29,-38.26,-0.33,-0.33,50.78,-4.96
34,Free Cash Flow Per Share,0.11,0.11,-0.44,-0.12,0.00,0.08,-0.37,-0.00,-0.00,0.53,-0.05
35,Dividend Per Share,-,-,-,0.100,-,-,-,-,-,-,-
36,Gross Margin,22.23%,18.83%,24.31%,25.24%,21.19%,22.20%,27.64%,25.02%,25.02%,26.75%,28.14%
37,Operating Margin,5.86%,4.49%,5.08%,2.98%,4.36%,2.59%,15.48%,11.85%,11.85%,13.11%,14.74%
38,Profit Margin,4.54%,5.38%,5.87%,6.15%,5.66%,8.84%,11.26%,11.46%,11.46%,14.78%,11.53%
39,Free Cash Flow Margin,9.93%,9.86%,-65.29%,-12.86%,0.07%,7.96%,-28.01%,-0.25%,-0.25%,33.48%,-3.74%
40,EBITDA,14.84,13.42,11.51,10.05,11.24,9.19,26.71,21.09,21.09,25.39,24.1
41,EBITDA Margin,10.40%,9.90%,11.61%,8.38%,8.63%,7.88%,19.56%,16.16%,16.16%,16.74%,18.20%
42,D&A For EBITDA,6.48,7.33,6.48,6.48,5.57,6.17,5.57,5.63,5.63,5.51,4.58
43,EBIT,8.37,6.08,5.04,3.58,5.68,3.02,21.15,15.47,15.47,19.88,19.52
44,EBIT Margin,5.86%,4.49%,5.08%,2.98%,4.36%,2.59%,15.48%,11.85%,11.85%,13.11%,14.74%
45,Effective Tax Rate,7.33%,17.78%,7.17%,19.00%,14.35%,12.64%,12.76%,12.85%,12.85%,11.48%,12.79%
46,Revenue as Reported,142.76,135.51,99.2,503.56,130.36,116.61,136.6,130.54,130.54,151.69,132.4
