,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
36,Net Cash (Debt),1109,1109,1076,1135,1215,1146,1122,1168,1248,1226,1250,1371,1461,1489,175.88,117.44,117.44,119.37,-,140.63
37,Net Cash Growth,-8.67%,-3.18%,-4.10%,-2.88%,-2.64%,-6.56%,-10.24%,-14.81%,-14.61%,-17.67%,610.52%,1067.65%,1144.05%,1147.68%,-,-16.49%,-,-,-,-
38,Net Cash Per Share,10.55,10.49,10.09,10.71,11.41,10.81,10.40,11.27,11.76,11.56,11.65,12.98,13.79,16.88,2.22,1.48,1.49,1.50,-,1.84
39,Filing Date Shares Outstanding,105.16,105.22,105.22,105.33,105.33,105.95,105.56,105.76,105.76,105.8,105.8,105.8,105.8,105.8,79.35,79.35,79.35,79.35,79.35,79.35
40,Total Common Shares Outstanding,105.22,105.22,105.22,105.33,105.33,105.95,105.56,105.76,105.76,105.8,105.8,105.8,105.8,105.8,79.35,79.35,79.35,79.35,79.35,79.35
41,Working Capital,-,1976,1899,1829,1767,1694,1725,1817,1847,1929,1906,1876,1830,1802,449.73,-,358.65,327.04,-,298.44
42,Book Value Per Share,20.51,20.51,19.77,18.85,18.31,17.83,17.99,18.57,18.76,19.34,19.07,18.71,18.26,17.58,6.36,4.93,4.93,4.44,-,4.01
43,Tangible Book Value,2105,2105,2031,1947,1893,1856,1881,1952,1972,2038,2009,1971,1923,1851,496.24,387.19,387.19,348.2,-,314.82
44,Tangible Book Value Per Share,20.01,20.01,19.30,18.48,17.97,17.61,17.82,18.46,18.64,19.26,18.99,18.63,18.18,17.50,6.25,4.88,4.88,4.39,-,3.97
45,Machinery,-,-,93.78,-,86.91,-,78.27,-,65.92,-,50.91,-,45.54,-,36.89,-,28.94,23.88,-,20.09
46,Construction In Progress,-,-,2.23,-,4.99,-,0.69,-,7.49,-,7.96,-,3.66,-,6.55,-,0.86,0.86,-,-
