,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
30,EPS (Basic),0.05,0.04,0.11,1.05,-0.03,0.48,0.08,0.60,0.09,0.26,-
31,EPS (Diluted),0.05,0.04,0.11,1.05,-0.03,0.48,0.08,0.60,0.09,0.26,-
32,EPS Growth,-,-90.65%,31.98%,75.61%,-,79.59%,-,-,-,-,-
33,Free Cash Flow,-3.64,-70.5,32.37,27.77,-94.36,-15.46,-61.01,37.42,64.98,-,-
34,Free Cash Flow Per Share,-0.04,-0.67,0.32,0.64,-0.64,-0.20,-0.81,0.48,0.93,-,-
35,Dividend Per Share,-,-,-,0.258,-,-,-,-,-,-,-
36,Gross Margin,32.36%,17.06%,25.12%,27.51%,24.96%,26.38%,30.38%,28.39%,25.22%,39.15%,3.46%
37,Operating Margin,7.49%,1.22%,11.16%,9.91%,-4.18%,9.27%,10.58%,12.23%,8.11%,11.36%,3.47%
38,Profit Margin,8.36%,1.30%,14.07%,11.09%,-4.97%,13.27%,8.60%,11.75%,5.29%,10.07%,2.00%
39,Free Cash Flow Margin,-6.58%,-19.54%,42.53%,6.80%,-104.37%,-5.66%,-86.09%,9.45%,56.35%,-,-
40,EBITDA,5.56,5.77,9.91,41.87,-2.2,26.76,9.07,50.01,10.97,24.31,3.59
41,EBITDA Margin,10.04%,1.60%,13.02%,10.26%,-2.44%,9.80%,12.80%,12.63%,9.51%,12.15%,6.28%
42,D&A For EBITDA,1.41,1.38,1.41,1.41,1.58,1.46,1.58,1.58,1.61,1.58,1.61
43,EBIT,4.15,4.39,8.5,40.46,-3.78,25.29,7.5,48.43,9.36,22.73,1.98
44,EBIT Margin,7.49%,1.22%,11.16%,9.91%,-4.18%,9.27%,10.58%,12.23%,8.11%,11.36%,3.46%
45,Effective Tax Rate,11.99%,24.55%,-,13.12%,-,12.70%,5.19%,11.96%,7.40%,10.32%,15.15%
46,Revenue as Reported,55.4,360.82,76.12,408.26,90.41,272.89,70.87,395.91,115.32,257.3,-
