,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
31,EPS (Basic),-0.15,-0.15,-0.13,-0.16,-0.46,-0.21,-0.16,-0.12,-0.17,-0.22,0.01,0.10,0.02,0.10,0.22,0.17,0.36,0.04,0.38,-0.25
32,EPS (Diluted),-0.15,-0.15,-0.13,-0.16,-0.46,-0.21,-0.16,-0.12,-0.17,-0.23,0.01,0.10,0.02,0.10,0.22,0.17,0.36,0.04,0.38,-0.25
33,EPS Growth,-,-,-,-,-,-,-,-,-,-,-96.91%,-41.18%,-95.15%,145.91%,-41.97%,-,-,-,-,-
34,Free Cash Flow,-,-,-900.77,-1924,-841.72,-2488,-547.31,-1711,3122,-2028,-1164,-2709,3885,-1493,-624.29,-1911,-1555,448.27,1126,521.4
35,Free Cash Flow Per Share,-,-,-0.67,-1.45,-0.63,-1.87,-0.43,-1.23,1.50,-3.44,-0.86,-2.06,2.86,-1.14,-0.63,-2.41,-2.00,0.55,1.41,0.65
36,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,0.115,-,-,-,-,-,-,-
37,Gross Margin,111.43%,111.43%,9.33%,19.97%,-1.80%,8.55%,0.32%,13.97%,8.48%,20.08%,25.32%,16.95%,15.07%,16.66%,15.85%,17.36%,13.21%,12.40%,15.76%,6.05%
38,Operating Margin,-6.03%,-6.03%,-17.80%,-46.17%,-26.05%,-14.29%,-8.73%,-17.06%,-11.60%,-8.81%,-16.59%,3.47%,-4.10%,2.40%,4.12%,2.81%,1.60%,0.33%,6.55%,-93.27%
39,Profit Margin,-4.34%,-4.34%,-23.35%,-45.15%,-14.77%,-16.73%,-7.16%,-12.02%,-6.49%,-8.52%,1.44%,2.90%,0.59%,1.82%,2.77%,3.04%,2.70%,0.69%,5.66%,-77.26%
40,Free Cash Flow Margin,-,-,-120.27%,-409.82%,-20.09%,-147.87%,-19.17%,-123.46%,58.10%,-132.96%,-182.14%,-59.70%,97.23%,-20.60%,-7.98%,-43.12%,-15.04%,9.52%,20.93%,201.73%
41,EBITDA,-193.22,-193.22,-71.95,-131.7,-1006,-146.43,-169.36,-142.23,-529.05,-38.58,-16.97,253.36,-68.22,233.86,413.92,184.51,224.76,39.1,396.61,-217.49
42,EBITDA Margin,-4.19%,-4.19%,-9.61%,-28.05%,-24.02%,-8.70%,-5.93%,-10.26%,-9.85%,-2.53%,-2.66%,5.58%,-1.71%,3.23%,5.29%,4.16%,2.17%,0.83%,7.37%,-84.15%
43,D&A For EBITDA,85.07,85.07,61.38,85.07,85.07,94.02,80,94.24,94.24,95.79,89.04,95.79,95.79,59.79,91.4,59.79,59.79,23.58,44.03,23.58
44,EBIT,-278.29,-278.29,-133.32,-216.77,-1091,-240.45,-249.35,-236.48,-623.29,-134.37,-106.01,157.57,-164.01,174.07,322.52,124.72,164.97,15.52,352.58,-241.07
45,EBIT Margin,-6.03%,-6.03%,-17.80%,-46.17%,-26.05%,-14.29%,-8.73%,-17.06%,-11.60%,-8.81%,-16.59%,3.47%,-4.10%,2.40%,4.12%,2.81%,1.60%,0.33%,6.55%,-93.27%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,9.63%,-,5.23%,23.35%,10.78%,5.72%,20.92%,15.98%,-
47,Revenue as Reported,-609.2,-609.2,748.96,469.45,4190,1683,2856,1386,5373,1525,639.09,4538,3996,7249,7823,4431,10338,4710,5638,-
