,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-11.17,-,-,-,47.01,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.47,1.54,0.94,0.75,0.69,0.74,0.61,0.60,0.64,0.68,0.74,0.62,0.32,0.61,0.46,0.40,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,9.10,-,13.02,12.65,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,15.46,-,17.50,17.38,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-2.94,-,-,-,-100.56,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,1.10,1.10,0.56,0.60,0.60,0.60,0.49,0.44,0.28,0.19,0.14,0.14,0.16,0.20,0.31,0.20,-,0.12,0.29
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,23.20,1.05,-,1.30,0.82,1.89,0.96,-,0.29,-
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-1.14,-,-,-,-7.68,-,-,-,-,-,0.28,2.17
17,Asset Turnover,-,-,0.12,0.07,0.59,0.22,0.37,0.18,0.75,0.23,0.10,0.62,0.51,0.87,0.93,0.56,-,-,-,-,
18,Inventory Turnover,-,-,-,1.15,0.78,7.02,2.08,3.97,1.98,8.20,1.98,1.03,5.07,2.75,3.76,3.83,2.60,-,-,-,-
19,Quick Ratio,-,-,-,0.66,0.73,0.80,0.72,0.76,0.82,0.90,0.81,0.87,0.94,0.80,0.80,0.69,0.59,0.67,-,0.67,-
20,Current Ratio,-,-,-,0.92,0.95,0.97,0.97,1.00,1.06,1.07,1.11,1.08,1.12,1.06,1.13,1.06,0.99,0.99,-,1.00,-
21,Return on Equity (ROE),-,-14.58%,-12.54%,-14.70%,-40.04%,-16.98%,-11.89%,-9.43%,-19.05%,-6.87%,0.48%,6.84%,1.24%,7.00%,14.57%,12.27%,-,-,30.79%,-,
22,Return on Assets (ROA),-,-,-1.32%,-2.12%,-9.61%,-1.95%,-2.03%,-1.95%,-5.42%,-1.27%,-1.00%,1.35%,-1.32%,1.30%,2.40%,0.98%,-,-,-,-,
23,Return on Capital (ROIC),-,-6.04%,-3.28%,-5.95%,-27.54%,-5.66%,-5.88%,-5.71%,-15.67%,-3.61%,-2.96%,4.49%,-4.67%,4.90%,10.91%,5.65%,-,-,18.55%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,4.17%,-,7.19%,5.95%,8.05%,3.99%,-,2.00%,-
25,Earnings Yield,-7.05%,-6.56%,-22.96%,-33.52%,-26.26%,-18.55%,-14.76%,-11.44%,-7.73%,-4.22%,0.39%,2.35%,4.03%,3.21%,4.61%,5.66%,-,-,-,-,-
26,FCF Yield,-,-,-160.27%,-115.71%,-81.54%,-23.94%,-15.68%,-21.65%,-34.68%,-22.81%,-11.74%,-7.52%,-0.91%,-33.74%,-31.04%,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,0.98%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,102.65%,5.79%,22.50%,8.19%,4.32%,3.48%,5.94%,11.86%,1.05%,-
29,Buyback Yield / Dilution,-0.10%,0.23%,-0.56%,-6.41%,4.57%,35.54%,-125.05%,6.59%,-5.51%,-52.80%,54.87%,-36.95%,-66.27%,-74.68%,-59.08%,-23.13%,0.95%,-,-,-,-
30,Total Shareholder Return,-0.10%,0.23%,-0.56%,-6.41%,4.57%,35.54%,-125.05%,6.59%,-5.51%,-52.80%,54.87%,-36.95%,-66.27%,-73.70%,-59.08%,-23.13%,0.95%,-,-,-,-
